run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.731 | 2.731 | 2.731 Mbytes
Step Temp Press TotEng PotEng 
       0          0.8  0.027688281    1.1836967 -0.015401686 
     100   0.81404999  0.028639544    1.1825832 -0.037574417 
     200   0.84096509  0.028859126    1.1660681 -0.094431815 
     300   0.86086568  0.031625992    1.1103304  -0.17999791 
     400   0.84285043  0.025882198     1.065492  -0.19783374 
     500   0.82845109  0.025375123    1.0283522  -0.21339076 
     600   0.80494481  0.025104043    0.9897088  -0.21680127 
     700   0.79237078  0.022157749   0.95991842  -0.22774478 
     800   0.79226833  0.022769731   0.94159907  -0.24591056 
     900   0.77910614   0.02390797   0.93268799  -0.23509319 
    1000   0.78644933  0.023130802    0.9363347  -0.24245298 
    1100     0.796093  0.024854253    0.9520971  -0.24114523 
    1200   0.81333001  0.024059075   0.97180681  -0.24727161 
    1300   0.82550509  0.027386182   0.98085242  -0.25647488 
    1400   0.82228611  0.024967365   0.96740178   -0.2651007 
    1500   0.80918457  0.022475614   0.93366468  -0.27920024 
    1600   0.78793386  0.022712837   0.90514587  -0.27586693 
    1700   0.77803193  0.021969102   0.89738405  -0.26878703 
    1800   0.78957084  0.023183125   0.90383661  -0.27962983 
    1900    0.8013859  0.025463459    0.9143691  -0.28680661 
    2000   0.80643408  0.023223736   0.92086176  -0.28788053 
    2100   0.80453283  0.024691112    0.9234315  -0.28246106 
    2200   0.81106975   0.02227806   0.92128331  -0.29440727 
    2300   0.80375165  0.022203017   0.90247427   -0.3022474 
    2400   0.78296105   0.02190928   0.86770375  -0.30585545 
    2500   0.76789707  0.023089507   0.84693578  -0.30404443 
    2600   0.76331118  0.021040418   0.85026331  -0.29384322 
    2700   0.78530602  0.023544032   0.87875016  -0.29832385 
    2800   0.80450161  0.020453538   0.91033365  -0.29551211 
    2900   0.81919082  0.023607057    0.9251533  -0.30270972 
    3000   0.81347603  0.022750442   0.92320266  -0.29609462 
    3100   0.80059741  0.026202418   0.91151933  -0.28847454 
    3200   0.79294361  0.021238018   0.89909972  -0.28942207 
    3300    0.7931927  0.023986168   0.89097844   -0.2979167 
    3400   0.79584926  0.022431843   0.88187005  -0.31100694 
    3500   0.78100348  0.022801832   0.86699966  -0.30362539 
