run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.731 | 2.731 | 2.731 Mbytes
Step Temp Press TotEng PotEng 
       0          0.8  0.024812122    1.1837008 -0.015397631 
     100    0.8126153  0.026515495     1.182593 -0.035414138 
     200   0.83215655  0.024066848     1.168122 -0.079175009 
     300   0.84085496  0.025743433    1.1204778  -0.13985707 
     400   0.83331655  0.024829491    1.0771786  -0.17185713 
     500   0.82536115  0.022903206    1.0472783  -0.18983324 
     600   0.80990026  0.020953227    1.0149454  -0.19899227 
     700   0.79329611  0.023096619   0.98586089  -0.20318925 
     800   0.78507071  0.019897002   0.96549569  -0.21122563 
     900   0.78837834  0.020580386   0.95911002  -0.22256901 
    1000   0.79779799  0.020537925   0.96378894  -0.23200895 
    1100   0.80941744  0.020659113   0.97256824  -0.24064573 
    1200   0.80794875  0.020890741   0.98007291  -0.23093968 
    1300   0.81410966   0.02275761   0.98318468  -0.23706234 
    1400   0.80391819  0.023029534     0.975671  -0.22930029 
    1500   0.79911989   0.02038562   0.95607048  -0.24170877 
    1600   0.79280759  0.022445498   0.92900816  -0.25930976 
    1700   0.77357591  0.021163497   0.90653492  -0.25295714 
    1800   0.77533303  0.021984101   0.90192602  -0.26019975 
    1900   0.78198516  0.020294434   0.91657044  -0.25552602 
    2000   0.79790383   0.02250497   0.95265089  -0.24330564 
    2100   0.82183466  0.021933471   0.98210798  -0.24971783 
    2200   0.83061694  0.020479265   0.98367837  -0.26131096 
    2300   0.82341811  0.024661237   0.96851931  -0.26567988 
    2400   0.80856736  0.021767477   0.94260193  -0.26933788 
    2500   0.78555347  0.020138293   0.92114422   -0.2563007 
    2600   0.78841845  0.020400394   0.91381262  -0.26792653 
    2700   0.80732235  0.019259167   0.91548123  -0.29459247 
    2800   0.80822389   0.02213557   0.91642516  -0.29499982 
    2900   0.80195185  0.021226979   0.90870864  -0.29331536 
    3000   0.79615309  0.019480001   0.88553782  -0.30779458 
    3100   0.77307217  0.019248348   0.85416779  -0.30456923 
    3200   0.76201333  0.018692131   0.84069727  -0.30146396 
    3300   0.76611354  0.019227117   0.85591152  -0.29239541 
    3400   0.80250197  0.019284161   0.89499101  -0.30785755 
    3500   0.81295661  0.019874251   0.91550915  -0.30300959 
    3600   0.81426346  0.020069918   0.91746602  -0.30301151 
    3700   0.81304144  0.020742412   0.90966995  -0.30897594 
    3800   0.80144817  0.020639057   0.89389047  -0.30737857 
    3900   0.78494536  0.020907393   0.87775602  -0.29877741 
    4000   0.77969138  0.020481039   0.86985807   -0.2988003 
    4100   0.78640498  0.020211282   0.87599956  -0.30272165 
    4200    0.8005489  0.021703381   0.90278268  -0.29713848 
    4300   0.83343174  0.021609718   0.94159663  -0.30761172 
    4400   0.84721287   0.02184644   0.95383493  -0.31602959 
    4500   0.83045883  0.020804821   0.93265313  -0.31209921 
    4600   0.80971512  0.019678528   0.90475594  -0.30890421 
    4700   0.80177563   0.02008001   0.89099601  -0.31076386 
    4800   0.79936852  0.019971109   0.88411754  -0.31403438 
    4900   0.80358845  0.019349258   0.87816649  -0.32631056 
    5000   0.80034275   0.01973109   0.87061145  -0.32900071 
    5100   0.79541779  0.019083471   0.86120739  -0.33102288 
    5200   0.79109052  0.018765265   0.85300624    -0.332738 
    5300   0.78143621  0.019222233   0.84999192  -0.32128175 
    5400   0.79301339  0.020024339    0.8598543  -0.32877207 
    5500   0.80385544  0.020956419   0.88459147  -0.32028577 
    5600   0.82701724  0.021414959   0.90967546  -0.32991838 
    5700   0.82556263  0.019130746   0.91583964  -0.32157392 
    5800   0.81404371  0.020713734     0.902361  -0.31778716 
    5900   0.79212651  0.019916178   0.87426987  -0.31302719 
    6000    0.7819297  0.018768252   0.85008058  -0.32193276 
    6100   0.78247382  0.020285865   0.84153067  -0.33129824 
    6200   0.78609883  0.021122121   0.84622783   -0.3320345 
    6300   0.79954607  0.021836215   0.86051595   -0.3379021 
    6400   0.81313963  0.020956182   0.88095867   -0.3378344 
    6500   0.82612506  0.021777943   0.92278695  -0.31546961 
    6600   0.85002024  0.022204954   0.96857223  -0.30550019 
    6700   0.85363191  0.021776946   0.96675034  -0.31273551 
    6800   0.84179428  0.022991007   0.93347195  -0.32827079 
    6900    0.8124741  0.019387992   0.89980688  -0.31798862 
    7000   0.80216699  0.020679186   0.88046582  -0.32188065 
    7100   0.79947143  0.017938241   0.86608025  -0.33222592 
    7200   0.78278131  0.018026153   0.85711107  -0.31617873 
    7300    0.7947492  0.018882682   0.85888246  -0.33234568 
    7400   0.79977756  0.020219679   0.86875229  -0.33001273 
    7500   0.80217336  0.020110155   0.88470932  -0.31764668 
    7600   0.81838091  0.020494175   0.90420676   -0.3224423 
    7700   0.82271442  0.021173072   0.91772969  -0.31541476 
    7800   0.82506836  0.021711924    0.9162755  -0.32039721 
    7900   0.80374375  0.019374445   0.88924872  -0.31546112 
    8000   0.78469515  0.020420414   0.85169748  -0.32446091 
    8100   0.77108327  0.018333704   0.83622872  -0.31952719 
    8200   0.77936481  0.018436356   0.84372051  -0.32444838 
    8300   0.79207853  0.019685456   0.86504003  -0.32218511 
    8400   0.81022728  0.020476252   0.88544146  -0.32898636 
    8500   0.81313148  0.021891657   0.89320471  -0.32557614 
    8600   0.80959453  0.021703641   0.88976517  -0.32371424 
    8700   0.80282494  0.018735633   0.88207538  -0.32125727 
    8800   0.80141383  0.020321741   0.87543778   -0.3257798 
    8900   0.79484533  0.018182491   0.87207256  -0.31929967 
    9000   0.80172808  0.021074926    0.8737743  -0.32791429 
    9100   0.80401778   0.02143572   0.87421022  -0.33091034 
    9200    0.7970098  0.022529739   0.87102228  -0.32359421 
    9300   0.78001989  0.020099853   0.86863689  -0.30051388 
    9400   0.79485746  0.019289223   0.88453144  -0.30685898 
    9500   0.82767583  0.020114288   0.91797739  -0.32260358 
    9600   0.83717906  0.021110579   0.93256461   -0.3222605 
    9700   0.82287165  0.022171423    0.9197863  -0.31359382 
    9800   0.80856681  0.019031275   0.88834407  -0.32359491 
    9900   0.79107312  0.019593724   0.85992063  -0.32579754 
   10000   0.77958811  0.020332031   0.84670292  -0.32180068 
   10100   0.78603927  0.019946083   0.84705026   -0.3311228 
   10200   0.78941806  0.018868554   0.85928982  -0.32394762 
   10300   0.80893201  0.021674383   0.88307858  -0.32940779 
   10400   0.82382956   0.02096061   0.90243671   -0.3323792 
   10500   0.81762165  0.021426934   0.90636069  -0.31915034 
   10600   0.80536323  0.020349565   0.89388131  -0.31325591 
   10700    0.7805373  0.020735891   0.85525739  -0.31466891 
   10800    0.7720542  0.021348967   0.82117347  -0.33603775 
   10900   0.75982228  0.019731227    0.8158268  -0.32305033 
   11000   0.77882183  0.020332559   0.83403933  -0.33331571 
   11100   0.79246241  0.021447152   0.86137658  -0.32642394 
   11200   0.80336975  0.022495935   0.88022424  -0.32392501 
   11300   0.80384022   0.02101315   0.88782819  -0.31702624 
   11400   0.80465091  0.022322171   0.88937146  -0.31669809 
   11500   0.80886255   0.01974833   0.88568366   -0.3266986 
   11600   0.80254539  0.020286854   0.87653398  -0.32637966 
   11700   0.79874751  0.022301429   0.86015958  -0.33706152 
   11800   0.78176867  0.020453174   0.82825231  -0.34351966 
   11900   0.74986403  0.017524501   0.79734397    -0.326607 
