run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 17 17 17
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.705 | 2.705 | 2.705 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9  0.049438819    1.3109138 -0.038071956 
     100   0.93986838  0.047332254    1.3086099  -0.10013349 
     200    1.0247811  0.067723312    1.2635461  -0.27247061 
     300    1.0121925  0.054889365    1.1841038  -0.33304427 
     400   0.97668549  0.051781188    1.1138766  -0.35005091 
     500   0.93964894  0.046982631    1.0404078  -0.36800665 
     600   0.91418769   0.04015245   0.98003902  -0.39021225 
     700   0.88650406  0.039763799    0.9343167  -0.39444033 
     800   0.87509795  0.040496889   0.90638306  -0.40527765 
     900   0.89787298  0.042868036    0.8942018   -0.4515958 
    1000   0.90005092  0.042217651   0.88514754  -0.46391451 
    1100   0.90248149  0.041490469   0.87447086   -0.4782343 
    1200   0.89700344  0.040976263   0.86106915  -0.48342512 
    1300   0.88685359  0.035400098   0.84976302   -0.4795179 
    1400   0.89490244  0.041624815   0.84642735  -0.49491778 
    1500   0.89711186  0.037058481   0.84714675  -0.49751002 
    1600   0.88242982  0.038626524   0.85314692  -0.46950333 
    1700   0.90597155  0.044251405   0.87059553  -0.48734079 
    1800    0.9303964  0.036959023   0.88569443  -0.50885163 
    1900   0.92477488  0.042407182   0.88142699  -0.50469313 
    2000    0.9152156  0.042578136   0.85393686  -0.51785512 
    2100   0.88423061  0.035513525   0.81995143  -0.50539798 
    2200   0.88619123  0.034252851   0.80490892   -0.5233792 
    2300   0.89548494  0.036902172   0.80459534  -0.53762289 
    2400   0.89954089  0.039129692   0.81072582  -0.53757176 
    2500   0.89490835  0.034362006   0.81993049  -0.52142349 
    2600   0.91202948  0.040650163   0.84152056  -0.52549583 
    2700   0.94024736  0.042100806    0.8797614  -0.52955001 
    2800    0.9602668  0.038378203   0.90143642  -0.53788158 
