run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.717 | 2.717 | 2.717 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9  0.040204747    1.3262663 -0.022719421 
     100    0.9232758   0.04247678    1.3244941 -0.059379139 
     200   0.97933223  0.046438541    1.2961134  -0.17178127 
     300   0.98671093  0.041872086    1.2238802  -0.25507421 
     400   0.96265811  0.037840358    1.1718535  -0.27104875 
     500   0.94153698   0.03681049    1.1147968  -0.29644756 
     600     0.906544  0.036848316    1.0632366  -0.29555774 
     700   0.89279022  0.036886865    1.0247134  -0.31346581 
     800   0.88422424  0.034610068   0.99861636  -0.32672349 
     900   0.88424728  0.033718429   0.98592096  -0.33945344 
    1000   0.89000732  0.034383126   0.98412953  -0.34987844 
    1100   0.89947738  0.031955293    0.9892562  -0.35894618 
    1200   0.91169686  0.038449867   0.99600319  -0.37051464 
    1300   0.91449674  0.036165468    0.9945124  -0.37620209 
    1400   0.89909629  0.036004068     0.983231  -0.36440018 
    1500   0.88971195  0.035126473    0.9679692  -0.36559604 
    1600   0.89651892   0.03185335   0.95694986  -0.38681817 
    1700   0.89775796  0.031640079   0.94881301  -0.39681218 
    1800   0.88866556  0.031375876   0.94116911  -0.39082773 
    1900   0.88738458  0.034615584   0.94117937  -0.38889744 
    2000   0.90106648  0.031684223   0.95063637  -0.39994787 
    2100   0.91772436  0.035423806   0.96777844  -0.40777385 
    2200   0.91629769  0.035950078   0.98288683  -0.39052707 
    2300   0.91148614   0.03764007   0.98755555  -0.37864644 
    2400   0.91229603  0.036383237   0.97667894  -0.39073697 
    2500   0.88724753  0.036039859   0.95069398  -0.37917742 
    2600   0.87262139  0.034526418    0.9236443  -0.38430437 
    2700   0.86588121  0.033438005   0.91159664  -0.38624935 
    2800   0.88518698  0.030135221    0.9226934  -0.40408948 
    2900   0.91139517  0.032258944   0.95708822  -0.40897742 
    3000   0.94247496  0.034198986   0.99142435  -0.42122595 
    3100   0.93385601  0.034948301   0.99632464  -0.40340694 
    3200   0.92076244  0.032741826   0.97536723  -0.40473876 
    3300   0.89693621  0.032555542   0.94817119  -0.39622231 
    3400   0.89716535  0.033931091   0.93746052  -0.40727642 
    3500   0.89708345  0.031861256   0.93507088   -0.4095433 
    3600   0.90888166  0.036465063   0.93412189  -0.42817633 
    3700   0.90325966  0.030065332   0.92939235   -0.4244792 
    3800   0.90842876   0.03384599   0.92170375  -0.43991562 
    3900   0.88499866  0.033324131   0.90696673   -0.4195339 
    4000   0.87980385  0.031535275   0.89400674  -0.42470752 
    4100     0.881214  0.030732577   0.89222579  -0.42860211 
    4200   0.89935684  0.032630879   0.90936005  -0.43866167 
    4300   0.92185042  0.035254386   0.94031452  -0.44142221 
    4400   0.92829258  0.031364569   0.96315768  -0.42823504 
    4500   0.94999503  0.036390756    0.9632722  -0.46064973 
    4600   0.91787881  0.034072575   0.92357486  -0.45220893 
    4700   0.89548552  0.029693364   0.88212725  -0.46009184 
    4800   0.89696222   0.02832373   0.86997033  -0.47446214 
    4900   0.89288275  0.032672726   0.86936355  -0.46895432 
    5000   0.89878661  0.029977463   0.87430534  -0.47286167 
    5100   0.89741413  0.031471887   0.88329608  -0.46181376 
    5200   0.90197112  0.030156299   0.89681549  -0.45512469 
    5300    0.9219247  0.034711667   0.91606815  -0.46577992 
    5400   0.93150289  0.033003418   0.92699594  -0.46920861 
    5500   0.91943369  0.036653665   0.91192303  -0.46619134 
    5600   0.88425713  0.031351412   0.86735119  -0.45803798 
    5700   0.87687936  0.033127638   0.83682741  -0.47750341 
    5800   0.86921308  0.036202635   0.83152515  -0.47131489 
    5900   0.87442706  0.029954226   0.84525797  -0.46539717 
    6000   0.89093188  0.036421902   0.87284307   -0.4625507 
    6100    0.9123661  0.030311806   0.89619079  -0.47133015 
    6200   0.92210394  0.034383384   0.90316804  -0.47894868 
    6300    0.9163558  0.034004689    0.8958625  -0.47763849 
    6400   0.91607093  0.034192123   0.88088457  -0.49218943 
    6500   0.89265025  0.031308591   0.86407073  -0.47389865 
    6600   0.89605893  0.031282712   0.85593291  -0.48714566 
    6700   0.89583343  0.035651382    0.8514545  -0.49128607 
    6800   0.89293835  0.028344229   0.84913031   -0.4892709 
    6900   0.91029372  0.031619453   0.85293805  -0.51147666 
    7000   0.89734148  0.032315797   0.85382513  -0.49117582 
    7100   0.89473814  0.030570474   0.85572078  -0.48537808 
    7200   0.90604177   0.03112481    0.8634967  -0.49454488 
    7300   0.91610424  0.034512874     0.883826  -0.48929794 
    7400   0.92790822  0.035102374   0.92255822  -0.46825838 
    7500   0.94443419  0.034687948   0.94234392  -0.47324301 
    7600   0.93549977  0.034410406   0.92627624  -0.47591913 
    7700   0.91803557  0.031542364   0.88558276    -0.490436 
    7800   0.88560297  0.035017527   0.85178937  -0.47561703 
    7900   0.88150058  0.028418053   0.83906723  -0.48219021 
    8000   0.88807745  0.034115716   0.84203269  -0.48908264 
    8100   0.88840213  0.034268136   0.85293844  -0.47866355 
    8200    0.9020358  0.030929412    0.8725658  -0.47947133 
    8300   0.92840464  0.032993015   0.89477516  -0.49678551 
    8400   0.93209191  0.034365529   0.90224461  -0.49484281 
    8500   0.91546733  0.036688397   0.87541883  -0.49675047 
    8600   0.88775835  0.029716282   0.82024178  -0.51039526 
    8700   0.87010919  0.028039102   0.79830963  -0.50587356 
    8800   0.86997899  0.027484684   0.80426583  -0.49972221 
    8900   0.87759737  0.033644073   0.82817506  -0.48723197 
    9000     0.908197  0.029237667   0.85660776  -0.50466423 
    9100   0.92677398  0.031545718   0.87379444  -0.51532209 
    9200   0.91917085  0.030897106   0.87377727  -0.50394313 
    9300   0.90983453  0.031381994   0.85929034   -0.5044361 
    9400   0.87892129  0.030271234   0.83988186  -0.47750955 
    9500    0.8760051   0.02790983   0.83034805  -0.48267237 
    9600   0.89099833  0.034055185   0.84056683  -0.49492653 
    9700   0.91751569  0.031836453   0.88233248  -0.49290704 
    9800    0.9450999  0.034372384   0.92109156  -0.49549318 
    9900   0.94406773  0.034819935   0.92090946  -0.49412819 
   10000   0.91798682  0.032300575   0.89015221  -0.48579348 
   10100   0.89534142  0.032162191   0.85882798  -0.48317512 
   10200   0.88455459  0.032568742    0.8428987  -0.48293631 
   10300    0.8730292  0.028493755   0.84350408  -0.46505584 
   10400   0.89834038  0.028847955   0.85849042  -0.48800774 
   10500   0.90486061  0.033479682    0.8757026  -0.48056856 
   10600   0.92220194  0.029595184   0.88598949  -0.49627413 
   10700   0.91818776  0.032978435    0.8830335  -0.49321338 
   10800   0.91383723  0.031619373   0.85305294  -0.51667304 
   10900   0.86431083  0.032017656   0.79261376  -0.50287844 
   11000   0.85761232  0.028678414   0.77722374  -0.50822824 
   11100   0.86213323  0.028158535   0.79365872  -0.49856953 
   11200   0.88931224  0.028834935   0.82601438  -0.50695176 
   11300   0.90997345  0.035707512   0.85262143  -0.51131323 
   11400   0.90575379  0.034582043   0.86394552  -0.49366441 
   11500   0.91280651  0.031075148   0.86628247  -0.50189858 
   11600   0.90386707  0.032153839   0.86219134  -0.49259064 
   11700   0.89750482  0.029817664   0.85356541  -0.49168035 
   11800   0.89646124  0.033604842   0.84129702  -0.50238456 
   11900   0.88855848  0.031692656   0.82051817  -0.51131817 
   12000   0.87296127  0.029780601   0.79542643  -0.51303168 
   12100   0.86744766  0.031740209   0.78359127  -0.51660263 
   12200   0.87730056  0.029495364   0.79311475   -0.5218474 
   12300    0.8948019   0.03068076    0.8285003  -0.51269414 
   12400   0.92311787  0.029677327   0.86658562  -0.51705086 
   12500   0.93173185  0.034399256   0.87727587  -0.51927187 
   12600   0.90957958  0.034151756   0.86486007  -0.49848423 
   12700   0.88903164  0.031845234   0.84741212  -0.48513343 
   12800   0.89731946   0.02979669   0.83854555  -0.50642239 
   12900   0.90132609  0.027804067   0.83587558  -0.51509778 
   13000   0.90195751   0.03555837   0.83413894  -0.51778085 
   13100   0.89240902  0.028529888   0.82938453  -0.50822328 
   13200   0.89529038  0.030004583   0.82216592  -0.51976068 
   13300   0.89084976  0.031606833   0.81144206  -0.52382861 
   13400   0.88469315   0.03135356   0.80429379  -0.52174891 
   13500   0.88634814  0.028615688   0.80840136  -0.52012196 
   13600   0.89142952  0.029730354   0.82824261  -0.50789706 
   13700   0.89818248  0.031200842   0.85778134  -0.48848016 
   13800   0.92064177  0.031797862   0.88514164  -0.49478348 
   13900   0.93694339  0.035459567   0.89572933  -0.50862985 
   14000   0.91607386  0.034246881   0.88044206  -0.49263634 
   14100   0.89061709  0.031105687   0.85182374  -0.48309821 
   14200   0.88859936  0.031725544   0.83095638  -0.50094123 
   14300   0.87429068  0.031015042   0.82451817  -0.48593255 
   14400   0.88441475  0.032759802   0.83358885  -0.49203657 
   14500   0.90518828  0.029659723   0.84657989  -0.51018241 
   14600   0.90893254  0.032104811   0.85135132  -0.51102315 
   14700   0.91107317  0.030070212   0.84911068  -0.51647231 
   14800    0.9126954  0.030650762   0.84160542   -0.5264091 
   14900    0.8936657  0.032373177   0.82918296  -0.51030845 
   15000   0.87511427  0.032588324   0.82013555  -0.49154962 
   15100   0.87977154  0.030540972   0.82510186  -0.49356397 
   15200   0.90090902   0.03230647   0.85327448  -0.49707375 
   15300   0.92677214  0.030696659   0.89248728  -0.49662648 
   15400   0.94287612   0.03396311   0.91064174  -0.50260984 
   15500   0.92669424  0.032527999   0.89860523  -0.49039177 
   15600   0.91424093  0.034998315    0.8723453  -0.49798576 
   15700   0.89911809  0.032767097    0.8531167  -0.49454716 
   15800    0.8981296  0.030949982    0.8450816  -0.50110064 
   15900    0.8998859  0.030696692   0.84179547  -0.50701923 
   16000   0.88759632  0.032818203   0.84219831  -0.48819586 
   16100   0.89123628  0.031201728   0.85084088  -0.48500913 
   16200   0.90853714  0.031414424   0.87154947  -0.49023235 
   16300   0.92352358   0.03109274   0.89597152  -0.48827307 
   16400    0.9421487  0.032263612   0.91000662  -0.50215466 
   16500   0.92380459  0.032564266   0.89492484  -0.48974095 
   16600    0.8842586  0.032079107   0.84454906  -0.48084231 
   16700   0.86165765  0.028771812   0.81621772  -0.47529769 
   16800    0.8646215   0.03020979   0.82120903  -0.47474881 
   16900   0.88657088  0.032566856    0.8459845  -0.48287267 
   17000   0.89219443  0.030974619   0.87356507   -0.4637211 
   17100   0.91249547  0.033136262   0.89181762  -0.47589723 
   17200   0.92178729  0.033744601   0.89569758  -0.48594452 
   17300   0.92319316  0.031298082   0.88374927  -0.50000005 
   17400   0.90567505  0.032391734   0.85760371  -0.49988819 
   17500   0.88141005  0.030640483   0.83453941  -0.48658234 
   17600   0.87837702  0.029148133   0.82981744  -0.48675818 
   17700    0.8842134  0.031195194   0.84036344  -0.48496018 
   17800   0.89140456  0.031648309   0.85390074  -0.48220151 
   17900   0.89691705  0.030249297   0.86397897  -0.48038581 
   18000   0.90312247   0.02732386   0.87343684  -0.48022907 
   18100   0.91271171  0.033695208   0.88000005  -0.48803892 
   18200   0.89824512  0.030598239   0.87762245  -0.46873293 
   18300   0.90249966  0.029619864   0.87429315  -0.47843926 
   18400   0.89093931  0.031055174   0.87105157  -0.46435333 
   18500   0.88835446   0.03236145   0.87096972  -0.46056081 
