run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.717 | 2.717 | 2.717 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9  0.036682658    1.3306319 -0.018353853 
     100   0.91821729  0.039126224    1.3291697 -0.047121455 
     200   0.97208209   0.04059352    1.3060755  -0.15095212 
     300   0.96647825  0.039633961    1.2369549  -0.21167328 
     400   0.94371056  0.036934188    1.1915837  -0.22291863 
     500    0.9237432  0.036522026    1.1464002  -0.23817361 
     600   0.92009765  0.035022415    1.1001604  -0.27894919 
     700   0.90337676  0.031989795     1.058104  -0.29594303 
     800   0.88748561  0.034873647    1.0261354  -0.30409283 
     900   0.87359491  0.030421887    1.0071118  -0.30229602 
    1000   0.87789046  0.033828505    1.0056463  -0.31020006 
    1100   0.88582941   0.03206869    1.0192744  -0.30847139 
    1200   0.90011907  0.033645577    1.0426477  -0.30651654 
    1300   0.92651773  0.034320891    1.0643498  -0.32438267 
    1400   0.93381089  0.030022377     1.069211    -0.330453 
    1500   0.92438611  0.030913083    1.0501009  -0.33543654 
    1600   0.89600906  0.033334139    1.0143847  -0.32861911 
    1700    0.8862022  0.031249083   0.98659029  -0.34171428 
    1800   0.87741799  0.031882611   0.97906949  -0.33606867 
    1900   0.88874779  0.031105115   0.98583455  -0.34628554 
    2000   0.89252872  0.032358761    0.9983136  -0.33947362 
    2100   0.90843972  0.031562563    1.0122105   -0.3494253 
    2200   0.91340536  0.028392963    1.0197294  -0.34934926 
    2300   0.92004407  0.031584027    1.0186864  -0.36034284 
    2400   0.91213046  0.034785528    1.0032316  -0.36393617 
    2500   0.89083429  0.030268272    0.9653181  -0.36992939 
    2600   0.85937366   0.02926788   0.91236349  -0.37572851 
    2700   0.84484636  0.027931283   0.89979616  -0.36652126 
    2800   0.85743703  0.029632709    0.9172428  -0.36794643 
    2900   0.87653111  0.028905606   0.94737394  -0.36643491 
    3000   0.90998555  0.029303232   0.98002618  -0.38392663 
    3100   0.91956042  0.028847233    1.0005659  -0.37773844 
    3200   0.90650767   0.03090969    1.0095213   -0.3492186 
    3300   0.91322719  0.032353629    1.0105732  -0.35823835 
    3400   0.91159053  0.033094577   0.99944251  -0.36691595 
    3500    0.8924095  0.032253701   0.97459783  -0.36301069 
    3600   0.87694453  0.033633545   0.94695541  -0.36747309 
    3700   0.87843486  0.029420295   0.93129337  -0.38536894 
    3800   0.87646235   0.03226669   0.93111721  -0.38258857 
    3900   0.89819965  0.030135119   0.94955592  -0.39673131 
    4000   0.93246205  0.034741675   0.99126636  -0.40637585 
    4100   0.94245674  0.032340439    1.0236785  -0.38894446 
    4200   0.94161103  0.030664699    1.0215205  -0.38983491 
    4300    0.9116413  0.028522143   0.99133721  -0.37509735 
    4400   0.89960881  0.031367135    0.9563054  -0.39209398 
    4500   0.89581138  0.028666381   0.93945243  -0.40325509 
    4600   0.89920346  0.029653872   0.93590805  -0.41188377 
    4700   0.90031248  0.032997221   0.93475711  -0.41469699 
    4800   0.89218816  0.030329322   0.93367611  -0.40360065 
    4900   0.89429971  0.030830295   0.93616028  -0.40428144 
    5000   0.89370953  0.029173172   0.94490393  -0.39465318 
    5100   0.90329045  0.029913165    0.9654675  -0.38845019 
    5200   0.92158227  0.032514258   0.99637642  -0.38495838 
    5300   0.92926005  0.031283557     1.018638   -0.3742048 
    5400   0.93057991  0.033363178    1.0200946  -0.37472656 
    5500    0.9090813  0.032837161   0.99189755   -0.3706999 
    5600   0.88280026  0.028331387   0.94309363  -0.38011186 
    5700   0.87512033   0.02991066   0.92242451  -0.38926975 
    5800   0.88426827  0.030188874   0.92520095  -0.40020491 
    5900   0.88307477  0.029823746   0.93766961  -0.38594734 
    6000   0.90518762  0.033238132   0.95538458  -0.40137674 
    6100   0.91489558  0.030499293    0.9664897   -0.4048226 
    6200   0.91004228  0.030632016    0.9660689  -0.39796892 
    6300   0.89568348  0.030639115   0.95591935  -0.38659646 
    6400    0.8838851  0.029938175   0.93495804   -0.3898735 
    6500   0.87447676  0.028761522   0.90081105  -0.40991858 
    6600   0.85453878  0.027101791    0.8768728  -0.40397232 
    6700   0.85719434  0.027747063   0.88436337  -0.40046211 
    6800   0.87855597  0.032014612   0.92492443  -0.39191941 
    6900   0.90352584  0.030053555   0.96028697  -0.39398355 
    7000   0.92901952  0.030606289   0.97199048  -0.42049182 
    7100   0.91830859  0.032394718   0.96307398  -0.41335399 
    7200    0.8967961   0.02675041    0.9430875  -0.40109598 
    7300    0.8915692  0.029046519   0.92885897  -0.40749006 
    7400   0.88384603  0.029462224    0.9222127  -0.40256027 
    7500   0.89451656  0.030465749   0.92343024  -0.41733651 
    7600   0.90549504  0.028734245   0.93731628  -0.41990582 
    7700   0.91296894   0.03343595   0.96883386  -0.39959066 
    7800   0.93030242  0.030818813    1.0002595  -0.39414575 
    7900   0.94790537  0.032828429    1.0092212   -0.4115686 
    8000   0.92737606  0.029792879    0.9843071  -0.40571185 
    8100   0.90349561  0.033469038   0.94142485  -0.41280036 
    8200   0.89735251  0.030749813   0.91555702  -0.42946045 
    8300   0.89714044  0.028966629   0.90594783  -0.43875178 
    8400   0.89041081  0.030431743   0.90238717  -0.43222557 
    8500   0.88839077  0.028657999   0.90566593  -0.42591903 
    8600   0.89502563  0.028593786   0.92090278  -0.42062699 
    8700   0.89810026  0.033456089   0.94702887  -0.39910938 
    8800   0.91476125  0.029277719   0.97721064  -0.39390032 
    8900   0.93355061  0.031650352   0.99742746  -0.40184638 
    9000   0.93419995  0.033055129   0.99288241   -0.4073647 
    9100   0.91248927  0.030382494   0.95524882  -0.41245673 
    9200   0.88521009  0.026922766   0.91169996  -0.41511758 
    9300   0.86729618  0.028636292   0.90622687  -0.39373998 
    9400   0.88651478  0.029586333   0.92018755  -0.40858554 
    9500   0.90401721  0.031168251   0.94012442   -0.4148826 
    9600   0.91220587  0.032292421   0.95422394  -0.41305684 
    9700   0.91693505  0.031302515   0.95913104  -0.41523818 
    9800   0.91084201  0.031505414   0.95099827  -0.41423826 
    9900   0.87894122  0.029177989   0.93170586  -0.38571542 
   10000   0.88840632  0.030288478   0.91558122  -0.41602706 
   10100   0.88359717  0.030911204   0.90390795  -0.42049201 
   10200   0.88194963   0.02585586   0.89654518  -0.42538534 
   10300   0.88342214  0.027023129   0.90283247  -0.42130515 
   10400   0.90457884  0.028861336     0.932322  -0.42352683 
   10500   0.91979861  0.035423371   0.96605063   -0.4126107 
   10600   0.92476426   0.03254005    0.9782951  -0.40780911 
   10700   0.92526834  0.030824407    0.9684918  -0.41836796 
   10800   0.89716043  0.027949662   0.94142336  -0.40330622 
   10900   0.87506184  0.031455506   0.91598667  -0.39561991 
   11000   0.86912203  0.028963171   0.90754597   -0.3951576 
   11100   0.87404972  0.028592638   0.92218865  -0.38790091 
   11200   0.92528607  0.031714979   0.96686777  -0.42001857 
