run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.731 | 2.731 | 2.731 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9   0.02968131    1.3335901 -0.015395603 
     100   0.91151786  0.030564144     1.332739 -0.033510484 
     200    0.9420668   0.02985851    1.3190969 -0.092941642 
     300   0.95556215   0.03287437    1.2632348  -0.16903151 
     400   0.93734347  0.029060131    1.2117012  -0.19325765 
     500   0.91553763  0.027479221    1.1783742  -0.19390047 
     600   0.90712587  0.029892595    1.1451586  -0.21450791 
     700   0.88409576  0.026237938    1.1147559  -0.21039142 
     800   0.87306468  0.026553418    1.0985342  -0.21007893 
     900   0.87159679   0.02839759     1.100206  -0.20620695 
    1000   0.89251609  0.025802452    1.1202785  -0.21748978 
    1100   0.91733929  0.029209266    1.1472119  -0.22776324 
    1200   0.92621856  0.027260876    1.1599997  -0.22828431 
    1300   0.92256381  0.027115776    1.1531498   -0.2296562 
    1400   0.90920482  0.025806489    1.1247217  -0.23806083 
    1500   0.88434959  0.023878823    1.0897842  -0.23574357 
    1600   0.87950807  0.028152973    1.0742616   -0.2440093 
    1700   0.88638564  0.025250654      1.07476  -0.25381949 
    1800   0.89853245  0.026472762    1.0815032  -0.26528282 
    1900   0.90255835  0.025543826    1.0872324  -0.26558801 
    2000    0.9039637  0.026880165    1.0904508  -0.26447605 
    2100   0.90816797  0.025460214    1.0896708  -0.27155764 
    2200   0.90641016  0.027213849    1.0842666  -0.27432709 
    2300   0.89697024  0.026910683    1.0776969  -0.26674759 
    2400   0.90083654  0.027262826    1.0742039  -0.27603574 
    2500   0.90139578  0.024341691    1.0721206  -0.27895725 
    2600   0.89175351   0.02681269    1.0718529  -0.26477243 
    2700   0.89402549  0.026126606    1.0745251  -0.26550556 
    2800   0.90121552  0.026693433    1.0797796  -0.27102805 
