run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 22 22 22
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.739 | 2.739 | 2.739 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9  0.025847436    1.3335815 -0.015404222 
     100   0.91024383  0.026806918    1.3327731 -0.031566831 
     200    0.9320436  0.027072374    1.3199019 -0.077113163 
     300   0.93711541  0.026044707    1.2704604  -0.13415666 
     400   0.92136489  0.024594807    1.2215658  -0.15944317 
     500   0.90586114  0.025887272    1.1982476  -0.15952322 
     600   0.90105467  0.025932843    1.1779251  -0.17264143 
     700   0.89043234  0.023057747    1.1568249  -0.17782017 
     800   0.87964736  0.024142998    1.1424124  -0.17606732 
     900   0.88600229  0.022446396    1.1408877  -0.18711726 
    1000   0.90085662  0.023451717    1.1509756  -0.19929408 
    1100   0.90726249  0.022981876     1.166381   -0.1934903 
    1200   0.91628912  0.024262397    1.1832031  -0.19019793 
    1300   0.93058788  0.024089395    1.1938272   -0.2010059 
    1400   0.92616834  0.025725402    1.1817815  -0.20642726 
    1500    0.9048142  0.022652506    1.1358092  -0.22039243 
    1600    0.8746346  0.022882941    1.0996975  -0.21126867 
    1700    0.8665076  0.023068749     1.094215  -0.20456988 
    1800    0.8773653  0.023146192    1.1095022  -0.20555703 
    1900   0.90528808  0.024569522    1.1344235  -0.22248836 
    2000   0.92330403  0.025305901    1.1500688  -0.23384669 
    2100   0.91592665  0.023765379    1.1476503  -0.22520748 
    2200   0.90694034  0.022736037      1.13124  -0.22814842 
    2300   0.88514049  0.022985908    1.1055765  -0.22113666 
    2400   0.87665136  0.021869702    1.0795824  -0.23440663 
    2500    0.8684068  0.021553718    1.0558188  -0.24581269 
    2600   0.84850959  0.022253727    1.0321967  -0.23961143 
    2700   0.84647075  0.020214382    1.0270354  -0.24171677 
    2800   0.87337279   0.02336329    1.0621419  -0.24693301 
    2900   0.90578257  0.021985854    1.1072621  -0.25039099 
    3000   0.92196605  0.024042818    1.1278246  -0.25408542 
    3100   0.92859192  0.022916872     1.126676  -0.26516536 
    3200   0.90950466  0.021556341     1.107386    -0.255846 
    3300    0.8888672  0.023318028    1.0820933   -0.2502058 
    3400   0.88082855  0.024090452    1.0640599  -0.25619023 
    3500    0.8757007  0.024667451    1.0570455   -0.2555187 
    3600     0.880368  0.021722139    1.0646019  -0.25495799 
    3700   0.90570104  0.021998765    1.0982906  -0.25924029 
    3800    0.9467412  0.024365512    1.1426321  -0.27641275 
    3900   0.93640845  0.025798348    1.1483894  -0.25516794 
    4000   0.91849632  0.022739065    1.1284887  -0.24822064 
    4100   0.91787941  0.023646017    1.1065221  -0.26926256 
    4200   0.89837367  0.022752085    1.0896295  -0.25691853 
    4300   0.89466429  0.023078743    1.0807761  -0.26021205 
    4400   0.89168159  0.022414349    1.0779837  -0.25853377 
    4500   0.89968197  0.023096688    1.0805538  -0.26795522 
    4600   0.89206135  0.021619255    1.0865068  -0.25057988 
    4700   0.90032416  0.022864858    1.1027982  -0.24667341 
    4800   0.92824216    0.0233725    1.1357141  -0.25560302 
    4900   0.94692828  0.025187376    1.1626958  -0.25662944 
    5000   0.94406413  0.024250466    1.1565935  -0.25843878 
    5100   0.91237398  0.023855418    1.1109614  -0.25657139 
    5200   0.88950904  0.020500176    1.0724053  -0.26085583 
    5300   0.87699978  0.023260577    1.0644048  -0.25010649 
    5400   0.89052222  0.023059685    1.0715802  -0.26319955 
    5500    0.8983191  0.022490196    1.0854319  -0.26103435 
    5600   0.90261353  0.021492252    1.1018224  -0.25108071 
    5700   0.91398598  0.023471151    1.1187546  -0.25119434 
    5800   0.91879611  0.023448767     1.128635  -0.24852374 
    5900   0.92621391   0.02269126    1.1233056  -0.26497143 
    6000   0.90813707  0.023473117    1.0861443  -0.27503788 
    6100    0.8753097  0.022465274    1.0398039  -0.27217425 
    6200   0.86914438  0.022508249    1.0263433   -0.2763938 
    6300   0.88182389  0.021240705    1.0356766  -0.28606545 
    6400   0.89428059  0.022310756    1.0567688  -0.28364426 
    6500   0.90140681  0.022842933    1.0782266  -0.27286772 
    6600   0.91494444  0.022757271    1.0926947  -0.27869084 
    6700   0.91112661  0.022637878    1.0957666  -0.26989646 
    6800   0.91026699  0.023271641    1.0889996  -0.27537509 
    6900   0.89396827  0.024911362    1.0636914  -0.27625349 
    7000   0.85431835  0.022371677    1.0114378  -0.26907695 
    7100   0.84394369  0.021021765   0.98830059  -0.27666384 
    7200   0.85501267  0.021254957    1.0033281   -0.2782273 
    7300   0.87890312  0.020860928    1.0334441  -0.28392011 
    7400   0.89240497  0.020778136    1.0577794  -0.27982234 
    7500   0.90532731  0.023502694    1.0733635  -0.28360721 
    7600   0.90355728  0.022618705    1.0803775  -0.27394009 
    7700   0.90088614  0.023531286    1.0834417  -0.26687228 
    7800   0.90588752  0.023589717    1.0841847  -0.27362566 
    7900   0.90045712  0.021744595    1.0796785  -0.26999239 
    8000   0.89633038  0.021860429    1.0693727  -0.27411269 
    8100   0.88637154  0.021444698    1.0535708  -0.27498762 
    8200   0.88270549  0.022425984    1.0391922   -0.2838712 
    8300   0.87526867  0.022796693    1.0337731  -0.27814351 
    8400   0.88731247  0.021318322    1.0461915  -0.28377725 
    8500    0.9090508  0.021994919     1.078125  -0.28442674 
    8600    0.9355287  0.022355487    1.1061083  -0.29613042 
    8700   0.94086457  0.021750819    1.1080406  -0.30219597 
    8800    0.9196419  0.021885926    1.0825051  -0.29592137 
    8900   0.88515182  0.023234246    1.0480649  -0.27866532 
    9000    0.8748447   0.02086289    1.0355028  -0.27577832 
    9100    0.8795433  0.022300975     1.042299  -0.27602468 
    9200   0.88842873  0.022022972    1.0562895  -0.27535241 
    9300   0.90754431  0.021805105    1.0716829  -0.28861081 
    9400   0.90748639   0.02287326     1.080288  -0.27991885 
    9500   0.90228788   0.02175618    1.0836749  -0.26874007 
    9600   0.90664233  0.023420944     1.086124  -0.27281775 
    9700   0.90377764  0.023870215     1.082602  -0.27204587 
