run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 22 22 22
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.739 | 2.739 | 2.739 Mbytes
Step Temp Press TotEng PotEng 
       0          0.9  0.024285443     1.333582 -0.015403715 
     100   0.91249848  0.025119027    1.3327206 -0.034998746 
     200   0.92434376  0.023402498    1.3210226 -0.064451378 
     300    0.9368324  0.025466592    1.2778819  -0.12631095 
     400   0.91589281  0.024926636    1.2239364  -0.14887062 
     500   0.89967284  0.023662706    1.2009406  -0.14755472 
     600    0.9002476  0.022802946    1.1871399  -0.16221698 
     700   0.89492937  0.023172494    1.1742074  -0.16717808 
     800   0.89298519  0.021179178    1.1627985  -0.17567288 
     900   0.89562281  0.020724082    1.1564815  -0.18594335 
    1000   0.89401011  0.022154003     1.154901  -0.18510663 
    1100   0.89591524  0.023020365     1.157241  -0.18562222 
    1200   0.90351932  0.022777602    1.1615934  -0.19266738 
    1300   0.90486413  0.022123083    1.1657905  -0.19048597 
    1400   0.90937281  0.021972338    1.1670877  -0.19594667 
    1500   0.91018095  0.022302963    1.1603934   -0.2038523 
    1600   0.89953395  0.022375169     1.142551  -0.20573614 
    1700   0.89589393  0.020653986    1.1173596   -0.2254716 
    1800   0.87859158  0.021858269    1.0941524  -0.22274486 
    1900   0.86888916  0.020378784    1.0846668  -0.21768778 
    2000   0.87962617   0.02084296    1.0976776  -0.22077035 
    2100   0.91153373  0.022650008    1.1351525  -0.23112079 
    2200   0.92653634   0.02202882    1.1673286  -0.22143176 
    2300   0.92857907  0.022512727    1.1738926  -0.21792957 
    2400   0.92107351  0.022577508     1.161723  -0.21884921 
    2500   0.91641277  0.021825085    1.1432272  -0.23035918 
    2600   0.89959992  0.023335082    1.1273466  -0.22103945 
    2700   0.89711318  0.021418342    1.1173985  -0.22726022 
