run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0            1  -0.42523435   -2.9691029    -4.467976 
     100   0.84481811  -0.28006303   -2.9121804   -4.1784554 
     200   0.82770615  -0.28517845   -2.8472639   -4.0878903 
     300   0.85323956  -0.17934604   -2.7657616   -4.0446593 
     400   0.90190285  -0.30335632   -2.6793057   -4.0311436 
     500    0.9116572  -0.21878173   -2.5950213   -3.9614797 
     600   0.97597009  -0.18497836   -2.5151901   -3.9780453 
     700    1.0031604 0.0065038944   -2.4468407   -3.9504508 
     800    1.0105325    0.1409921   -2.3976683   -3.9123281 
     900    1.0406503 -0.078461968   -2.3728331   -3.9326357 
    1000    1.0302568  0.039610386   -2.3672259   -3.9114501 
    1100    1.0134083  0.089151899   -2.3812065   -3.9001769 
    1200    1.0174186 -0.031839109   -2.4093169   -3.9342982 
    1300   0.97994906 -0.015998339   -2.4381787    -3.906998 
    1400   0.99972095 -0.029101171   -2.4564515   -3.9549062 
    1500    0.9847406 0.0013343904   -2.4684584   -3.9444595 
    1600    1.0059755  -0.10151222   -2.4692539   -3.9770835 
    1700   0.99891128  -0.17073997   -2.4600213   -3.9572625 
    1800   0.99008911 -0.053617344   -2.4391475   -3.9231654 
    1900    1.0134465 -0.040771087   -2.4159118   -3.9349394 
    2000    1.0030765  0.053599296   -2.4039935   -3.9074779 
    2100     1.021112  -0.06814405    -2.400673   -3.9311902 
    2200    1.0156715 0.0093053568    -2.407426   -3.9297886 
    2300   0.99112054 -0.034899645    -2.430106   -3.9156698 
    2400   0.98873414 -0.028527628   -2.4513251    -3.933312 
    2500   0.98389139  -0.11890381   -2.4659745   -3.9407028 
    2600   0.97561024  -0.17301783   -2.4674959   -3.9298117 
    2700   0.99397609 -0.018087048   -2.4502322   -3.9400761 
    2800   0.99476896 -0.0024062085   -2.4225841   -3.9136164 
    2900    1.0452282  -0.14780761   -2.3901504   -3.9568148 
    3000    1.0266377   0.13142828   -2.3758029   -3.9146025 
    3100    1.0170643  0.084844182   -2.3819733   -3.9064236 
    3200    1.0144713  0.036765588   -2.4138592   -3.9344229 
    3300   0.99892709  -0.10774253   -2.4631087   -3.9603735 
    3400    0.9655307  -0.17887733   -2.4847148   -3.9319227 
    3500   0.97408699  -0.01032852    -2.479006   -3.9390387 
    3600   0.97265579  0.079510154   -2.4651738   -3.9230614 
    3700   0.97555911  0.093537562   -2.4508179   -3.9130572 
    3800   0.98998793  0.033614693   -2.4341246   -3.9179908 
    3900   0.98951382  0.098673346   -2.4147833   -3.8979388 
    4000    1.0387769  -0.08458472   -2.3934572   -3.9504518 
    4100    1.0283235  0.022519351   -2.3883766    -3.929703 
    4200   0.98593668   0.23697956   -2.4075787   -3.8853726 
    4300   0.98260775  0.011811327   -2.4617462   -3.9345504 
    4400   0.98244858  -0.15946146   -2.5059656   -3.9785313 
    4500   0.98601492   -0.1487002   -2.5170832   -3.9949944 
    4600   0.96386845  0.035023547    -2.511987   -3.9567034 
    4700   0.99984933  -0.11894207   -2.4872092   -3.9858564 
    4800    1.0018992  -0.05815782      -2.4561   -3.9578198 
    4900    1.0061352 -0.034651592   -2.4346048   -3.9426737 
    5000    1.0186674 -0.077818484   -2.4250844   -3.9519376 
    5100    1.0184839 -0.075921674    -2.422335    -3.948913 
    5200    1.0013323 -0.013959723   -2.4264159   -3.9272858 
    5300     1.016399  -0.17355404   -2.4342893   -3.9577423 
