run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 16 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.755 | 2.755 | 2.755 Mbytes
Step Temp Press TotEng PotEng 
       0            1  0.070403384    1.4231882 -0.075684814 
     100    1.0910363  0.066943227    1.4178488  -0.21747615 
     200    1.1770683  0.089157636    1.3419633  -0.42231272 
     300    1.1378537  0.083092975    1.2545339  -0.45096437 
     400     1.096975   0.07281926     1.160785  -0.48344115 
     500    1.0666554  0.069169523    1.0701579  -0.52862312 
     600    1.0293711   0.06587846    0.9907186  -0.55217794 
     700   0.99742202   0.06095609   0.92695537   -0.5680536 
     800   0.98895461  0.055034773   0.88113341  -0.60118398 
     900   0.98915549  0.057764757   0.85034834  -0.63227014 
    1000   0.98479474  0.052275404   0.83177567   -0.6443066 
    1100   0.98579881  0.057371259   0.82594713  -0.65164011 
    1200   0.99558818  0.057997738   0.82924407   -0.6630162 
    1300    1.0104667  0.055533533   0.83534452  -0.67921676 
    1400    1.0257715  0.055373608      0.83686  -0.70064122 
    1500    1.0129096  0.063476566   0.82337944  -0.69484338 
    1600   0.99498585  0.047972719   0.79737011  -0.69398735 
    1700   0.98396754   0.05160931   0.77925775  -0.69558467 
    1800   0.98521586  0.055402633   0.77395994  -0.70275354 
    1900    1.0010015  0.050901221   0.77980114  -0.72057302 
    2000    1.0011664  0.052319844    0.7908066  -0.70981473 
    2100    1.0052572  0.059260545   0.80507482  -0.70167806 
    2200    1.0221963  0.056084678   0.81950512  -0.71263733 
    2300    1.0115198   0.06165742   0.82249596  -0.69364385 
    2400    1.0094101  0.056179679   0.81320222  -0.69977541 
    2500    1.0072144  0.046713634   0.78924025   -0.7204463 
    2600   0.99345072  0.057860893   0.75346989  -0.73558659 
    2700     0.982262  0.049998778   0.72153269  -0.75075332 
    2800   0.97966091   0.05056765   0.70935357  -0.75903375 
    2900   0.97662431   0.04151328   0.71765541  -0.74618042 
    3000   0.98999743  0.048770842   0.74415318  -0.73972727 
    3100     1.018067  0.051650828   0.77097844  -0.75497471 
    3200      1.02584  0.048678323   0.77783273  -0.75977124 
    3300    1.0261209  0.052800017   0.76963684  -0.76838813 
    3400    1.0102002  0.055789636   0.75339577  -0.76076608 
    3500    0.9916135  0.050672594   0.73592047  -0.75038227 
    3600   0.97799057  0.058665629   0.72648564  -0.73939805 
    3700   0.99527108  0.045817209   0.72910431  -0.76268067 
    3800    1.0040256  0.046044113   0.74732752  -0.75757939 
    3900    1.0163203   0.05973662   0.78232306  -0.74101196 
    4000      1.03785  0.050148611   0.81668457  -0.73892076 
    4100    1.0426164  0.068896485   0.82639743  -0.73635218 
    4200    1.0220005  0.053186078   0.79686794  -0.73498104 
    4300   0.98036793  0.055339283   0.73622259  -0.73322447 
    4400   0.96531587  0.058354387   0.71373428  -0.73315163 
    4500   0.97732365  0.059037056   0.71864278  -0.74624127 
    4600   0.99758598  0.042539216   0.73418126  -0.76107346 
    4700   0.99208643  0.059349763   0.75577245  -0.73123913 
    4800    1.0298676  0.053232279   0.77720657  -0.76643422 
    4900    1.0219563  0.054572633   0.78507461   -0.7467081 
    5000     1.004867  0.050216385   0.77764456  -0.72852348 
    5100   0.97804708  0.057838695   0.76249622  -0.70347217 
    5200   0.97324811  0.055782339   0.74562491  -0.71315043 
    5300   0.97029323  0.045856352   0.73693936    -0.717407 
    5400   0.98228835  0.053956892   0.74935301   -0.7229725 
    5500   0.99537513  0.059261677   0.78161331  -0.71032762 
    5600    1.0180459  0.059032925     0.815349  -0.71057259 
    5700      1.02827  0.053751593   0.82856252  -0.71268368 
    5800    1.0175867  0.058890262   0.82175343  -0.70347981 
    5900    1.0199088  0.052830152   0.79441018  -0.73430356 
    6000    1.0007513  0.047971973   0.74995378  -0.75004537 
    6100   0.98221991   0.04524414   0.72233121  -0.74989171 
    6200   0.97638531  0.055017446   0.72066328  -0.74281432 
    6300   0.99057466  0.061033461   0.73252062  -0.75222501 
    6400    1.0030712  0.051227396   0.74524191  -0.75823442 
    6500    1.0041429  0.049536827   0.75633298  -0.74874973 
    6600   0.99632872  0.057150621   0.76736155  -0.72600869 
    6700    1.0202455  0.057890018   0.78127948  -0.74793899 
    6800    1.0222653  0.053567718   0.79161234  -0.74063356 
    6900    1.0152561  0.062460672   0.78834112  -0.73339882 
    7000    1.0029854  0.056002756   0.76321854  -0.74012921 
    7100   0.98081315  0.046826234   0.72817204  -0.74194234 
    7200   0.96923917  0.057455727   0.70954519  -0.74322126 
    7300   0.98156707  0.048262559   0.71076471   -0.7604797 
    7400    0.9801219   0.06438977   0.72874279  -0.74033549 
    7500    1.0050304  0.057354531   0.76097892  -0.74543397 
    7600     1.038886   0.05130592   0.79184936  -0.76530887 
    7700    1.0357559   0.05495845   0.79799516  -0.75447143 
    7800    1.0027696  0.060852512   0.77810731  -0.72491702 
    7900   0.98044185  0.052489572   0.74040711  -0.72915072 
    8000   0.96713664  0.049860263   0.69830292   -0.7513121 
    8100   0.96468561  0.044751259   0.67347979  -0.77246144 
    8200   0.95620928   0.05143396   0.67721872  -0.75601759 
    8300    1.0012577  0.057548437   0.74413793  -0.75662024 
    8400    1.0277751  0.064321556   0.79807964  -0.74242481 
    8500    1.0229639  0.067434135   0.80071701  -0.73257597 
    8600    1.0005908  0.059112048   0.78580716  -0.71395141 
    8700    1.0119807  0.055088595   0.76465485  -0.75217573 
    8800   0.97462729  0.050645261   0.74181436  -0.71902819 
    8900   0.98663628  0.048173718   0.73347697  -0.74536553 
    9000   0.99979524  0.060006319   0.73820361  -0.76036251 
    9100   0.99481752  0.050750937   0.74605991  -0.74504524 
    9200    1.0195841  0.058804181   0.75621401  -0.77201316 
    9300    1.0285576  0.052581981   0.75639861  -0.78527856 
    9400    1.0221891   0.06206876   0.72393657  -0.80819512 
    9500   0.97613975  0.052197787   0.67310083  -0.79000871 
    9600   0.95412726  0.047343597   0.65668378  -0.77343183 
    9700    0.9588838  0.044824019   0.67492397   -0.7623211 
    9800   0.97652549  0.045113725   0.71409231  -0.74959541 
    9900   0.99415281  0.047789552   0.74957887  -0.74052997 
   10000    1.0104342  0.058040979   0.77086592  -0.74364672 
   10100    1.0048435  0.065529667   0.77663992   -0.7294929 
   10200   0.99214436  0.053402007   0.77302094  -0.71407748 
   10300    1.0064876  0.060072674   0.76766982  -0.74092724 
   10400   0.99062443  0.045039693   0.75541821  -0.72940202 
   10500   0.97353017  0.056765045   0.74625772  -0.71294039 
   10600   0.98311708  0.055270206   0.75266426  -0.72090342 
   10700    1.0027091  0.052118026   0.78317341  -0.71976025 
   10800    1.0213776  0.057332366   0.82249034  -0.70842493 
   10900    1.0290758  0.062069199   0.84132586   -0.7011281 
   11000    1.0322754  0.055993368   0.83468683  -0.71256299 
   11100    1.0094949   0.05658933   0.80487875  -0.70822594 
   11200   0.98616323  0.051786119    0.7679143  -0.71021917 
   11300   0.97953894  0.051390504   0.75266722  -0.71553727 
   11400   0.99221525  0.052109666   0.75533387  -0.73187081 
   11500    1.0024269  0.057091564   0.76158237  -0.74092832 
   11600    0.9958393  0.052457791   0.76744785  -0.72518882 
   11700   0.99402217  0.062884026   0.77459541  -0.71531761 
   11800    1.0014791  0.060261399   0.77977726  -0.72131272 
   11900    1.0048407   0.05586432   0.77981752  -0.72631108 
   12000    1.0018924  0.054935908   0.77403946  -0.72767001 
   12100   0.99354459  0.052478141   0.75556217  -0.73363503 
   12200   0.97045708  0.052492169   0.71925275  -0.73533919 
   12300   0.96130208  0.049521059   0.69380209  -0.74706767 
   12400   0.96470916  0.049159517   0.69652448  -0.74945205 
   12500    1.0034655  0.051137121   0.72640286  -0.77766458 
   12600    1.0348211  0.053211302   0.75667517  -0.79439032 
   12700    1.0205372   0.05480681   0.76178321  -0.76787247 
   12800    1.0160782  0.045458015   0.74928011  -0.77369206 
   12900   0.98617613  0.052031592   0.72448393  -0.75366887 
   13000   0.96858783  0.050225878   0.69395217  -0.75783801 
   13100   0.95240767  0.045230391    0.6667353  -0.76080287 
   13200   0.94882138  0.049827004   0.65979129  -0.76237149 
   13300   0.99521516  0.055433685    0.6953304  -0.79637076 
   13400    1.0205049  0.052430164    0.7437265  -0.78588072 
   13500    1.0282127  0.064512537   0.76262621   -0.7785341 
   13600    1.0197631  0.063503985   0.75473987  -0.77375553 
   13700   0.98506682  0.057273628   0.73208339   -0.7444067 
   13800   0.98500962  0.053899889   0.71268343  -0.76372092 
   13900   0.97095286  0.045025499   0.70516004  -0.75017501 
   14000   0.99158006  0.062263187   0.72137669  -0.76487592 
   14100     1.010987  0.055936999   0.76553935  -0.74980184 
   14200    1.0431883  0.059213766   0.81222322  -0.75138353 
   14300    1.0451201  0.067340194   0.81771159   -0.7487908 
   14400    1.0278505  0.069967862   0.79028629  -0.75033113 
   14500    1.0125554  0.051793173   0.75839447  -0.75929751 
   14600   0.98934825  0.055853955   0.74201433  -0.74089307 
   14700   0.98157947  0.057576397     0.738144  -0.73311899 
   14800   0.99060786  0.054579476    0.7448593  -0.73993611 
   14900   0.99423008  0.053869129   0.76042299  -0.72980166 
   15000    1.0195274   0.05044063   0.78263146  -0.74551067 
   15100    1.0266828  0.058412508   0.80147413  -0.73739305 
   15200     1.039982  0.060353359    0.8046008   -0.7542002 
   15300     1.007699  0.059414262   0.76700473  -0.74340811 
   15400   0.96677999  0.048800743   0.71473276   -0.7343477 
   15500   0.97629834  0.054266951   0.70049845  -0.76284879 
   15600   0.99757755  0.059353989   0.70400683  -0.79123525 
   15700   0.99267825  0.055146147    0.7110115  -0.77688715 
   15800   0.99876063  0.056928317   0.72262666   -0.7743887 
   15900    1.0021531  0.059721748   0.74223242  -0.75986786 
   16000    1.0213163  0.051114951   0.77318732  -0.75763607 
   16100    1.0341517  0.059469537    0.8085192  -0.74154296 
   16200    1.0418451  0.065332361   0.82665029   -0.7349432 
   16300    1.0311498  0.063162778   0.81005848  -0.73550418 
   16400   0.98719123   0.05166302   0.75562248  -0.72405183 
   16500   0.98168816  0.051732749   0.72037207  -0.75105384 
   16600   0.98011272  0.060168385    0.7132918  -0.75577272 
   16700   0.98821864  0.055629789   0.71771617   -0.7634981 
   16800   0.99394486  0.051896195   0.72955131  -0.76024582 
   16900    1.0061223  0.058408844   0.74685595  -0.76119362 
   17000    1.0123362  0.061060761   0.76292872  -0.75443476 
   17100    1.0198572  0.060401766   0.77290199  -0.75573453 
   17200    1.0071599  0.048340865    0.7723574  -0.73724747 
   17300    1.0099852  0.052881682   0.75690745  -0.75693215 
   17400    1.0111618  0.052292396   0.72318853  -0.79241466 
   17500    0.9831634  0.053499744   0.68533062  -0.78830647 
   17600   0.95915849  0.050374306   0.66702005  -0.77063673 
   17700   0.95222593  0.046900764   0.67972791  -0.74753786 
   17800   0.96488167  0.055136885   0.72402145  -0.72221365 
   17900    1.0046312  0.058686006   0.76184755  -0.74396702 
   18000     1.012867   0.06241921   0.77683091  -0.74132808 
   18100    1.0182669  0.066223489   0.77531875  -0.75093397 
   18200    1.0008486  0.048613694    0.7571558  -0.74298919 
   18300   0.99371976  0.055470131    0.7370163  -0.75244344 
   18400   0.97288452  0.042627992   0.72379602  -0.73443434 
   18500   0.97892852  0.050833148   0.72973294  -0.73755662 
   18600    1.0198571  0.057118921   0.76166406  -0.76697225 
   18700    1.0358329  0.057300464   0.80012197  -0.75246006 
   18800    1.0466247  0.051067666   0.81809722  -0.75066024 
   18900    1.0484429  0.044407037   0.80446552  -0.76701724 
