run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.717 | 2.717 | 2.717 Mbytes
Step Temp Press TotEng PotEng 
       0            1  0.046463444    1.4745021 -0.024370957 
     100    1.0289075   0.04873846    1.4724478 -0.069753804 
     200    1.0958301  0.057019828    1.4384121  -0.20409811 
     300    1.0825126  0.049834538    1.3589492  -0.26359969 
     400     1.048319  0.048168192    1.3063324  -0.26496463 
     500    1.0251863  0.044889872    1.2514111  -0.28521299 
     600    1.0053412  0.040054585     1.203039  -0.30383985 
     700    0.9867499  0.044774351    1.1659181  -0.31309474 
     800   0.98451936  0.038941127    1.1387897  -0.33687985 
     900   0.97661272  0.038749201     1.125176  -0.33864248 
    1000   0.98278249  0.037927902    1.1284782    -0.344588 
    1100   0.98930436  0.043038197    1.1472481  -0.33559348 
    1200     1.007711  0.039403606    1.1743309  -0.33609994 
    1300    1.0346903  0.040248965    1.1945225  -0.35634691 
    1400    1.0388265  0.042037187    1.1909457  -0.36612331 
    1500    1.0204223  0.038962093    1.1580743  -0.37140911 
    1600    1.0006362  0.039684778    1.1168398  -0.38298675 
    1700   0.99720428  0.040444321    1.0925201  -0.40216252 
    1800   0.98766276   0.03645229    1.0830433  -0.39733776 
    1900   0.98384126  0.044181606    1.0835615  -0.39109167 
    2000   0.99166563  0.040530897    1.0914192  -0.39496169 
    2100   0.99626455  0.043921809    1.1060875  -0.38718659 
    2200    1.0107412  0.041649794    1.1279997  -0.38697311 
    2300    1.0356377  0.041451447    1.1641666  -0.38812286 
    2400     1.051887  0.044100431    1.2005793  -0.37606578 
    2500    1.0515318  0.043524501    1.2048041  -0.37130847 
    2600    1.0188233  0.043849817    1.1590742  -0.36801265 
    2700   0.98966965  0.039743838    1.1087375  -0.37465169 
    2800   0.99263028  0.038506725     1.093114  -0.39471274 
    2900   0.99360274  0.038878127    1.0891092  -0.40017512 
    3000    1.0008048  0.042273348    1.0896729   -0.4104064 
    3100    1.0062338  0.041724406    1.0872919  -0.42092483 
    3200   0.99945594  0.039941311    1.0768089  -0.42124868 
    3300   0.99376385  0.037607924    1.0582835  -0.43124236 
    3400   0.97797351  0.037109223    1.0343045  -0.43155365 
    3500   0.95780527  0.035369713    1.0166312  -0.41899725 
    3600   0.97745415  0.036932109    1.0246477  -0.44043194 
    3700   0.99659399  0.038254871    1.0661551  -0.42761276 
    3800    1.0224205  0.039243458    1.1110405  -0.42143798 
    3900    1.0372548  0.041799441    1.1261504  -0.42856292 
    4000    1.0223181  0.038069784    1.1153349  -0.41699011 
    4100    0.9997283  0.036518222    1.0944192   -0.4040466 
    4200   0.99666737  0.044129601     1.076352  -0.41752583 
    4300   0.99755773  0.037730563    1.0595605   -0.4356519 
    4400   0.98859153  0.041072487    1.0471781  -0.43459511 
    4500     0.990902  0.039041257    1.0380838  -0.44715245 
    4600   0.98882384  0.036879853    1.0268327  -0.45528866 
    4700   0.97863289  0.037677151    1.0093756  -0.45747087 
    4800   0.95866482  0.035692933    1.0006765  -0.43624031 
    4900   0.96988573  0.036611677    1.0206828  -0.43305271 
    5000    1.0020687  0.039001361    1.0624626  -0.43951123 
    5100    1.0161174  0.041423224    1.0935202  -0.42951077 
    5200    1.0271341  0.042338139    1.1041842  -0.43535943 
    5300    1.0208619  0.037357033    1.0939536  -0.43618888 
    5400   0.99969104  0.039890179     1.069358  -0.42905191 
    5500   0.97584037  0.038632318    1.0423232  -0.42033758 
    5600   0.96809662  0.041926651    1.0279928  -0.42306111 
    5700   0.96484076  0.037169131    1.0339984  -0.41217534 
    5800    1.0018212  0.038979006    1.0789329  -0.42266984 
    5900    1.0367931  0.043196661    1.1338258  -0.42019544 
    6000    1.0518104  0.043169017    1.1385795   -0.4379508 
    6100    1.0372159  0.041589129    1.1099601  -0.44469485 
    6200    1.0118034  0.035847281    1.0717337  -0.44483115 
    6300   0.98662834  0.034661163    1.0472461  -0.43158448 
    6400   0.98365606  0.039374484    1.0404299  -0.43394568 
    6500    1.0011766  0.034497281    1.0442905  -0.45634615 
    6600    1.0081664  0.038927223    1.0519289  -0.45918447 
    6700    1.0070111  0.037621301    1.0579974  -0.45138443 
    6800   0.99772948  0.038373321    1.0647476  -0.43072223 
    6900    1.0106328  0.040034867    1.0809737  -0.43383653 
    7000    1.0329038  0.040714866    1.1018351  -0.44635657 
    7100    1.0318508  0.039230084    1.1093257  -0.43728766 
    7200    1.0079709  0.042153649    1.0943498  -0.41647065 
    7300   0.99179195  0.034550368    1.0637466  -0.42282358 
    7400   0.96666051  0.038860301     1.038285  -0.41061639 
    7500   0.97792017  0.035033021    1.0320185  -0.43375967 
    7600    0.9869842  0.040234714    1.0463888  -0.43297516 
    7700    1.0115752   0.03927608    1.0817592  -0.43446358 
    7800    1.0382742  0.039433235    1.1251378  -0.43110342 
    7900    1.0457261  0.043091919    1.1407917  -0.42661894 
    8000    1.0342186  0.040830171    1.1207853  -0.42937703 
    8100     1.006278  0.040781073    1.0803664  -0.42791652 
    8200   0.99307077  0.036894571    1.0592786  -0.42920837 
    8300   0.98284184  0.041566831    1.0568757  -0.41627944 
    8400    0.9850053  0.035900881    1.0639664   -0.4124315 
    8500   0.99549928  0.038627664    1.0827623  -0.40936476 
    8600    1.0062678  0.040221368     1.106386  -0.40188167 
    8700    1.0335911  0.045770169    1.1227294  -0.42649248 
    8800    1.0323144  0.035530719    1.1143506  -0.43295756 
    8900    1.0157787  0.038994386    1.0761432  -0.44638007 
    9000   0.98710394  0.040669229    1.0302393  -0.44930421 
    9100   0.97060295  0.037206074    1.0133264  -0.44148416 
    9200   0.97831607    0.0380679    1.0203885  -0.44598303 
    9300   0.99808509  0.038466466    1.0377388  -0.45826406 
    9400    1.0005944  0.041189021    1.0528677  -0.44689618 
    9500    1.0050981  0.039874744    1.0643297  -0.44218479 
    9600    1.0136676  0.039590436    1.0731063   -0.4462527 
    9700    1.0156739  0.039234079    1.0734044  -0.44896186 
    9800   0.99076708  0.035512292    1.0577195  -0.42731454 
    9900   0.97984768  0.036501883    1.0319157  -0.43675153 
   10000   0.97855275  0.037568274    1.0115044  -0.45522191 
   10100   0.96836067  0.036055035    1.0041521  -0.44729763 
   10200   0.97305061  0.035119657    1.0204007  -0.43807866 
   10300    1.0078761  0.041307731    1.0615002  -0.44917806 
   10400    1.0221755  0.040453983    1.0920286  -0.44008278 
   10500    1.0314314  0.040551521    1.0962903  -0.44969435 
   10600    1.0194921  0.037398717    1.0790831  -0.44900618 
   10700    1.0119997  0.038650438    1.0507127  -0.46614634 
   10800    0.9861745  0.039683542    1.0268441  -0.45130629 
   10900   0.97943967  0.041817714    1.0194624  -0.44859329 
   11000   0.99195205  0.037923903    1.0230689  -0.46374123 
   11100   0.98154102  0.033261325    1.0336487  -0.43755665 
   11200    1.0006728  0.040874937    1.0517274  -0.44815414 
   11300    1.0097879  0.039456814    1.0674228  -0.44612107 
   11400    1.0152439  0.041343088    1.0744808   -0.4472409 
   11500    1.0160648  0.040750319    1.0666188  -0.45633331 
   11600   0.99866945  0.035352432     1.040022  -0.45685671 
   11700   0.95511679  0.034113207   0.99807681  -0.43352199 
   11800   0.94812109  0.034092272   0.96246356  -0.45864957 
   11900   0.94996959  0.033625356   0.95378484  -0.47009896 
   12000   0.96816527  0.035989208   0.99748446  -0.45367236 
   12100    1.0090739  0.037425107    1.0615456  -0.45092799 
   12200    1.0174506  0.041025193    1.0827258  -0.44230346 
   12300    1.0227178  0.040503456    1.0830819  -0.44984219 
   12400    1.0072118  0.039648509    1.0668316  -0.44285096 
   12500    0.9935967  0.035406768    1.0426111  -0.44666424 
   12600   0.98810688  0.039452958    1.0221339  -0.45891289 
   12700   0.98784051  0.039478099    1.0090203  -0.47162724 
   12800   0.98592609   0.03831744    1.0033665  -0.47441156 
   12900   0.98102193   0.03857958    1.0092571  -0.46117019 
   13000   0.99583644  0.036524131    1.0376094  -0.45502295 
   13100    1.0159205  0.037844919    1.0849404  -0.43779538 
   13200    1.0369761  0.039769082    1.1135775  -0.44071797 
   13300    1.0385636  0.043006532    1.1096283  -0.44704662 
   13400    1.0175077  0.042803382    1.0808235  -0.44429132 
   13500   0.99804125  0.035979413    1.0506816  -0.44525549 
   13600   0.99063243  0.036318358    1.0385476  -0.44628466 
   13700   0.98888264  0.039492429    1.0385566  -0.44365296 
   13800   0.98987831  0.038101272    1.0446596  -0.43904231 
   13900    1.0071064  0.039510396    1.0553917  -0.45413297 
   14000     1.004703  0.041356064    1.0646076  -0.44131464 
   14100     1.016776  0.038276994    1.0688847  -0.45513348 
   14200    1.0142217  0.037975315    1.0581076  -0.46208197 
   14300   0.99870259  0.036070231     1.019098  -0.47783042 
   14400   0.97047781  0.041181844   0.98119081  -0.47343221 
   14500   0.95021797  0.037138376   0.96828164  -0.45597445 
   14600   0.96847314  0.036526102   0.98598787  -0.46563039 
   14700   0.99229813  0.037760918    1.0256622  -0.46166673 
   14800    1.0143636  0.042133443    1.0554163   -0.4649859 
   14900    1.0036521  0.039027908    1.0642601  -0.44008686 
   15000    1.0030676  0.037407857     1.065044   -0.4384269 
   15100   0.99420347  0.038066919    1.0639141  -0.42627063 
   15200   0.99254806   0.04048432    1.0663114  -0.42139216 
   15300    1.0047615  0.041949867    1.0747551  -0.43125482 
   15400     1.015149  0.041151874    1.0877217  -0.43385782 
   15500    1.0128297  0.040422635    1.1033785  -0.41472455 
   15600    1.0271944   0.04163537    1.1116442  -0.42798975 
   15700    1.0252305  0.039514422    1.0997699  -0.43692042 
   15800     1.002302  0.041912942    1.0645953  -0.43772808 
   15900   0.97177191  0.038954518     1.030952  -0.42561066 
   16000    0.9699001  0.038404083    1.0221878  -0.43156931 
   16100   0.98162091  0.037761017     1.033654  -0.43767108 
   16200   0.99672855  0.039304552    1.0601207  -0.43384884 
   16300    1.0060849  0.042922344    1.0927299  -0.41526351 
   16400    1.0219318  0.040767041    1.1130453  -0.41870071 
   16500    1.0353579  0.040736412    1.1112074   -0.4406626 
   16600    1.0349069  0.040592718    1.0891031  -0.46209094 
   16700    1.0231577  0.037770057    1.0658429  -0.46774048 
   16800    1.0028214  0.036795429    1.0507165  -0.45238544 
   16900     0.990864  0.037031295    1.0407603  -0.44441901 
   17000   0.99848619  0.040548054    1.0370456  -0.45955838 
   17100   0.98938842  0.036029819    1.0375751  -0.44539252 
   17200   0.98975271  0.041723664      1.04718  -0.43633366 
   17300    1.0002583  0.036513406    1.0673418  -0.43191828 
   17400     1.026659  0.041627465    1.0963175  -0.44251396 
   17500    1.0495338  0.041138172    1.1131121  -0.46000575 
   17600    1.0339957  0.037692108    1.0929373    -0.456891 
   17700   0.98269225  0.036872808    1.0403507  -0.43258017 
   17800   0.96624899  0.034892736    1.0142204  -0.43406411 
   17900    0.9718674  0.036044874    1.0198018  -0.43690401 
   18000   0.98265275  0.036408958    1.0407057  -0.43216604 
   18100    1.0050036  0.037039341    1.0643803  -0.44199257 
   18200    1.0232069  0.042618406    1.0771042   -0.4565531 
   18300      1.02236  0.039933519    1.0705081  -0.46187984 
   18400    1.0081339  0.040624974    1.0479098   -0.4631549 
   18500   0.98630631  0.035745162    1.0211082  -0.45723974 
   18600   0.96873184  0.035373291    1.0098307  -0.44217533 
   18700   0.97339675   0.03680064    1.0208404   -0.4381577 
   18800   0.99362936  0.037733374    1.0384803  -0.45084398 
   18900    0.9965959  0.036979285    1.0485544   -0.4452163 
   19000     1.012042   0.04151946    1.0554926  -0.46142989 
   19100    1.0109627  0.041333318    1.0558322  -0.45947251 
   19200    1.0055036  0.037252979    1.0476918  -0.45943045 
   19300   0.98689939  0.039937211    1.0346883  -0.44454861 
   19400   0.98176202  0.038717028    1.0230027  -0.44853392 
   19500   0.98397256  0.037024635    1.0182898  -0.45656013 
   19600   0.99096562   0.03435118    1.0244502  -0.46088141 
   19700    1.0054934  0.039738729    1.0491252  -0.45798166 
   19800     1.018098  0.041759846    1.0807773  -0.44522243 
   19900    1.0311036  0.042351892     1.100097  -0.44539633 
   20000    1.0301082  0.036730097    1.0961093  -0.44789214 
   20100    1.0043654  0.041122851    1.0684484  -0.43696776 
   20200   0.98210127  0.039209858    1.0303226  -0.44172248 
   20300    0.9709002  0.034443207    1.0063134  -0.44894269 
   20400    0.9667627   0.03813815    1.0059766   -0.4430779 
   20500    0.9889754  0.035957328    1.0263702  -0.45597833 
   20600   0.99533011   0.04085776    1.0515124  -0.44036108 
   20700    1.0115549  0.040082136    1.0624742  -0.45371812 
   20800    1.0072854  0.037895727    1.0610795  -0.44871339 
   20900    1.0072068  0.040022472     1.056285  -0.45339013 
   21000    1.0085698  0.040508401    1.0461461  -0.46557202 
   21100   0.99148323  0.035516028    1.0302427  -0.45586474 
   21200   0.97216706  0.037181339    1.0204805  -0.43667451 
   21300      0.98325  0.037388078    1.0293666   -0.4444003 
   21400    1.0053532  0.040801058    1.0626177  -0.44427907 
   21500    1.0272399  0.036776693    1.1043082  -0.43539399 
   21600    1.0431089  0.039705714    1.1248761  -0.43861178 
   21700    1.0307756  0.044049271    1.1146985  -0.43030335 
   21800    1.0175511  0.035776754    1.0836229  -0.44155699 
   21900   0.99751013  0.044348417     1.056224    -0.438917 
   22000   0.98451599  0.036732594    1.0460752  -0.42958926 
   22100   0.99605349  0.036468073    1.0482332  -0.44472451 
   22200    1.0115168  0.036747712    1.0543893  -0.46174591 
   22300    1.0071778  0.036043988    1.0588367  -0.45079504 
   22400   0.99927867  0.040363642      1.06076  -0.43703181 
   22500     1.001907  0.039058861    1.0614626  -0.44026884 
   22600    1.0069042   0.03821362    1.0607201   -0.4485015 
   22700   0.98846989  0.040241502    1.0547837  -0.42680714 
   22800   0.99144728  0.038267359     1.051039  -0.43501454 
   22900     1.002393  0.036810988    1.0539202  -0.44853956 
   23000    1.0067288   0.04012532    1.0617476  -0.44721113 
   23100    1.0054785  0.039473449     1.070167  -0.43691764 
   23200    1.0091435  0.041672982    1.0766291  -0.43594896 
   23300    1.0074269  0.037573894    1.0793738  -0.43063122 
   23400    1.0081967  0.040268792    1.0761925  -0.43496626 
   23500   0.99620317  0.037944766    1.0618811  -0.43130093 
   23600   0.98089857  0.036714794    1.0428759  -0.42736655 
   23700   0.97599637  0.038867001    1.0298599  -0.43303475 
   23800   0.97669734  0.036880312     1.030132  -0.43381329 
   23900   0.98113609  0.040855481    1.0528945  -0.41770391 
   24000    1.0219585   0.04182478    1.0948348  -0.43695129 
   24100    1.0414458  0.041270355     1.119302  -0.44169304 
   24200    1.0336893  0.037903407    1.1114785  -0.43789055 
   24300    1.0153052  0.041173665    1.0816374  -0.44017625 
   24400    1.0009705  0.037367816    1.0503632  -0.44996447 
   24500   0.98687171   0.04097591    1.0356982  -0.44349717 
   24600   0.98736117   0.04000156    1.0345598  -0.44536918 
   24700   0.98090926  0.040602944    1.0418189  -0.42843949 
   24800   0.99618184  0.041284894    1.0560627  -0.43708739 
   24900      1.00562  0.038993782    1.0717455  -0.43555127 
   25000    1.0120873  0.038297962    1.0850437  -0.43194669 
   25100    1.0164509   0.03917968    1.0918851  -0.43164564 
   25200    1.0140105  0.040819606    1.0851493  -0.43472378 
   25300    1.0003705  0.034503548     1.047544   -0.4518843 
   25400   0.97521667  0.034267198    1.0045706  -0.45715535 
   25500   0.96095431  0.037685506   0.98917658  -0.45117192 
   25600   0.96578701  0.040529275    1.0007698  -0.44682227 
   25700    0.9884171  0.040120547    1.0349278  -0.44658394 
   25800    1.0092892  0.039233473    1.0682438  -0.44455254 
   25900    1.0224288  0.040308406    1.0806494  -0.45184151 
   26000    1.0236165  0.041009808     1.074209  -0.46006217 
   26100    1.0148998   0.03782639      1.05488  -0.46632586 
