run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.717 | 2.717 | 2.717 Mbytes
Step Temp Press TotEng PotEng 
       0            1  0.041420207     1.480189 -0.018683996 
     100    1.0218537  0.042557836    1.4785465 -0.053082374 
     200    1.0739889  0.048071855    1.4510244  -0.15874863 
     300    1.0571387  0.041957723    1.3774109  -0.20710587 
     400    1.0408843  0.042176202    1.3334964  -0.22665703 
     500    1.0203121  0.036913383    1.2910309  -0.23828737 
     600    1.0010422  0.040645719    1.2508245  -0.24961067 
     700   0.98710433  0.039912557    1.2180545  -0.26148952 
     800   0.99353278  0.034921145    1.1941573  -0.29502223 
     900   0.98112198  0.036737105    1.1783332  -0.29224405 
    1000    0.9790145  0.037057849    1.1752153  -0.29220317 
    1100   0.98288669  0.037356471    1.1889528  -0.28426956 
    1200   0.99871665  0.037326776    1.2183216  -0.27862785 
    1300    1.0278212  0.037129217    1.2489716  -0.29160189 
    1400    1.0386224  0.040362734    1.2598921  -0.29687093 
    1500    1.0320516  0.037559788    1.2427373  -0.30417703 
    1600    1.0092991  0.036036742    1.2018982  -0.31091311 
    1700   0.99197536  0.035464834     1.168788  -0.31805707 
    1800   0.99187036  0.038731731    1.1594786  -0.32720918 
    1900   0.99503095  0.035934564    1.1589133  -0.33251172 
    2000   0.99842511  0.037804179    1.1614603  -0.33505219 
    2100    1.0022534  0.035737181    1.1638933  -0.33835733 
    2200    1.0051696  0.037757246    1.1660403  -0.34058124 
    2300    1.0025426  0.035185828    1.1669536  -0.33573046 
    2400    1.0011486  0.039687267    1.1652804  -0.33531419 
    2500    1.0070999  0.035623797    1.1573767  -0.35213818 
    2600   0.99785215  0.036625949     1.139217  -0.35643662 
    2700   0.98086211  0.035610689    1.1160363  -0.35415151 
    2800   0.97724636  0.035464531    1.1002861  -0.36448211 
    2900    0.9796073  0.035362587    1.0992857  -0.36902127 
    3000   0.99880123  0.034191871     1.115636  -0.38144027 
    3100     1.024334  0.034857964    1.1419332  -0.39341335 
    3200    1.0267957   0.04199991    1.1622024  -0.37683395 
    3300    1.0179044  0.035040848    1.1662084  -0.35950114 
    3400    1.0153684  0.034467955    1.1513746  -0.37053371 
    3500   0.99047439  0.032338277      1.11143  -0.37316536 
    3600   0.96782761  0.034126775    1.0759423  -0.37470837 
    3700   0.96460343  0.031143773    1.0689441  -0.37687393 
    3800   0.98160536  0.035155113    1.0880683  -0.38323353 
    3900   0.99813271  0.038218287    1.1214651   -0.3746091 
    4000    1.0207338  0.037921207    1.1468092  -0.38314122 
    4100     1.005606  0.036950853       1.1509  -0.35637569 
    4200    1.0137743  0.037359991    1.1463722   -0.3731468 
    4300    1.0065389  0.036143572    1.1374597  -0.37121438 
    4400    1.0036206  0.038356501    1.1264445  -0.37785533 
    4500     1.000396  0.030491708    1.1154657  -0.38400093 
    4600    0.9909613  0.035018664    1.1085898  -0.37673534 
    4700   0.98938948  0.033919107    1.1090567  -0.37391251 
    4800    1.0113648  0.034680021    1.1245766  -0.39133086 
    4900    1.0260265  0.036977122    1.1614566  -0.37642676 
    5000    1.0498663  0.035949075    1.1930111  -0.38060526 
    5100    1.0510273  0.038872988     1.189121  -0.38623545 
    5200    1.0180694  0.036511553    1.1455539  -0.38040283 
    5300   0.98408764  0.035849511    1.1075904  -0.36743201 
    5400   0.98652318  0.032775209    1.0957842  -0.38288873 
    5500   0.98484602  0.033336057    1.0986916  -0.37746758 
    5600   0.99019881  0.033016043    1.1137697  -0.37041261 
    5700    1.0048175  0.035244314    1.1390338  -0.36706003 
    5800    1.0302233  0.037854345    1.1631406  -0.38103339 
    5900    1.0312435  0.034821185    1.1682393  -0.37746375 
    6000    1.0176543  0.035654944     1.144672  -0.38066259 
    6100    0.9878472  0.034240865    1.0818525  -0.39880501 
    6200   0.95889271  0.039090261    1.0451755  -0.39208291 
    6300   0.95054934  0.032600304    1.0491947  -0.37555805 
    6400   0.97486548  0.035310181    1.0774162  -0.38378342 
    6500    1.0005723  0.035018402    1.1119625  -0.38776837 
    6600    1.0142956  0.035928957    1.1353579  -0.38494252 
    6700    1.0229609  0.036112184    1.1438125  -0.38947601 
    6800    1.0113411  0.035662322     1.136696  -0.37917583 
    6900    1.0018825  0.035890494    1.1186019  -0.38309275 
    7000   0.99297384  0.036615949    1.0915498  -0.39679189 
    7100   0.96963138  0.034637383    1.0578135  -0.39554082 
    7200   0.94082899  0.037391931    1.0394408  -0.37074242 
    7300   0.95438908   0.03422346    1.0592394  -0.37126868 
    7400    1.0052498  0.035230242    1.1279578  -0.37878408 
    7500     1.022653  0.034251116     1.158202  -0.37462506 
    7600    1.0334347    0.0364534    1.1593071  -0.38968033 
    7700    1.0108121  0.036717652    1.1405813  -0.37449772 
    7800     1.000581  0.035412128    1.1121575  -0.38758638 
    7900   0.98311403  0.033624721    1.0871479  -0.38641517 
    8000   0.97207146  0.036265292    1.0764222  -0.38058947 
    8100   0.99141953  0.034957618     1.082146    -0.403866 
    8200   0.98933094  0.038161256    1.1025573  -0.38032413 
    8300    1.0134717  0.037220012    1.1383637  -0.38070166 
    8400     1.033942  0.040406237    1.1728834  -0.37686438 
    8500    1.0439786  0.037926258     1.180717   -0.3840744 
    8600    1.0264751  0.036340868    1.1504173  -0.38813853 
    8700   0.98894945  0.037830801       1.0918  -0.39050968 
    8800   0.96898169  0.034327404    1.0706208   -0.3817597 
    8900   0.96889074  0.034975223    1.0788967  -0.37334748 
    9000   0.99102528  0.032825563    1.1030813  -0.38233975 
    9100    1.0137436  0.036370705     1.132071  -0.38740195 
    9200    1.0282568  0.038311688    1.1481597  -0.39306667 
    9300    1.0256949  0.034967669    1.1425459  -0.39484051 
    9400     1.011728  0.037381601    1.1159554  -0.40049643 
    9500    0.9827861  0.033194391    1.0802069  -0.39286467 
    9600   0.96337329  0.032583624     1.062453  -0.38152123 
    9700   0.97055648  0.033675093    1.0710628  -0.38367817 
    9800    1.0009091  0.035213501    1.0963376  -0.40389813 
    9900   0.99238791  0.037353761    1.1155127  -0.37195079 
   10000   0.99183454  0.036114827    1.1241546  -0.36247941 
   10100   0.99236998  0.035266367    1.1292526  -0.35818402 
   10200   0.99676682  0.037386235    1.1365588  -0.35746814 
   10300    1.0083786  0.035537454    1.1438581  -0.36757338 
   10400    1.0161008  0.038287138    1.1437108  -0.37929534 
   10500    1.0121708  0.038990856    1.1279719  -0.38914364 
   10600   0.98886522  0.036309685    1.0882577  -0.39392571 
   10700   0.96365539  0.035879503    1.0494519  -0.39494519 
