run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.731 | 2.731 | 2.731 Mbytes
Step Temp Press TotEng PotEng 
       0            1  0.034797216    1.4834739 -0.015399151 
     100    1.0203209  0.034181072    1.4821285 -0.047203028 
     200    1.0502789  0.039176181    1.4613644  -0.11287039 
     300    1.0546315  0.035789216    1.3937159  -0.18704278 
     400    1.0351904  0.033131097     1.346713  -0.20490598 
     500    1.0151785  0.032832653    1.3138029  -0.20782075 
     600   0.99915351  0.032352694    1.2792758  -0.21832844 
     700   0.98736108  0.031550287    1.2509411  -0.22898774 
     800   0.97730038  0.030497212    1.2369455  -0.22790373 
     900   0.98841405     0.030094    1.2381725  -0.24333469 
    1000     1.001245  0.030473594    1.2502548  -0.25048439 
    1100    1.0150914  0.032234785    1.2652178  -0.25627524 
    1200    1.0183632  0.031182708    1.2727557  -0.25364146 
    1300    1.0174691  0.031039218     1.265194  -0.25986296 
    1400   0.99985275  0.028654801    1.2399722  -0.25868015 
    1500   0.97817982  0.029837293    1.2068686  -0.25929879 
    1600   0.97208282  0.027305774    1.1850441  -0.27198458 
    1700   0.96934727  0.029721408     1.185754   -0.2671745 
    1800   0.99013266  0.031427693    1.2156177  -0.26846547 
    1900    1.0299682  0.031235714    1.2664395  -0.27735206 
    2000    1.0430979  0.033043766    1.2880192  -0.27545202 
    2100    1.0307358  0.032422341    1.2764343  -0.26850779 
    2200    1.0080768  0.031206715     1.254059  -0.25692004 
    2300     1.007356   0.03123518     1.235522  -0.27437677 
    2400     1.000914  0.030973889    1.2206853  -0.27955762 
    2500   0.99597722  0.027690706    1.2084659  -0.28437752 
    2600    1.0006245  0.029987418    1.2003775  -0.29943164 
    2700   0.99169031  0.029849611    1.1945188  -0.29189901 
    2800   0.99469597  0.030517212    1.1924153  -0.29850769 
    2900   0.99596223  0.029528289    1.1935201  -0.29930079 
    3000   0.99743308   0.03115605    1.2023163  -0.29270926 
    3100    1.0105748  0.031180209    1.2171711   -0.2975522 
    3200    1.0184152  0.030384874    1.2275521   -0.2989229 
    3300    1.0236406  0.029697903    1.2260728  -0.30823456 
    3400    1.0086138  0.029801687    1.2081328  -0.30365128 
    3500   0.99655734  0.030130331     1.177017  -0.31669591 
    3600   0.98254917  0.028718986    1.1473943   -0.3253221 
    3700   0.96405294  0.028738913    1.1335653  -0.31142766 
    3800   0.96610206  0.027910706    1.1447932   -0.3032711 
    3900   0.99826046  0.029041166    1.1846325  -0.31163317 
    4000    1.0243535  0.028220818    1.2207651  -0.31461072 
    4100    1.0273156  0.030463559     1.226665  -0.31315061 
    4200    1.0250069   0.03017775    1.2141229  -0.32223228 
    4300    1.0078156  0.029750887    1.1935332  -0.31705437 
    4400    1.0037015   0.03035404    1.1717396  -0.33268153 
    4500   0.98996822  0.029518665    1.1514999  -0.33233679 
    4600   0.96866748  0.029316908    1.1412176  -0.31069197 
    4700   0.98511327  0.032026566    1.1487673  -0.32779243 
    4800    1.0012025  0.029576322    1.1748776  -0.32579781 
    4900     1.028274  0.029874201    1.2202815   -0.3209707 
    5000    1.0435874  0.031047823    1.2555593  -0.30864577 
    5100    1.0407842  0.031925768    1.2561692  -0.30383421 
    5200    1.0192925  0.034844975     1.226236  -0.30155411 
    5300   0.99559335  0.032554885    1.1884626  -0.30380537 
    5400   0.99129308  0.031454076    1.1756853  -0.31013721 
    5500   0.98270259  0.029601976     1.175707  -0.29723938 
    5600   0.99449676  0.030630661     1.185142  -0.30548234 
    5700    1.0086646  0.030398291    1.1995941  -0.31226607 
    5800    1.0179031  0.031764693    1.2090929  -0.31661465 
    5900    1.0272509  0.032494357    1.2023263  -0.33739236 
    6000   0.99408962  0.030866328    1.1700912  -0.31992292 
    6100    0.9712687  0.029512178      1.13595  -0.31985849 
    6200   0.97126134  0.032556973     1.122535  -0.33326239 
    6300    0.9780521  0.027266064    1.1278308  -0.33814515 
    6400    1.0033726  0.027174766    1.1508589   -0.3530693 
    6500    1.0179895   0.03123674    1.1879233  -0.33791367 
    6600    1.0493605  0.030746359    1.2283746   -0.3444835 
    6700    1.0555107  0.029197983    1.2484515  -0.33362508 
    6800    1.0393604  0.029827391     1.221759  -0.33611022 
    6900   0.98352952  0.027988173    1.1467557  -0.32743013 
    7000    0.9631608  0.028560013    1.1235844  -0.32007137 
    7100   0.97132378  0.029237696    1.1316186  -0.32427242 
    7200   0.99046411  0.030517326    1.1584995  -0.32608043 
    7300    1.0111704   0.02816225    1.1894076   -0.3262084 
    7400    1.0163728  0.029165711    1.2111789  -0.31223488 
    7500    1.0217221  0.030106195    1.2205486  -0.31088313 
    7600    1.0202812  0.030832549    1.2153429  -0.31392905 
    7700    1.0043469    0.0284294    1.1903886  -0.31499993 
    7800   0.97827852  0.029229705    1.1520212  -0.31429411 
    7900   0.96416135  0.028224241    1.1256984  -0.31945702 
    8000   0.96292019  0.028226314    1.1279821  -0.31531298 
    8100   0.99001691  0.031325796    1.1622884  -0.32162128 
    8200    1.0149422  0.029831887    1.2087653  -0.31250416 
    8300     1.022238  0.030573212    1.2258652  -0.30633979 
    8400    1.0107886  0.030551931    1.2225718  -0.29247197 
    8500    1.0112409  0.030206545    1.2131752  -0.30254651 
    8600     1.008327  0.028378413    1.1972087  -0.31414544 
    8700   0.99891961  0.030832639    1.1757974  -0.32145631 
    8800   0.98137979  0.029287378    1.1536128  -0.31735086 
    8900   0.97042666  0.029514864    1.1426075  -0.31193886 
    9000   0.98577296  0.028076102     1.151458  -0.32609047 
    9100    1.0074664  0.028873843    1.1842412  -0.32582311 
    9200    1.0332118  0.030787421    1.2303953  -0.31825796 
    9300    1.0363117  0.032962344    1.2516234  -0.30167622 
    9400    1.0374711  0.033917747    1.2398474  -0.31519003 
    9500    1.0141186  0.029819962    1.2089604  -0.31107469 
    9600    1.0045944  0.029705592    1.1874023  -0.31835705 
    9700    1.0018292  0.031100665    1.1774313  -0.32418352 
    9800   0.99834891  0.029769278    1.1699951  -0.32640311 
    9900   0.99895569  0.031007771    1.1638737  -0.33343409 
   10000    1.0017561  0.029080477    1.1567527  -0.34475251 
   10100   0.98664449  0.028868878    1.1459904  -0.33286444 
   10200   0.98763594  0.028761551    1.1378272  -0.34251371 
   10300   0.98020124  0.030561717    1.1396363  -0.32956088 
   10400   0.99268834  0.031852348    1.1593839  -0.32852988 
   10500    1.0137195  0.030821211    1.1932633  -0.32617347 
   10600    1.0317971  0.032280997    1.2199338  -0.32659907 
   10700    1.0273391  0.029862192     1.222279  -0.31757182 
   10800    1.0128243  0.030401976    1.2032946  -0.31480051 
   10900    0.9810336  0.029128824    1.1696878  -0.30075702 
   11000   0.98209814  0.028462297    1.1414399  -0.33060046 
   11100   0.97367247  0.030107194    1.1265556  -0.33285578 
   11200   0.97189424  0.030492753    1.1275096  -0.32923642 
   11300   0.99344175  0.029998814    1.1611063  -0.32793679 
   11400    1.0352234  0.031314708     1.230293  -0.32137544 
   11500    1.0413906  0.032370606    1.2499517  -0.31096056 
   11600    1.0223291  0.032657934    1.2343846   -0.2979569 
   11700    1.0101872  0.030689015    1.2034833  -0.31065909 
   11800   0.99420207  0.031378682    1.1739976  -0.31618511 
   11900   0.98974473  0.029269968    1.1546409  -0.32886082 
   12000   0.99943957  0.028261724    1.1452165  -0.35281653 
   12100   0.98628374   0.02672547    1.1414492   -0.3368649 
   12200   0.97742601  0.030019159    1.1496993  -0.31533815 
   12300   0.99463594  0.030144238    1.1863049   -0.3045281 
   12400    1.0324685  0.034448589    1.2424315   -0.3051076 
   12500     1.047493  0.033559715    1.2562979  -0.31376108 
   12600    1.0306771  0.031191517    1.2356998  -0.30915436 
   12700    1.0074753  0.029705287    1.2078803  -0.30219724 
   12800   0.99494691  0.032572744    1.1870747   -0.3042244 
   12900   0.99251367  0.030457798    1.1749411   -0.3127109 
   13000   0.99501213  0.028910323    1.1703391  -0.32105774 
   13100   0.99755598  0.028693375    1.1699503  -0.32525945 
   13200   0.98811912  0.027750928    1.1760911  -0.30497395 
   13300    1.0000093  0.031008122    1.2050728  -0.29381423 
   13400    1.0443429  0.032213339     1.255233  -0.31010435 
   13500    1.0636329  0.032168297    1.2728513  -0.32139948 
   13600    1.0484445  0.031286873    1.2421197  -0.32936554 
   13700    1.0174845  0.028935956    1.1967945  -0.32828563 
   13800    1.0067621  0.028391475    1.1726421  -0.33636647 
   13900    0.9990794  0.028088652    1.1577483  -0.33974492 
   14000   0.98953326   0.02800054    1.1483996  -0.33478511 
   14100    0.9826853  0.030454313    1.1490252   -0.3238953 
   14200   0.99201585  0.030385771    1.1637716  -0.32313419 
   14300     1.003769  0.029700008    1.1922617  -0.31226057 
   14400    1.0272617  0.033068568    1.2233809  -0.31635397 
   14500    1.0354413  0.030162259    1.2376549  -0.31434019 
   14600     1.027192  0.029282602    1.2265785  -0.31305195 
   14700   0.99325008   0.03149205    1.1785985   -0.3101572 
   14800   0.95994435  0.029693814    1.1307829  -0.30805175 
   14900   0.95622044  0.028746972    1.1268363  -0.30641673 
   15000   0.96292509  0.027581008     1.146633   -0.2966694 
   15100   0.99079057  0.029118215    1.1786416   -0.3064277 
   15200    1.0134593  0.030190536    1.2041576  -0.31488922 
   15300    1.0189288  0.030376739    1.2134845  -0.31376037 
   15400    1.0198885  0.030048099    1.2082308  -0.32045261 
   15500    1.0088982  0.030244627    1.1870421  -0.32516814 
   15600   0.98088014  0.029319583    1.1571066  -0.31310814 
   15700   0.96798225  0.030574138    1.1360281  -0.31485437 
   15800   0.95939531  0.028496535    1.1347588  -0.30325291 
   15900   0.99039738  0.030588397    1.1751254  -0.30935456 
   16000    1.0297093  0.031897977    1.2411552  -0.30224833 
   16100    1.0444661  0.034467858    1.2530465  -0.31247554 
   16200     1.028972  0.031691207    1.2313798  -0.31091858 
   16300    1.0063165  0.029632915    1.1965814  -0.31175928 
   16400   0.99353113  0.028193737    1.1684217  -0.32075535 
   16500    0.9843958  0.028697642    1.1536103    -0.321874 
   16600   0.97297831  0.029310866     1.153006  -0.30536495 
   16700   0.99534965  0.029235679    1.1693707  -0.32253204 
   16800    1.0047143  0.030866295    1.1985815  -0.30735766 
   16900      1.02095  0.031280879    1.2311615  -0.29911283 
   17000    1.0344215  0.030936574    1.2524126  -0.29805384 
   17100    1.0288898  0.032148164    1.2508472  -0.29132802 
   17200    1.0013522  0.029428081    1.2043617   -0.2965381 
   17300   0.96837117   0.03079097    1.1468706  -0.30459479 
   17400    0.9638558  0.028548966     1.134588  -0.31010943 
   17500   0.97662503  0.028764373    1.1483466  -0.31549035 
   17600   0.99886279  0.028829726    1.1757521  -0.32141637 
   17700    1.0081698  0.031412738    1.2035623  -0.30755626 
   17800    1.0098925  0.028361208    1.2221469  -0.29155378 
   17900    1.0209928  0.030167976    1.2304779  -0.29986067 
   18000     1.025882  0.030508457    1.2217031  -0.31596376 
   18100   0.99980958  0.030021754    1.1880008  -0.31058679 
   18200   0.96336069  0.028014588    1.1440035  -0.29995183 
   18300   0.95725158  0.029345991    1.1269017  -0.30789685 
   18400   0.96652288  0.028985928    1.1395453  -0.30914977 
   18500   0.98004812  0.029902348    1.1613084  -0.30765934 
   18600   0.98116598  0.029934827    1.1773299  -0.29331328 
   18700   0.99480742   0.02997888    1.1961892  -0.29490081 
   18800    1.0146046  0.030597452    1.2160068  -0.30475675 
   18900    1.0316496  0.029194056    1.2256656  -0.32064612 
   19000    1.0160369  0.031353506     1.215315  -0.30759524 
   19100   0.99294364  0.029147459    1.1884622  -0.29983429 
   19200   0.97491177   0.03091707     1.161948  -0.29932097 
   19300   0.96868334  0.031052327    1.1486967  -0.30323668 
   19400   0.98066196  0.028750636    1.1563122   -0.3135756 
   19500    1.0060538  0.028524954    1.1950582  -0.31288861 
   19600    1.0368885  0.032591435    1.2477612  -0.30640306 
   19700    1.0423257  0.030442046    1.2617582  -0.30055567 
   19800    1.0310104  0.030556967    1.2458371  -0.29951656 
   19900    1.0126069  0.028039479    1.2182367  -0.29953237 
   20000    1.0038982  0.030064729    1.1954931  -0.30922291 
   20100   0.98847949  0.029339319    1.1832684  -0.29833688 
   20200    0.9930696  0.030790365    1.1812035  -0.30728173 
   20300   0.99457387  0.029819267    1.1841184  -0.30662158 
   20400   0.99422622  0.031287416    1.1921422  -0.29807662 
   20500    1.0110181  0.028260629     1.206566  -0.30882185 
   20600    1.0343014   0.03080198    1.2307245  -0.31956197 
   20700    1.0416949  0.031587096    1.2551187  -0.30624973 
   20800    1.0374197   0.03317853    1.2559365  -0.29902402 
   20900    1.0164482  0.030203645    1.2217163  -0.30181044 
   21000   0.98206996  0.029823817    1.1771128  -0.29488537 
   21100   0.97900686  0.028786106    1.1555502  -0.31185682 
   21200   0.98198132  0.031904086    1.1527226  -0.31914276 
   21300    0.9815619  0.027437877    1.1617223  -0.30951434 
   21400   0.99943969  0.029050202     1.187259  -0.31077421 
   21500    1.0208455  0.030319523    1.2202438  -0.30987399 
   21600     1.036974  0.032671076    1.2378043  -0.31648805 
   21700    1.0245881   0.03052556    1.2276754  -0.30805208 
   21800    1.0037411  0.028425175    1.1913899  -0.31309066 
   21900    0.9776349  0.028609112    1.1392632  -0.32608743 
   22000   0.96110177  0.028047505    1.1172943  -0.32327525 
   22100   0.96613456    0.0301034    1.1260875  -0.32202551 
   22200   0.98060627   0.02910595     1.146423  -0.32338132 
   22300   0.99049089  0.030455692    1.1746946  -0.30992552 
   22400    1.0080989  0.029441599    1.2034341   -0.3075781 
   22500    1.0188921  0.030142287    1.2215072  -0.30568267 
   22600    1.0158294  0.031029784    1.2260274  -0.29657179 
   22700      1.01326  0.030315535    1.2163926   -0.3023555 
   22800   0.99641952    0.0313889    1.1890466  -0.30445975 
   22900   0.98274394  0.028893353    1.1533212  -0.31968719 
   23000   0.97835933  0.028357774    1.1283391  -0.33809729 
   23100    0.9677276   0.02756833    1.1215704  -0.32893038 
   23200   0.97352664  0.029330773    1.1428725  -0.31632035 
   23300    1.0167029  0.029850495    1.2057343  -0.31817423 
   23400    1.0403282   0.03097934    1.2405244  -0.31879555 
   23500    1.0327387  0.030584702    1.2335349  -0.31440932 
   23600     1.011419  0.029044967    1.2111935  -0.30479522 
   23700    1.0039928  0.030453529    1.1876392  -0.31721851 
   23800   0.99676659  0.029038724    1.1654184  -0.32860812 
   23900   0.98173731  0.030055733    1.1473542  -0.32414535 
   24000   0.96896608  0.030528808    1.1413366  -0.31102052 
   24100   0.97600482  0.028897342    1.1585567  -0.30435062 
   24200     1.009068  0.031291261    1.2067769  -0.30568787 
   24300    1.0317784  0.030675167    1.2441545  -0.30235022 
   24400    1.0353252  0.030969706    1.2457983  -0.30602274 
   24500      1.02749  0.032097375    1.2262799  -0.31379712 
   24600    1.0094441  0.029990313    1.1997084   -0.3133202 
   24700    1.0007292   0.03066118    1.1769308  -0.32303519 
   24800   0.99825372   0.02758107    1.1605413  -0.33571431 
   24900   0.98434192  0.030252689    1.1516069  -0.32379667 
   25000   0.98550334   0.02666768    1.1533094  -0.32383497 
   25100   0.99971991  0.031851172    1.1713442  -0.32710901 
   25200    1.0237113  0.028647356    1.2060176   -0.3283956 
   25300    1.0462616  0.031951316    1.2494217  -0.31879159 
   25400     1.050918  0.032087788     1.270418  -0.30477468 
   25500    1.0425314  0.031191769    1.2535529  -0.30906933 
   25600    1.0060567   0.02939092    1.1908747  -0.31707649 
