run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.731 | 2.731 | 2.731 Mbytes
Step Temp Press TotEng PotEng 
       0            1   0.03177324    1.4834724 -0.015400672 
     100    1.0165991  0.033551391    1.4818716 -0.041881441 
     200    1.0378263  0.034473056    1.4633265 -0.092243293 
     300    1.0462365  0.032751588    1.4027814   -0.1653943 
     400    1.0255333  0.029539791    1.3533044  -0.18383985 
     500    1.0095073  0.031739689    1.3263391  -0.18678422 
     600    0.9954344  0.027378194     1.300857  -0.19117277 
     700   0.98147631  0.029746004    1.2827691  -0.18833928 
     800   0.98570699  0.027859439    1.2758685  -0.20158114 
     900   0.99424767  0.029158789     1.279711  -0.21054001 
    1000    1.0003159   0.03133737    1.2906523  -0.20869428 
    1100    1.0088646  0.030674196    1.3035343  -0.20862566 
    1200    1.0172527  0.028859355     1.312932  -0.21180062 
    1300    1.0177147  0.029561402    1.3135517  -0.21187345 
    1400    1.0121297  0.028575384    1.2961571   -0.2208968 
    1500   0.98962133  0.028756728    1.2600144  -0.22330229 
    1600   0.97419272  0.026911235    1.2283005  -0.23189069 
    1700   0.97187616  0.027062964    1.2171303   -0.2395887 
    1800   0.98006907  0.027747266    1.2267472  -0.24225192 
    1900    1.0001535  0.030262122    1.2551872  -0.24391591 
    2000    1.0230772  0.028462889    1.2921772  -0.24128567 
    2100    1.0324136  0.030227984    1.3188581  -0.22859889 
    2200    1.0468227  0.031560444    1.3199782  -0.24907618 
    2300    1.0069913  0.029051665    1.2634574  -0.24589462 
    2400   0.97003825  0.026756037    1.2023514  -0.25161278 
    2500   0.97342891  0.027797345    1.1958569  -0.26318946 
    2600   0.97895299  0.026874467    1.2101686  -0.25715758 
    2700   0.99827269  0.028172517    1.2391299  -0.25715408 
    2800    1.0166476  0.028298113     1.267367  -0.25645869 
    2900    1.0278944  0.031168383    1.2803696  -0.26031358 
    3000    1.0219647  0.029813014    1.2703424  -0.26145297 
    3100    1.0007281  0.028207003    1.2393599  -0.26060443 
    3200    0.9784153  0.026182735    1.2080136  -0.25850673 
    3300   0.97638706  0.027049435     1.194984  -0.26849623 
    3400   0.97959254  0.029160433    1.2017109  -0.26657397 
    3500    1.0031067  0.027329929    1.2237268  -0.27980271 
    3600    1.0172156  0.028572429    1.2566556  -0.26802144 
    3700    1.0552636  0.030979469    1.3051966  -0.27650961 
    3800    1.0808303  0.029113293     1.344798  -0.27522936 
    3900    1.0588694  0.030965302    1.3314759  -0.25563496 
    4000    1.0133376  0.027726296    1.2541772  -0.26468722 
    4100   0.99336511  0.028716931    1.2182183  -0.27070984 
    4200    0.9789575  0.025601665    1.2072431  -0.26008984 
    4300   0.97850129  0.028006299    1.2128543  -0.25379492 
    4400   0.99810381  0.027096989    1.2346495  -0.26138135 
    4500      1.02507  0.028263642    1.2598053   -0.2766445 
    4600    1.0293434  0.027485919    1.2685782  -0.27427684 
    4700    1.0167997   0.02867236    1.2556201  -0.26843345 
    4800    1.0036179  0.029437699    1.2223592  -0.28193662 
    4900    0.9816066  0.027158959    1.1868192  -0.28448442 
    5000   0.96914159  0.024989197    1.1727985  -0.27982168 
    5100   0.97061812  0.027801835    1.1836332  -0.27120015 
    5200   0.99821356  0.026971845    1.2073472  -0.28884822 
    5300    1.0012492  0.028331526    1.2247879  -0.27595754 
    5400   0.99068793  0.028143814    1.2337775   -0.2511379 
    5500   0.99759061  0.027598088    1.2410777  -0.25418392 
    5600    1.0140872  0.029203325    1.2455034   -0.2744846 
    5700    1.0071889  0.028798015    1.2407307  -0.26891756 
    5800   0.99711836  0.028247643    1.2304584  -0.26409542 
    5900    0.9868181  0.027836383     1.219637  -0.25947805 
    6000   0.97890882   0.03018694    1.2087432  -0.25851682 
    6100   0.96534127  0.025632308    1.2025302  -0.24439377 
    6200    0.9874451  0.029029923     1.220721  -0.25933385 
    6300    1.0146519   0.02959821    1.2569216  -0.26391273 
    6400    1.0348709  0.030076446    1.2818027  -0.26933743 
    6500    1.0321423  0.030844699    1.2799889  -0.26706129 
    6600    1.0150553  0.030242894    1.2498431  -0.27159584 
    6700   0.99166511  0.026178457    1.2113171  -0.27506297 
    6800   0.97628971  0.027137852    1.1922955  -0.27103884 
    6900   0.97589152  0.028185528    1.1932364  -0.26950107 
    7000   0.98782099  0.029642694    1.2070904  -0.27352785 
    7100    1.0087641  0.026637516    1.2232716  -0.28873768 
    7200    1.0135183  0.029039904    1.2322108  -0.28692445 
    7300    1.0079669  0.028215669    1.2308316  -0.27998277 
    7400     1.012361  0.028644805    1.2224287  -0.29497188 
    7500   0.99598638  0.028232313     1.208811  -0.28404614 
    7600   0.98548317  0.027964654    1.1987703  -0.27834387 
    7700   0.99097615  0.027775361    1.1975091  -0.28783829 
    7800       0.9786  0.026619947    1.2017094  -0.26508774 
    7900    1.0054632    0.0264149    1.2092961  -0.29776563 
    8000    1.0077557  0.029554628    1.2147273  -0.29577051 
    8100    1.0038717  0.026977856    1.2139964  -0.29067975 
    8200   0.99043172  0.027976719    1.2127768  -0.27175459 
    8300    1.0017159  0.027221751    1.2175989  -0.28384604 
    8400   0.99864641   0.02844036    1.2270436  -0.26980057 
    8500    1.0088217  0.027942882    1.2398158  -0.27227977 
    8600    1.0217939  0.030402277    1.2530737  -0.27846556 
    8700    1.0180346  0.030127327    1.2531347  -0.27276985 
    8800    1.0017087   0.02647429    1.2335218  -0.26791229 
