run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 22 22 22
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.739 | 2.739 | 2.739 Mbytes
Step Temp Press TotEng PotEng 
       0            1  0.029241389    1.4834749 -0.015398138 
     100    1.0146671  0.030696911    1.4821828 -0.038674228 
     200    1.0348508  0.030285129    1.4660419 -0.085068068 
     300    1.0399351  0.029084525    1.4104947  -0.14823596 
     400    1.0196259  0.028200682    1.3594923  -0.16879751 
     500     1.001207  0.028615721    1.3354882  -0.16519397 
     600   0.98914685  0.027228143     1.318548  -0.16405756 
     700   0.98515527  0.028724416    1.3098209  -0.16680172 
     800    0.9974586  0.026083901    1.3080481   -0.1870157 
     900   0.99504024  0.028978921    1.3099596  -0.18147937 
    1000    1.0075817  0.025952917    1.3128357  -0.19740142 
    1100    1.0047439  0.026679436    1.3134819  -0.19250161 
    1200    1.0072675  0.027477267    1.3094228  -0.20034331 
    1300    1.0007242  0.027394919    1.2959206  -0.20403787 
    1400   0.98465154   0.02705872    1.2747201  -0.20114752 
    1500   0.97954307  0.026782721    1.2559177  -0.21229301 
    1600   0.97189163  0.026291004    1.2476276  -0.20911452 
    1700    0.9820031  0.026684395    1.2591442  -0.21275374 
    1800    1.0028711  0.028768389    1.2944384  -0.20873811 
    1900    1.0374382  0.026509954    1.3300788  -0.22490924 
    2000    1.0520566  0.029363617    1.3361685  -0.24073078 
    2100    1.0349889   0.02595457    1.3038024  -0.24751458 
    2200   0.99448873  0.025003535    1.2623259  -0.22828644 
    2300   0.98518311  0.024844687    1.2490833  -0.22758107 
    2400   0.99414051  0.026915401     1.251711  -0.23837938 
    2500   0.99621769  0.025852248     1.258928  -0.23427584 
    2600    1.0065451   0.02721084    1.2681339   -0.2405494 
    2700    1.0057403  0.025858503    1.2760026  -0.23147441 
    2800    1.0054478  0.028088568    1.2844018  -0.22263689 
    2900    1.0181679  0.028071169    1.2918408  -0.23426357 
    3000    1.0185067  0.028680206    1.2873619  -0.23925032 
    3100    1.0003444   0.02504159    1.2610298  -0.23835949 
    3200   0.97514753  0.024877615    1.2285948  -0.23302757 
    3300   0.96921962  0.025618239    1.2128762  -0.23986098 
    3400   0.98065834  0.025318832    1.2185259  -0.25135643 
    3500   0.99631629  0.026017288    1.2431962  -0.25015545 
    3600    1.0160993   0.02627652    1.2802294  -0.24277446 
    3700    1.0427713  0.028440178    1.3065997   -0.2563821 
    3800    1.0422513  0.025894526    1.3020322  -0.26017023 
    3900    1.0158459  0.028191983    1.2645513  -0.25807274 
    4000   0.99379719  0.024944491    1.2252212  -0.26435459 
    4100   0.98362239  0.026474472    1.2162214  -0.25810372 
    4200   0.99439611   0.02510708     1.220119  -0.27035449 
    4300   0.99889553  0.025768979     1.228321   -0.2688966 
    4400    1.0035487  0.024940349    1.2378558  -0.26633625 
    4500    0.9980395   0.02528601    1.2491669  -0.24676759 
    4600    1.0151679  0.026814214    1.2643857  -0.25722218 
    4700    1.0211529  0.027207997    1.2737515  -0.25682714 
    4800    1.0147103  0.028888888    1.2675349  -0.25338691 
    4900   0.99545484    0.0234511    1.2396732  -0.25238722 
    5000   0.97374287  0.025216861    1.2044799  -0.25503706 
    5100   0.95825506  0.026347356    1.1859697  -0.25033294 
    5200   0.96962209  0.026254893    1.1934844    -0.259856 
    5300   0.99563647  0.025340499    1.2290572  -0.26327548 
    5400    1.0253391   0.02774126    1.2722356  -0.26461754 
    5500    1.0287276  0.027822418    1.2850623  -0.25686976 
    5600    1.0241965  0.026341956     1.275255   -0.2598856 
    5700    1.0094706  0.025601425    1.2585318  -0.25453638 
