run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.711 | 2.711 | 2.711 Mbytes
Step Temp Press TotEng PotEng 
       0          1.1  0.057512473    1.6170887 -0.031671657 
     100    1.1382723  0.059244499    1.6146579 -0.091467804 
     200    1.2260341  0.070369522    1.5694013  -0.26826811 
     300    1.2030758  0.058477972    1.4812031   -0.3220548 
     400    1.1705625  0.058083172    1.4167791  -0.33774552 
     500    1.1222255  0.058155898    1.3471277  -0.33494584 
     600    1.1000889  0.051724192    1.2909716  -0.35792198 
     700    1.0760813  0.044723109    1.2530827  -0.35982656 
     800    1.0837527  0.045463033    1.2358441   -0.3885636 
     900    1.0857768  0.054908917    1.2350916  -0.39234999 
    1000    1.0940859  0.051784113    1.2454272  -0.39446864 
    1100    1.1103355  0.053831001    1.2611715  -0.40308045 
    1200    1.1140643    0.0530186    1.2711221  -0.39871891 
    1300    1.1175316  0.046990575    1.2690809  -0.40595713 
    1400    1.0986155  0.049271085    1.2554618  -0.39122334 
    1500    1.0972246  0.054273214    1.2364135  -0.40818692 
    1600    1.0905648  0.049069482    1.2135781  -0.42104001 
    1700     1.090593  0.055693649    1.1914734  -0.44318705 
    1800    1.0796057  0.049873733    1.1713969  -0.44679499 
    1900    1.0726641  0.048506085    1.1611995  -0.44658783 
    2000    1.0832276  0.047066176     1.170553  -0.45306759 
    2100    1.1097104  0.053872102    1.2104389  -0.45287606 
    2200    1.1323015  0.052523578    1.2557133  -0.44146294 
    2300    1.1478637  0.050108072    1.2702624  -0.45023951 
    2400    1.1318034  0.054253984    1.2515735  -0.44485607 
    2500    1.1048049  0.049723717    1.2105168  -0.44544537 
    2600    1.0865865  0.046407424    1.1801857  -0.44846944 
    2700    1.0856974  0.047360817    1.1737587  -0.45356383 
    2800    1.0834045  0.048058911    1.1787845  -0.44510121 
    2900    1.0891525  0.051021341    1.1896557  -0.44284567 
    3000    1.0988326  0.050935495    1.2053984  -0.44161213 
    3100    1.1189956  0.049149197    1.2211888  -0.45604347 
    3200    1.1167251  0.044995917    1.2266745   -0.4471547 
    3300    1.1038074  0.048542464    1.2250272  -0.42943993 
    3400    1.1106392  0.052406419    1.2140195  -0.45068765 
    3500    1.0976212  0.043752524    1.1775584  -0.46763639 
    3600    1.0605084  0.047684516    1.1392841   -0.4502834 
    3700    1.0593311   0.03880951    1.1299837  -0.45781906 
    3800    1.0813145  0.047650162    1.1541387  -0.46661437 
    3900     1.120324  0.047182026    1.1946975   -0.4845259 
    4000    1.1323326  0.047619628    1.2162361  -0.48098676 
    4100    1.1145314  0.051005173    1.2143318  -0.45620929 
    4200    1.1021414  0.053827895    1.1992532  -0.45271674 
    4300    1.0932373  0.049670526    1.1776803  -0.46094359 
    4400    1.0751963  0.046701086    1.1570242  -0.45455853 
    4500    1.0588368  0.047288806    1.1454983  -0.44156358 
    4600      1.08268   0.04407787    1.1594542  -0.46334558 
    4700    1.1126006  0.052681458    1.2080654  -0.45958157 
    4800    1.1451904   0.05064227    1.2449103  -0.47158477 
    4900    1.1337638  0.055152495    1.2479478  -0.45142015 
    5000    1.1197295  0.048750161    1.2229249  -0.45540745 
    5100    1.1012633   0.05003624    1.1833134  -0.46734039 
    5200    1.0758658  0.051065059    1.1529667  -0.45961949 
    5300    1.0710076  0.046768193    1.1438029  -0.46150151 
    5400    1.0735971  0.051313408    1.1547956  -0.45439016 
    5500    1.0976983  0.050612629    1.1833518  -0.46195854 
    5600    1.1168169  0.048296767    1.2149643  -0.45900236 
    5700    1.1271839  0.055538276    1.2332618  -0.45624367 
    5800    1.1353753  0.049012112    1.2274048  -0.47437856 
    5900    1.0995414  0.051045072    1.1995773  -0.44849562 
    6000    1.0736944   0.04724442    1.1608654  -0.44846621 
    6100    1.0383684  0.042599824    1.1095312   -0.4468512 
    6200   0.99662035   0.04510206    1.0476382  -0.44616917 
    6300   0.99875533   0.04464596    1.0382474  -0.45876002 
    6400    1.0452916  0.043878208    1.0955848  -0.47117458 
    6500    1.0719264  0.046463052    1.1400965  -0.46658505 
    6600    1.0858299  0.055444068    1.1661622  -0.46135894 
    6700    1.1087129  0.045581887    1.1921671  -0.46965276 
    6800    1.1096617  0.047367042    1.2158038  -0.44743823 
    6900    1.1265009   0.05309801    1.2339233   -0.4545584 
    7000    1.1291833  0.056613629    1.2321122  -0.46039014 
    7100    1.1151543  0.050981767    1.2039688  -0.46750586 
    7200    1.0967449  0.046371054    1.1634867  -0.48039461 
    7300    1.0715065  0.045962667    1.1386266  -0.46742558 
