run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.717 | 2.717 | 2.717 Mbytes
Step Temp Press TotEng PotEng 
       0          1.1  0.049778271    1.6262593 -0.022500992 
     100    1.1322859   0.05037781     1.624193 -0.072959789 
     200     1.190419  0.060426708    1.5882735   -0.1960135 
     300    1.1716482  0.054582953    1.5048376  -0.25131431 
     400    1.1481972  0.054473954    1.4538062  -0.26719561 
     500    1.1243949  0.045316364    1.3995685  -0.28575671 
     600    1.0975227   0.04411258    1.3502962    -0.294751 
     700    1.0741872  0.044669318    1.3167045  -0.29336571 
     800    1.0699424  0.044391293    1.3044938  -0.29921389 
     900    1.0893296  0.044499898    1.3128007  -0.31996613 
    1000    1.1106178  0.047783123    1.3309211  -0.33375394 
    1100    1.1098893  0.046069363    1.3468269  -0.31675617 
    1200    1.1229863  0.046008478    1.3555728  -0.32764106 
    1300    1.1198982  0.045749982    1.3481729  -0.33041229 
    1400    1.1015988  0.044879485    1.3218144  -0.32934233 
    1500    1.0868016   0.04414886    1.2878222  -0.34115549 
    1600    1.0651281   0.04223064     1.264861  -0.33163072 
    1700    1.0780794  0.043472731    1.2659502  -0.34995387 
    1800    1.0979072  0.044833341    1.2906352  -0.35498836 
    1900    1.1212923  0.045699988    1.3382726  -0.34240224 
    2000    1.1420949  0.051766828    1.3824905  -0.32936481 
    2100    1.1536907  0.049090744    1.3862949  -0.34294106 
    2200    1.1427024  0.047635566    1.3538712  -0.35889466 
    2300    1.1278748  0.049152048    1.3191327  -0.37140842 
    2400    1.1096892  0.044591682    1.2958011  -0.36748207 
    2500    1.1043819  0.044124208    1.2759073  -0.37942093 
    2600    1.0917525  0.043690965    1.2573502  -0.37904824 
    2700    1.0872264  0.050023292    1.2419586  -0.38765572 
    2800    1.0805591  0.041297744    1.2309005  -0.38872045 
    2900    1.0811968  0.044374159    1.2326485  -0.38792825 
    3000    1.1043543  0.042457932    1.2525001  -0.40278686 
    3100    1.1255083  0.043125834     1.287372  -0.39962203 
    3200    1.1421294  0.048266207    1.3168964  -0.39501047 
    3300    1.1415441  0.043621673    1.3183372  -0.39269248 
    3400    1.1235463  0.043105651    1.2808333  -0.40321988 
    3500    1.0649211  0.047824024    1.2215738  -0.37460767 
    3600    1.0637454  0.044410107    1.2015848  -0.39283452 
    3700    1.0616453  0.042644164    1.2099419  -0.38132957 
    3800    1.0957207  0.041811794     1.235746  -0.40660014 
    3900    1.1071532  0.043024295    1.2626283  -0.39685382 
    4000    1.1105007   0.04728722    1.2800327   -0.3844668 
    4100    1.1070847  0.041564243    1.2875044  -0.37187501 
    4200    1.1139703   0.04681976    1.2866583  -0.38304176 
    4300    1.1046509  0.042165896      1.27112  -0.38461151 
    4400    1.0774964  0.044871676    1.2330158  -0.38201449 
    4500    1.0488398  0.045157936    1.1816462   -0.3904314 
    4600     1.043355  0.040027186    1.1627528  -0.40110393 
    4700     1.044741  0.043828515    1.1877304  -0.37820368 
    4800    1.0834161  0.042656642    1.2373149  -0.38658825 
    4900    1.1003954  0.041685361    1.2637597  -0.38559331 
    5000    1.1063401  0.040376515    1.2758528   -0.3824106 
    5100    1.1090177  0.044056943    1.2834683  -0.37880843 
    5200    1.1123578  0.045253312    1.2852747  -0.38200842 
    5300      1.10488  0.044411491    1.2764124  -0.37966244 
    5400    1.0987016  0.042410461    1.2598656  -0.38694864 
    5500    1.0977892  0.044722167    1.2352496  -0.41019707 
    5600    1.0759338  0.041488214    1.2052601  -0.40742806 
    5700    1.0717516  0.041692636    1.1844041  -0.42201547 
    5800    1.0669648  0.047920049    1.1783784  -0.42086635 
