run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.731 | 2.731 | 2.731 Mbytes
Step Temp Press TotEng PotEng 
       0          1.1  0.035953336    1.6333607 -0.015399658 
     100     1.117876  0.036555679    1.6320121 -0.043542063 
     200    1.1490304  0.037099088    1.6130385  -0.10921218 
     300    1.1419271  0.037302493    1.5476768  -0.16392697 
     400    1.1185382  0.034990407    1.4943803  -0.18216649 
     500    1.1026349   0.03385491    1.4692113  -0.18349843 
     600    1.1007372  0.033825845      1.44904  -0.20082524 
     700    1.0935732  0.032520353    1.4307345  -0.20839281 
     800    1.0780552  0.033258267    1.4179812  -0.19788657 
     900    1.0881916  0.034803144    1.4171982   -0.2138628 
    1000    1.0953032  0.033555994    1.4265855  -0.21513497 
    1100    1.1062522  0.032602885    1.4431678  -0.21496378 
    1200     1.121261  0.033701503    1.4647541  -0.21587387 
    1300    1.1290342  0.034417646    1.4821383   -0.2101407 
    1400    1.1290233  0.036291887    1.4821445   -0.2101181 
    1500    1.1245595  0.034152739    1.4473857  -0.23818631 
    1600    1.1010486  0.031991338    1.3885497  -0.26178235 
    1700    1.0771195  0.032641106     1.357332  -0.25713343 
    1800    1.0737903  0.032250365     1.352525  -0.25695028 
    1900    1.0901861  0.031456057    1.3649709  -0.26907964 
    2000    1.0980148  0.031447846    1.3882357  -0.25754904 
    2100    1.1152195  0.034992116     1.414397  -0.25717534 
    2200    1.1271823  0.032932324    1.4314106  -0.25809247 
    2300     1.126471  0.032747742    1.4327735  -0.25566342 
    2400     1.100031  0.032530202    1.4064302  -0.24237665 
    2500    1.0603163  0.031941902    1.3480975  -0.24118197 
    2600    1.0380437  0.031636224    1.3210089   -0.2348868 
    2700    1.0587217  0.030950655    1.3369263  -0.24996308 
    2800    1.0923245  0.031600429    1.3764569  -0.26079878 
    2900    1.1038753  0.035135595    1.4067058  -0.24786315 
    3000    1.1167897  0.032904092    1.4175301  -0.25639595 
    3100    1.1163157  0.031721959    1.4153621  -0.25785345 
    3200    1.1100617  0.032324048    1.4035526  -0.26028892 
    3300     1.095338  0.033097196    1.3854116  -0.25636102 
    3400    1.0941435  0.033042979    1.3634501  -0.27653205 
    3500    1.0658973  0.030105308    1.3361072  -0.26153756 
    3600    1.0542916  0.030196536    1.3137154   -0.2665338 
    3700    1.0513177  0.029430655    1.3134526   -0.2623391 
    3800    1.0809303  0.032772487    1.3577753  -0.26240203 
    3900    1.1089737  0.032240706    1.4111189  -0.25109186 
    4000    1.1289964  0.033828327    1.4365888  -0.25563342 
    4100    1.1263526  0.034442637    1.4374972  -0.25076235 
    4200    1.1194545  0.031799046    1.4176577  -0.26026245 
    4300    1.1038799  0.033336417    1.3830842  -0.27149163 
    4400    1.0699851  0.029578945    1.3515146  -0.25225722 
    4500     1.069068  0.033172752    1.3442463  -0.25815091 
    4600    1.0835965  0.034472685    1.3570486  -0.26712499 
    4700    1.1009654  0.032280343    1.3805812  -0.26962614 
    4800     1.110157  0.033256378    1.4090042  -0.25498011 
    4900    1.1357416  0.034655704     1.443911  -0.25842142 
    5000    1.1722582  0.034564024    1.4894606  -0.26760562 
    5100    1.1935181   0.03370232     1.519971  -0.26896108 
    5200    1.1648064  0.034155494    1.4844469     -0.26145 
    5300     1.109535  0.032343611      1.41225  -0.25080196 
    5400    1.0910372  0.031981662    1.3791649   -0.2561613 
    5500     1.081315  0.031339347    1.3655562  -0.25519778 
    5600    1.0839435  0.032716186    1.3650874  -0.25960633 
    5700    1.1031954  0.033361977    1.3755472  -0.27800267 
    5800    1.1090948  0.033911743    1.3879344  -0.27445787 
    5900    1.1165521  0.032462636    1.3948762  -0.27869369 
    6000    1.1082495  0.032082728    1.3923598  -0.26876542 
    6100    1.0965506  0.031546529    1.3820294  -0.26156067 
    6200    1.0876666  0.032497823    1.3659145  -0.26435958 
    6300    1.0768882  0.032817935    1.3492397  -0.26487906 
    6400    1.0690966  0.032041482    1.3433549  -0.25908516 
    6500    1.0753631  0.030958207    1.3602544  -0.25157828 
    6600    1.1124126   0.03292752    1.4042549  -0.26311034 
    6700    1.1319573  0.032507649    1.4398177  -0.25684258 
    6800    1.1393207  0.035261254    1.4452336  -0.26246351 
    6900    1.1252956  0.034045933    1.4201719  -0.26650332 
    7000     1.105942  0.033956962    1.3799557  -0.27771099 
    7100    1.0895722   0.03170152     1.354077   -0.2790534 
    7200    1.0847743  0.033176591    1.3483717  -0.27756718 
    7300     1.088006  0.030916446    1.3532298  -0.27755306 
    7400    1.1012537   0.03037394    1.3644854  -0.28615408 
    7500    1.1011545  0.032211439      1.37733  -0.27316075 
    7600    1.1076085    0.0325833    1.3918392  -0.26832534 
    7700    1.1188027  0.033240877    1.4086533  -0.26828984 
    7800     1.129831  0.033298639    1.4228582  -0.27061502 
    7900     1.136336  0.033663942    1.4222604  -0.28096305 
    8000    1.1105433  0.032851743    1.3882593  -0.27630407 
    8100    1.0799939  0.030754323    1.3435341  -0.27523955 
    8200    1.0630846  0.028872021    1.3233776  -0.27005119 
    8300    1.0671424  0.032535312    1.3323877   -0.2671233 
    8400    1.0920879  0.030074972    1.3649432  -0.27195792 
    8500    1.1167648  0.033983969    1.4016223  -0.27226636 
    8600    1.1358604  0.031718535     1.416919  -0.28559146 
    8700    1.1155677  0.032177569    1.4087946  -0.26329974 
    8800     1.115529  0.031367112    1.3904379  -0.28159854 
    8900    1.1105898  0.033205052    1.3693798  -0.29525334 
    9000     1.104972  0.030976265    1.3530841  -0.30312871 
    9100    1.0902003  0.030517103    1.3464307  -0.28764112 
    9200    1.1063769  0.030964476    1.3469202  -0.31139834 
    9300    1.1046778  0.030025523    1.3468624   -0.3089093 
    9400    1.0940442  0.029633453    1.3472092  -0.29262418 
    9500    1.0960044  0.031433773    1.3529621  -0.28980924 
    9600    1.1113076  0.031555103    1.3668655   -0.2988435 
    9700    1.1257328  0.033839781    1.3922817   -0.2950488 
    9800    1.1361888  0.032762486    1.4198213  -0.28318149 
    9900    1.1466475  0.035421643    1.4290702  -0.28960876 
   10000    1.1347284  0.033270191    1.3985003  -0.30231349 
   10100    1.0893099  0.030505982    1.3459988   -0.2867385 
   10200    1.0792328  0.029962967    1.3186957   -0.2989372 
   10300    1.0712686  0.030484918    1.3168646  -0.28883097 
   10400    1.0831506  0.032415935    1.3339262  -0.28957905 
   10500    1.0985198  0.032338436    1.3611834  -0.28535832 
   10600    1.1141518  0.033781131    1.3885118  -0.28146028 
   10700    1.1286262  0.032908769    1.4034061  -0.28826132 
   10800    1.1312125  0.032760914    1.3969578    -0.298586 
   10900    1.0903032  0.033319996    1.3629337  -0.27129232 
   11000    1.0617778  0.032317303     1.301761  -0.28970916 
   11100    1.0397851  0.032502648    1.2639985  -0.29450724 
   11200    1.0506278  0.029235075    1.2725802  -0.30217753 
   11300    1.0820191  0.030381519    1.2969485   -0.3248607 
   11400    1.0925413  0.030817673    1.3216868   -0.3158939 
   11500    1.1020109  0.031742805    1.3459519  -0.30582246 
   11600    1.1108309  0.033478445    1.3660661  -0.29892836 
   11700    1.1148282  0.033793503    1.3771689  -0.29381704 
   11800    1.1109388  0.032292083    1.3767968  -0.28835946 
   11900    1.0975403  0.032950665    1.3641822  -0.28089137 
   12000    1.0781854  0.031608695    1.3412821  -0.27478093 
   12100    1.0686062  0.029578542    1.3172946  -0.28441034 
   12200    1.0607011  0.030275987    1.3069532  -0.28290302 
   12300    1.0745194  0.032325829     1.325004  -0.28556413 
   12400    1.1045306  0.031917799    1.3715911  -0.28396009 
   12500    1.1219475  0.033705091     1.410213  -0.27144388 
   12600    1.1303159  0.032344864    1.4204318  -0.27376831 
   12700    1.1161858  0.032600711     1.409122  -0.26389877 
   12800    1.1082573  0.032162812    1.3860914  -0.27504565 
   12900    1.0823695  0.033670411    1.3592104  -0.26312409 
   13000    1.0764953  0.031691237    1.3444186  -0.26911113 
   13100    1.0762614    0.0338237    1.3468496  -0.26632959 
   13200    1.0925338  0.031926239    1.3765199  -0.26104961 
   13300    1.1494573  0.031945657    1.4564288  -0.26646185 
   13400    1.1709605  0.035374722    1.4840427  -0.27107836 
   13500    1.1449335  0.034173987    1.4567496  -0.25936036 
   13600     1.116057  0.034032094    1.4114842  -0.26134343 
   13700    1.1099796  0.032354253    1.3743036  -0.28941491 
   13800     1.084365  0.032204134    1.3483407  -0.27698473 
   13900    1.0779887  0.031695942    1.3379672    -0.277801 
   14000    1.0813847  0.031157276    1.3433256  -0.27753269 
   14100    1.0930199   0.03384625     1.364434  -0.27386396 
   14200    1.1140795  0.031316759    1.3947954  -0.27506835 
   14300    1.1348244  0.035948279    1.4196734  -0.28128429 
   14400    1.1272983  0.033022764    1.4230887  -0.26658831 
   14500    1.1049958  0.032578685    1.3928045   -0.2634438 
   14600    1.0709902  0.032217898    1.3339523  -0.27132601 
   14700    1.0580824  0.030699015    1.3047073  -0.28122397 
   14800    1.0717572  0.030447148    1.3095498  -0.29687814 
   14900    1.0760619  0.031814183    1.3349554  -0.27792473 
   15000    1.0988947  0.031703706    1.3682299  -0.27887375 
   15100    1.1107358  0.032667574    1.3917236  -0.27312833 
   15200    1.1290014  0.034666357    1.3972764  -0.29495331 
   15300    1.1216608  0.033428351    1.3837331   -0.2974939 
   15400    1.1053156  0.031418067    1.3636754  -0.29305233 
   15500    1.0903289  0.034246259    1.3499596  -0.28430497 
   15600    1.0918763  0.030780508    1.3441508  -0.29243316 
   15700    1.0815716  0.032447813    1.3460699   -0.2750686 
   15800    1.0924533  0.031236216    1.3558233  -0.28162544 
   15900    1.1033895  0.031866451    1.3678865  -0.28595427 
   16000    1.1134022  0.031675909    1.3769116  -0.29193691 
   16100     1.099819  0.032440079    1.3814783  -0.26701067 
   16200    1.1129624  0.034622807    1.3910361  -0.27715327 
   16300    1.1235272  0.033035911    1.4077726  -0.27625203 
   16400    1.1259864  0.031658265    1.4131873  -0.27452337 
   16500    1.1284143  0.033233035    1.3990005  -0.29234927 
   16600    1.1059546  0.030805125    1.3663097  -0.29137588 
   16700    1.0719883  0.032101924    1.3360144  -0.27075999 
   16800     1.070456  0.029805541    1.3252195  -0.27925815 
   16900    1.0801813  0.031995095    1.3364897  -0.28256485 
   17000    1.0974244  0.030985586    1.3661884  -0.27871145 
   17100    1.1250112  0.030122868    1.4017879  -0.28446099 
   17200    1.1348842  0.032368844    1.4214919  -0.27955546 
   17300    1.1291562  0.035526362    1.4158339  -0.27662792 
   17400     1.103052   0.03338523    1.3827765  -0.27055846 
   17500    1.0739914  0.030221146    1.3397431  -0.27003358 
   17600    1.0541073  0.029705535    1.3217658  -0.25820723 
   17700    1.0701006  0.030512651    1.3333323  -0.27061264 
   17800    1.0703678   0.03466438    1.3517536  -0.25259182 
   17900    1.0874012   0.03164084    1.3686246  -0.26125179 
   18000    1.0993827  0.033627865    1.3857255  -0.26210963 
   18100    1.1075097  0.031982246    1.4019632  -0.25805319 
   18200    1.1194597  0.033947429    1.4133862  -0.26454182 
   18300    1.1236107  0.033835674    1.4113836  -0.27276619 
   18400    1.1082186  0.031959242    1.3859799  -0.27509904 
   18500    1.0739678  0.031427574    1.3461997   -0.2635417 
   18600    1.0653161  0.030091676    1.3218762  -0.27489737 
   18700    1.0725273  0.031269566    1.3237334  -0.28384882 
   18800       1.0872   0.03025669     1.355619  -0.27395577 
   18900    1.1226074  0.032635497    1.4159888  -0.26665707 
