run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.717 | 2.717 | 2.717 Mbytes
Step Temp Press TotEng PotEng 
       0          1.2   0.05033013    1.7799636 -0.018683996 
     100    1.2293127   0.05276682    1.7775131 -0.065070588 
     200    1.2879242  0.056644934    1.7442041  -0.18623068 
     300     1.260335  0.054859322    1.6575354  -0.23154673 
     400    1.2349909   0.05062752    1.6072566   -0.2438379 
     500    1.2104865  0.049024286     1.565093  -0.24927256 
     600    1.1897102  0.044509936    1.5257182  -0.25750641 
     700    1.1823374  0.046627526    1.5007013  -0.27147228 
     800     1.195354   0.04685437    1.4889674  -0.30271638 
     900    1.1844644  0.046230405    1.4828866  -0.29247511 
    1000    1.1910328  0.044488212    1.4859824  -0.29922451 
    1100    1.2039174  0.045638614    1.4989788  -0.30554061 
    1200    1.2020106  0.049186147    1.5165303  -0.28513095 
    1300    1.2226795   0.04550924    1.5341501  -0.29849121 
    1400    1.2309152  0.048643908    1.5432397  -0.30174599 
    1500    1.2183434  0.045943144    1.5293791  -0.29676297 
    1600    1.1873975  0.045284053    1.4890145  -0.29074349 
    1700    1.1749159  0.046596737     1.448087  -0.31296276 
    1800    1.1692526  0.044507508    1.4269063  -0.32565486 
    1900    1.1659624  0.043854887    1.4299999  -0.31762971 
    2000    1.1854656  0.042007574    1.4642396  -0.31262275 
    2100     1.216019  0.048290157    1.5218022   -0.3008559 
    2200    1.2400635  0.050363585    1.5492446  -0.30945318 
    2300    1.2388403  0.048904678    1.5395768  -0.31728748 
    2400    1.2203628  0.047638142    1.5137166   -0.3154523 
    2500    1.2039781   0.04735246    1.4847394  -0.31987093 
    2600    1.1846275  0.047398986    1.4604722  -0.31513398 
    2700     1.180297  0.045497702    1.4463463  -0.32276899 
    2800    1.1850023  0.044862475    1.4458902  -0.33027785 
    2900    1.1900953  0.045432201    1.4628976  -0.32090424 
    3000    1.2210244   0.04695514    1.5022507  -0.32790978 
    3100     1.253664  0.050796099    1.5503478   -0.3287354 
    3200    1.2612971  0.047070569    1.5647487  -0.32577549 
    3300    1.2346206  0.049768267    1.5272265  -0.32331302 
    3400     1.188746  0.047050682    1.4537625  -0.32801679 
    3500    1.1796983   0.04499943     1.427534  -0.34068392 
    3600    1.1791413  0.045628569    1.4279027  -0.33948041 
    3700    1.1839755  0.044606271    1.4422918  -0.33233706 
    3800    1.2009687  0.044555114    1.4697941  -0.33030547 
    3900    1.2144377  0.046263655    1.5007752  -0.31951276 
    4000    1.2381136  0.045759429    1.5202269  -0.33554825 
    4100    1.2289385   0.04825371    1.5154346  -0.32658814 
    4200    1.2100555  0.046891037    1.4786187  -0.33510084 
    4300    1.1842232  0.044751706    1.4223497  -0.35265049 
    4400    1.1581817  0.042739218    1.3922813  -0.34368597 
    4500    1.1577604   0.04194191    1.3991732   -0.3361626 
    4600    1.1779921  0.044386151    1.4238782  -0.34178236 
    4700    1.1918587  0.042824398    1.4506974  -0.33574748 
    4800    1.2008924  0.046851372    1.4735335  -0.32645181 
    4900    1.2166573  0.045463012    1.4894773  -0.33413761 
    5000    1.2138964  0.047758532    1.4936676  -0.32580902 
    5100    1.2187922  0.050141541    1.4843889  -0.34242582 
    5200    1.2078724  0.047647819    1.4475006  -0.36294678 
    5300    1.1587316  0.041177137    1.3890366  -0.34775489 
    5400     1.147012  0.043883087    1.3666318  -0.35259358 
    5500    1.1581811  0.045330162    1.3815116   -0.3544547 
    5600     1.181829   0.03996785    1.4082578  -0.36315381 
    5700    1.1953731  0.043598382    1.4322467  -0.35946582 
    5800    1.2002094  0.046215823    1.4477047  -0.35125683 
    5900     1.212725  0.045672147    1.4570639  -0.36065683 
    6000    1.2102739   0.04836062    1.4587456  -0.35530139 
    6100    1.1911978  0.046743579     1.450656  -0.33479824 
    6200    1.1892039  0.046295964     1.440282  -0.34218361 
    6300    1.1681592  0.048817565    1.4291525  -0.32176977 
    6400    1.1752435  0.041347071    1.4316613  -0.32987953 
    6500    1.2014492  0.047916809    1.4605329  -0.34028698 
    6600    1.2264994  0.045377412    1.4973941  -0.34097275 
    6700     1.235799  0.047385371    1.5174389  -0.33486689 
    6800      1.23183  0.045143469    1.5127882  -0.33356858 
    6900    1.2119899  0.048008122    1.4782977  -0.33832134 
    7000    1.1778863  0.047001406    1.4280229  -0.33747905 
    7100    1.1578613  0.044494215     1.403906  -0.33158106 
    7200    1.1650757  0.047337532    1.4106454  -0.33565513 
    7300     1.181152  0.047315529    1.4314325  -0.33896438 
    7400    1.1998495  0.048095639     1.451482  -0.34694002 
    7500    1.2011017  0.045843726    1.4631051  -0.33719384 
    7600     1.200606  0.045134967    1.4691052  -0.33045073 
    7700    1.2050608  0.043575598      1.47363  -0.33260315 
    7800    1.2002394  0.046154458    1.4771069   -0.3218996 
    7900    1.1937557  0.049417494    1.4808622  -0.30842609 
    8000    1.2072354  0.045832312    1.4839478   -0.3255448 
    8100    1.2131131  0.047528356    1.4777746  -0.34052794 
    8200    1.1941228  0.046060095    1.4456164  -0.34422206 
    8300    1.1715406   0.04230635    1.4041574  -0.35183312 
    8400      1.15286  0.041193875    1.3881598  -0.33983091 
    8500    1.1759214  0.043536901    1.4078378  -0.35471908 
    8600    1.1934633  0.043228446    1.4508119  -0.33803815 
    8700    1.2090419  0.050631549    1.4896123  -0.32258794 
    8800    1.2381827  0.046999981    1.5033821  -0.35249654 
    8900    1.2287305  0.046881518    1.4893713  -0.35233978 
    9000    1.2004657  0.046873635    1.4583679  -0.34097777 
    9100    1.1766043  0.044761612    1.4331453  -0.33043511 
    9200    1.1664747  0.045334542    1.4285737  -0.31982371 
    9300     1.175773  0.044449567    1.4433832  -0.31895115 
    9400    1.1895206   0.04794381    1.4619164  -0.32102404 
    9500    1.2042087  0.047931516    1.4713414  -0.33361456 
    9600    1.2132973  0.046166356     1.472678  -0.34590054 
    9700    1.2067731  0.047985615    1.4643986  -0.34440103 
    9800    1.1878778  0.045379622    1.4491789  -0.33129907 
    9900    1.1921524  0.045023545    1.4361579  -0.35072722 
   10000     1.186568  0.045003065    1.4246777  -0.35383708 
   10100    1.1687122  0.043645834    1.4160803  -0.33567085 
   10200    1.1804318  0.045354364    1.4287177  -0.34059967 
   10300    1.2187495  0.047897965     1.470137  -0.35661376 
   10400    1.2325658   0.04699517    1.5067687  -0.34069093 
   10500    1.2343893  0.046554249    1.5202498  -0.32994297 
   10600    1.2248267  0.048270773    1.5093329  -0.32652679 
   10700    1.2095412  0.046903581    1.4708471  -0.34210158 
   10800    1.1831356  0.047522445    1.4229014  -0.35046872 
   10900    1.1690949   0.04590108    1.3979001  -0.35442466 
   11000    1.1634823  0.042595405    1.4002522  -0.34366007 
   11100    1.1642725  0.046564869    1.4214997  -0.32359689 
   11200      1.18338  0.045131655    1.4483019   -0.3254345 
   11300    1.2120526  0.049583648     1.467749  -0.34896396 
   11400    1.2116592  0.044324448    1.4727682  -0.34335507 
   11500    1.2008263  0.043817388    1.4697096   -0.3301766 
   11600    1.2039221  0.045880872    1.4653406  -0.33918579 
   11700    1.2037063  0.044442799    1.4567141  -0.34748877 
   11800     1.194815  0.044005466    1.4347709  -0.35610507 
   11900    1.1646047  0.046483268    1.3905968  -0.35499777 
   12000    1.1246881  0.041151894    1.3572342   -0.3285305 
   12100    1.1467702   0.04327492    1.3725599  -0.34630305 
   12200    1.1785577  0.046490477    1.4302413  -0.33626706 
   12300    1.2174512  0.044260416    1.4716703  -0.35313445 
   12400    1.2134141  0.049903151    1.4834101  -0.33534357 
   12500    1.2197877  0.047365648    1.4786797  -0.34962716 
   12600    1.2083464  0.044003073    1.4623177  -0.34884012 
   12700    1.1879909  0.047464482    1.4417145  -0.33893296 
   12800    1.1839614  0.048350169    1.4206954  -0.35391249 
   12900     1.160592  0.043528994    1.4022067  -0.33737338 
   13000    1.1610017  0.047969687    1.4033943   -0.3367998 
   13100    1.1857032   0.04426059    1.4434192  -0.33379937 
   13200    1.2359333  0.046197227    1.5038629  -0.34864426 
   13300    1.2537049  0.047210926    1.5256693  -0.35347521 
   13400    1.2373898  0.047610416    1.5083935  -0.34629677 
   13500    1.1946212  0.043883382     1.470222  -0.32036348 
   13600    1.1745229  0.049584928    1.4441337  -0.31632708 
   13700    1.1882209  0.045517924    1.4368524  -0.34413993 
   13800    1.1857632  0.041547275    1.4398625  -0.33744595 
   13900    1.1785045  0.046363865    1.4558172  -0.31061134 
   14000     1.199351   0.04631495    1.4853847   -0.3122901 
   14100    1.2292562  0.047482533    1.5166536  -0.32584535 
   14200     1.246368   0.05113566    1.5350178  -0.33312958 
   14300    1.2308404  0.048232678    1.5149303  -0.32994324 
   14400     1.180694  0.044346001    1.4403805  -0.32932992 
   14500    1.1478902  0.043758762    1.4024936  -0.31804807 
   14600    1.1533324  0.044097948    1.4074274  -0.32127148 
   14700    1.1840454   0.04631775    1.4454947   -0.3292391 
   14800      1.21965  0.047129178    1.4884832  -0.33961722 
