run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 20 20 20
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.724 | 2.724 | 2.724 Mbytes
Step Temp Press TotEng PotEng 
       0          1.2  0.045240542    1.7832434 -0.015404222 
     100    1.2211458  0.046718583     1.781424 -0.048918404 
     200    1.2668753   0.05025511    1.7563124  -0.14257281 
     300    1.2457663  0.046277185    1.6763689  -0.19087665 
     400    1.2177259   0.04545468    1.6271751  -0.19804134 
     500    1.2142334   0.04392522    1.5960756  -0.22390614 
     600    1.1993437  0.041497599    1.5623223  -0.23534156 
     700    1.1869262  0.039982969    1.5348121  -0.24423951 
     800    1.1731737  0.043060001     1.518941  -0.23949736 
     900    1.1779824  0.041639048      1.51708    -0.248566 
    1000    1.1796983  0.043033648     1.532863  -0.23535501 
    1100    1.2305423  0.039613407    1.5648376  -0.27958913 
    1200     1.244096  0.042459801    1.5862643  -0.27847764 
    1300    1.2397424  0.040977008     1.575805  -0.28241148 
    1400    1.2037465  0.040868734    1.5267874  -0.27747583 
    1500    1.1619785  0.038938834    1.4771254  -0.26453287 
    1600    1.1639325  0.036627932    1.4681847  -0.27640226 
    1700    1.1716791  0.041334055    1.4850365  -0.27116166 
    1800    1.1888063  0.040572782    1.5108572  -0.27101247 
    1900    1.2027506  0.043418797     1.531808  -0.27096244 
    2000    1.2135721  0.038755627    1.5411241  -0.27786637 
    2100     1.212873  0.041687297    1.5431818   -0.2747608 
    2200    1.2170449  0.040968139    1.5355546  -0.28864116 
    2300    1.1960318  0.038208532    1.5160929   -0.2766069 
    2400    1.1810837  0.040380089    1.4878009  -0.28249351 
    2500    1.1541236  0.039003141    1.4412234   -0.2886613 
    2600    1.1192047  0.036731678    1.4009413  -0.27660449 
    2700    1.1281791  0.039315751    1.4100118  -0.28098547 
    2800     1.187445  0.039031074     1.474835   -0.3049943 
    2900     1.219403   0.04163745    1.5182572  -0.30947307 
    3000    1.2188304  0.041287425     1.526102  -0.30077005 
    3100    1.2137086  0.040998862    1.5191535  -0.30004158 
    3200     1.194303  0.039066259     1.503444  -0.28666448 
    3300    1.1874458  0.042606776    1.4880747  -0.29175573 
    3400    1.1781113  0.038668246    1.4792418  -0.28659747 
    3500    1.1872313  0.038739566    1.4861098  -0.29339923 
    3600    1.1983437  0.039305337    1.5160085  -0.28015649 
    3700    1.2356313  0.041777256    1.5631257  -0.28892866 
    3800    1.2574513   0.04320256    1.5887601  -0.29599983 
    3900     1.254272   0.04204856     1.569552  -0.31044239 
    4000    1.2069911  0.040568204    1.5122404  -0.29688606 
    4100    1.1815752  0.041106921     1.477348  -0.29368314 
    4200    1.1811708  0.040108501    1.4720927  -0.29833242 
    4300    1.1902892  0.040217002    1.4809357  -0.30315667 
    4400    1.2058254  0.040415494    1.4960582  -0.31132091 
    4500     1.211892  0.038350323    1.5106094  -0.30586285 
    4600    1.2155553  0.042690013    1.5231628  -0.29880021 
    4700    1.2080803  0.042158267    1.5292164  -0.28154253 
    4800    1.2145894  0.041142623    1.5294147  -0.29110071 
    4900     1.209663  0.043592188    1.5138432  -0.29928803 
    5000    1.1797953  0.039365911    1.4783509  -0.29001246 
    5100     1.164551  0.040083563    1.4503479  -0.29516627 
    5200     1.170063  0.039634548    1.4461041  -0.30767175 
    5300    1.1737417  0.038788751     1.467429  -0.29186074 
    5400    1.1972864  0.040972433    1.5143274  -0.28025286 
    5500    1.2442095  0.040742738    1.5559355  -0.30897663 
    5600    1.2374814  0.043532265    1.5612501  -0.29357742 
    5700    1.2269653  0.040672659    1.5394105  -0.29965474 
    5800    1.2042907  0.043358703    1.5123873  -0.29269149 
    5900    1.2033856  0.040051165    1.4928123  -0.31090991 
    6000    1.1909775  0.039363905    1.4824212  -0.30270287 
    6100    1.1922034  0.042100845    1.4810842  -0.30587737 
    6200    1.2023702  0.038446837    1.4850774  -0.31712297 
    6300    1.2106826  0.040106764    1.4888398  -0.32581969 
    6400    1.2047119  0.039732482    1.4853038  -0.32040645 
    6500    1.1861856  0.040074012    1.4685566  -0.30938504 
    6600    1.1682135  0.039424569    1.4352953   -0.3157084 
    6700    1.1545206  0.037762636    1.4096651  -0.32081471 
    6800    1.1497841  0.035842672    1.4145876  -0.30879275 
    6900    1.1830461  0.039263013    1.4607751  -0.31246074 
    7000    1.2091165   0.04156289    1.5107198  -0.30159234 
    7100     1.232072  0.041533879    1.5317257  -0.31499384 
    7200    1.2309594   0.03943828    1.5277699  -0.31728197 
    7300    1.2102651  0.041299839     1.505861  -0.30817272 
    7400     1.190409  0.041121042     1.476221  -0.30805093 
    7500    1.1721235  0.039471734    1.4524253  -0.30443897 
    7600    1.1721788  0.040416824    1.4453272  -0.31162002 
    7700    1.1813597  0.039255245    1.4623642  -0.30834393 
    7800    1.2238722  0.039958065    1.5268349  -0.30759424 
    7900    1.2513644  0.044428328    1.5808601  -0.29477627 
    8000    1.2469473  0.044033515    1.5801904  -0.28882524 
    8100    1.2213743  0.040621213    1.5464875  -0.28419746 
    8200    1.1993812  0.041934005     1.509211  -0.28850912 
    8300    1.1809235  0.041498813    1.4873832  -0.28267114 
    8400      1.18466  0.040839824    1.4830345  -0.29262047 
    8500    1.1825451  0.042097783    1.4905529  -0.28193213 
    8600    1.1958132  0.039837682    1.5099154  -0.28245672 
    8700    1.2176834  0.043001581    1.5383277  -0.28682508 
    8800    1.2370775  0.041091294     1.571955  -0.28226704 
    8900    1.2684674  0.043207942    1.6103269  -0.29094471 
    9000    1.2742308  0.042079457    1.6251473  -0.28476279 
    9100    1.2324856  0.042311892    1.5811345  -0.26620488 
    9200    1.1935413  0.042106627    1.5159661  -0.27300071 
    9300    1.1710391  0.037680526    1.4862887  -0.26895011 
    9400    1.1818248  0.038006655    1.4839671  -0.28743828 
    9500    1.1806681  0.042418012    1.4989672  -0.27070435 
    9600    1.2089988  0.039880301    1.5277943  -0.28434135 
    9700    1.2243445  0.040600313    1.5576829  -0.27745402 
    9800    1.2335289  0.042494601    1.5742262  -0.27467695 
    9900    1.2288816  0.043662218    1.5686287  -0.27330883 
   10000    1.2078579  0.038162151    1.5243904  -0.28603525 
   10100    1.1558908  0.037200478    1.4614961   -0.2710375 
   10200    1.1471476  0.041210228    1.4452782  -0.27415045 
   10300    1.1650433  0.038724908    1.4624274  -0.28382466 
   10400    1.1850795  0.038011586    1.4935473  -0.28273644 
   10500    1.1974655  0.042529924    1.5217981  -0.27305057 
   10600    1.2132668  0.042717937     1.538781  -0.27975179 
   10700    1.2183834  0.041144935    1.5412805   -0.2849215 
   10800    1.2105676  0.043139095    1.5302002  -0.28428686 
   10900    1.1979108  0.038672354    1.5095161  -0.28600012 
