run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 22 22 22
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.739 | 2.739 | 2.739 Mbytes
Step Temp Press TotEng PotEng 
       0          1.2  0.032696769    1.7832439 -0.015403715 
     100    1.2135183  0.034665566    1.7819112 -0.036998587 
     200    1.2291175  0.033133075    1.7677603 -0.074530759 
     300    1.2286817   0.03635231    1.7151598  -0.12647805 
     400    1.1995087  0.030498375    1.6465063  -0.15140493 
     500    1.1877267   0.03185894    1.6236786   -0.1565729 
     600    1.1898193  0.032921072    1.6186624   -0.1647257 
     700    1.1891764  0.030500062    1.6201979  -0.16222653 
     800    1.2062733  0.031615924    1.6292809  -0.17876962 
     900    1.2097787  0.030783162    1.6379273  -0.17537736 
    1000    1.2139868  0.031751665    1.6424429  -0.17716915 
    1100    1.2033255  0.032698111     1.638357  -0.16527518 
    1200     1.204314  0.031544251    1.6215915  -0.18352231 
    1300    1.1891807  0.029952048    1.5908707  -0.19156025 
    1400    1.1697158  0.030946426    1.5591285    -0.194127 
    1500    1.1544409  0.028601543     1.544557  -0.18580341 
    1600    1.1647385  0.031246806    1.5629481  -0.18284696 
    1700    1.1980543  0.031599137     1.616327  -0.17940426 
    1800    1.2352937  0.032466986    1.6598464  -0.19170197 
    1900    1.2406467  0.032018756    1.6628016   -0.1967702 
    2000    1.2248637  0.031454449    1.6406789  -0.19523629 
    2100    1.2055154  0.030857431    1.6121931   -0.1947214 
    2200    1.1876926  0.030021624    1.5916097  -0.18859063 
    2300    1.1856634  0.030149413    1.5843707  -0.19278825 
    2400    1.1925743  0.030516408    1.5883673  -0.19915016 
    2500    1.1957147  0.030271833    1.5994879  -0.19273663 
    2600    1.2095729  0.031178888     1.618144  -0.19485216 
    2700    1.2374769  0.031031566    1.6495798  -0.20524094 
    2800    1.2686444  0.032138133     1.691095  -0.21044189 
    2900     1.265226  0.032572975    1.6996511  -0.19676208 
