run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.735 | 2.735 | 2.735 Mbytes
Step Temp Press TotEng PotEng 
       0          1.5 -0.025599412    1.4658462   -0.7824633 
     100    1.7619406   0.36957088    1.4274247   -1.2135006 
     200    1.7470044   0.32100792    1.2774629   -1.3410749 
     300     1.655301   0.31586031    1.1443128   -1.3367732 
     400    1.5861647   0.29751007    1.0054754   -1.3719841 
     500     1.539548   0.25754525   0.88800191    -1.419585 
     600    1.5041644   0.23324977   0.79701839    -1.457533 
     700    1.4515958   0.21608859   0.73363749   -1.4421204 
     800    1.4602628   0.23187061   0.70705653    -1.481692 
     900    1.4437931   0.22027292   0.71487365   -1.4491889 
    1000    1.4989511    0.1847632   0.75670027    -1.490037 
    1100    1.5104982   0.24826872   0.80907168   -1.4549734 
    1200    1.5309589    0.2545359   0.84390103    -1.450812 
    1300    1.5420635   0.21747333    0.8536262   -1.4577312 
    1400    1.5657768   0.24159196   0.83324735   -1.5136533 
    1500    1.5045111    0.2344439   0.77542964   -1.4796415 
    1600    1.4604616   0.24171962   0.72371059   -1.4653359 
    1700    1.4705687    0.1841154   0.69780814   -1.5063877 
    1800    1.4468926   0.26419337   0.69590978   -1.4727985 
    1900    1.4833471   0.18642067   0.72162214   -1.5017269 
    2000    1.4903584   0.24244532   0.76926496   -1.4645931 
    2100    1.5218684   0.25050357   0.81328799   -1.4677995 
    2200    1.5383125   0.24273291   0.83254302   -1.4731921 
    2300    1.5272404   0.23303541   0.82262907   -1.4665104 
    2400    1.5026482    0.2622181   0.78361834   -1.4686605 
    2500    1.5002014   0.21693412   0.72698754   -1.5216239 
    2600    1.4658816   0.17358554   0.68197965   -1.5151907 
    2700    1.4400843   0.23424138   0.67682486   -1.4816787 
    2800    1.4767475   0.25523233   0.69789527   -1.5155617 
    2900    1.4860752   0.20186536   0.72143858   -1.5059994 
    3000    1.4848237   0.22483585   0.74347288   -1.4820893 
    3100    1.5123242   0.19067901   0.76351399   -1.5032679 
    3200    1.5048347   0.23933526   0.78059583   -1.4749603 
    3300    1.5121814   0.23274403   0.79475431   -1.4718136 
    3400    1.5203668   0.26488512   0.80480141   -1.4740354 
    3500    1.5139595   0.23789728   0.79839926   -1.4708338 
    3600    1.5044332   0.25706039   0.75339116   -1.5015631 
    3700    1.4831641   0.19848609   0.67115981   -1.5519149 
    3800    1.4527072   0.21354592   0.62929475   -1.5481289 
    3900     1.448892   0.19249702   0.63464167   -1.5370634 
    4000    1.4597073    0.2020039   0.67517173   -1.5127441 
    4100    1.4952559   0.22447547   0.72939736   -1.5118014 
    4200    1.5217845   0.24538209   0.76342003   -1.5175417 
    4300    1.5202105   0.20943144   0.77306372   -1.5055388 
    4400    1.5046166   0.19656711   0.77216381   -1.4830654 
    4500    1.5209839    0.2101356   0.76746385   -1.5122979 
    4600     1.500409   0.24770416   0.74879447    -1.500128 
    4700    1.4832102    0.2152203   0.71311102   -1.5100328 
    4800    1.4250576   0.25772214   0.65968184   -1.4762986 
    4900    1.4206854   0.24022453   0.61223106   -1.5171959 
    5000    1.4342515   0.20458666   0.60243592   -1.5473249 
    5100    1.4639374   0.20479997   0.65445119   -1.5398052 
    5200    1.5125904   0.25975969   0.73881877   -1.5283622 
    5300    1.5428182   0.21451356    0.7695986     -1.54289 
    5400    1.5313281   0.25950549   0.76943924   -1.5258272 
    5500    1.5079089   0.20770433   0.74646018   -1.5137038 
    5600    1.5061029   0.21225211   0.71537021   -1.5420869 
    5700    1.4724908   0.23812037     0.684457   -1.5226197 
    5800    1.4614962   0.21738079   0.66823703   -1.5223602 
    5900    1.4684933   0.22692725   0.67366993   -1.5274151 
    6000     1.499772   0.22185877   0.71333388   -1.5346338 
    6100    1.5364344   0.21153092   0.78726607    -1.515654 
    6200    1.5558474   0.27121219   0.83495993   -1.4970578 
    6300     1.576976   0.27144346   0.82784411   -1.5358428 
    6400    1.5294799   0.22178575   0.77536879   -1.5171273 
    6500    1.5222245   0.19338303   0.73106412   -1.5505571 
    6600    1.4813584   0.25598235   0.71226954   -1.5080986 
    6700    1.4829189   0.19222544   0.71075667   -1.5119504 
    6800    1.4949224   0.21009537   0.72244055   -1.5182582 
    6900     1.518515   0.21626037   0.73995244   -1.5361087 
    7000    1.4981931   0.25892384   0.75711179   -1.4884894 
    7100    1.4936228   0.24396689   0.77798358   -1.4607674 
    7200    1.5063113   0.27078265    0.8185249   -1.4392445 
    7300    1.5708579   0.24395731   0.86567687   -1.4888397 
    7400     1.574396   0.26713924   0.87896446   -1.4808553 
    7500    1.5569361   0.23795011   0.82977597   -1.5038735 
    7600    1.5026751   0.25610258   0.75141452   -1.5009047 
    7700    1.4753763   0.19778237   0.70871342   -1.5026883 
    7800    1.4704413   0.19295756   0.69814302   -1.5058618 
