run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.735 | 2.735 | 2.735 Mbytes
Step Temp Press TotEng PotEng 
       0            2 -8.5924327e-05     1.997072   -1.0006741 
     100    2.2068349   0.64307217    1.9609082   -1.3468571 
     200    2.1792179   0.55667561    1.8062134   -1.4601576 
     300    2.0990897   0.53770078     1.696853   -1.4494159 
     400    2.0572498   0.44725049    1.5914895   -1.4920668 
     500    2.0186153    0.4385126    1.4965041    -1.529144 
     600    1.9811504   0.44365687    1.4220614   -1.5474314 
     700    1.9153687   0.47586297    1.3774497   -1.4934447 
     800    1.9259306   0.45388123    1.3778998   -1.5088256 
     900    1.9509241   0.48107939    1.4304286   -1.4937589 
    1000    1.9947079    0.5221069    1.5048574   -1.4849564 
    1100    2.0439695   0.46107152    1.5552881   -1.5083627 
    1200      2.03899   0.46290369    1.5697891   -1.4863979 
    1300    2.0329147   0.47567138    1.5530478   -1.4940332 
    1400    2.0392312   0.47634694     1.499103   -1.5574457 
    1500    1.9590951   0.46893385    1.4253109   -1.5111239 
    1600    1.9358089   0.46417566    1.3852537   -1.5162781 
    1700     1.958769   0.37598444    1.3954397   -1.5405063 
    1800    1.9696563    0.4509138    1.4453583   -1.5069065 
    1900    2.0217944   0.46654138    1.5000377   -1.5303754 
    2000    2.0241673   0.51058774    1.5193228   -1.5146469 
    2100    2.0155942   0.46976858    1.5136979   -1.5074219 
    2200    2.0053511   0.47059821    1.5001031   -1.5056636 
    2300    1.9833161   0.45592503    1.4902533   -1.4824856 
    2400    1.9679361   0.49547578    1.4927008   -1.4569856 
    2500    2.0136711   0.46947204     1.505887   -1.5123504 
    2600    2.0232681   0.45769127    1.5254134   -1.5072086 
    2700    2.0192903   0.49195296    1.5504514   -1.4762083 
    2800    2.0474871   0.46401094    1.5773184   -1.4916048 
    2900    2.0645629   0.51384649    1.5858154   -1.5087022 
    3000    2.0186451   0.45432793    1.5491432   -1.4765495 
    3100    1.9887047    0.4359808    1.4868339   -1.4939819 
    3200    1.9673852   0.45483031    1.4347513   -1.5141092 
    3300     1.954277   0.43192281    1.4093415   -1.5198716 
    3400    1.9685635   0.39902322    1.4118921   -1.5387347 
    3500    2.0057959   0.41696026    1.4548364    -1.551597 
    3600     2.036779   0.44349177    1.5441269   -1.5087462 
    3700    2.0658014   0.50252023    1.6145071   -1.4818669 
    3800     2.075327   0.45808578    1.6192625   -1.4913892 
    3900    2.0410894   0.49638356     1.578901   -1.4804328 
    4000    2.0179745    0.5389386    1.5313954   -1.4932921 
    4100    2.0206235   0.49602003    1.4975996   -1.5310583 
    4200    2.0136479   0.42384657    1.4716607   -1.5465419 
    4300    1.9944848   0.46505457    1.4482574   -1.5412221 
    4400    1.9691069   0.45456466    1.4325355   -1.5189056 
    4500    1.9685536   0.45028581    1.4373173   -1.5132946 
    4600    2.0009837   0.45281279    1.4742936   -1.5249269 
    4700    2.0494816    0.4652215    1.5525293   -1.5193833 
    4800     2.089884   0.44592533    1.6264736   -1.5059971 
    4900    2.0997472   0.50213723    1.6359433   -1.5113112 
    5000    2.0203208   0.48126343    1.5687565   -1.4594479 
    5100     1.984633   0.49252024    1.4774279    -1.497285 
    5200    1.9701896   0.53830041     1.439359    -1.513705 
    5300    1.9625264   0.47315257     1.435014   -1.5065639 
    5400    1.9631204   0.44898743     1.450414   -1.4920542 
    5500    2.0236245   0.45807165    1.4841887   -1.5489674 
    5600    2.0153137    0.4938009    1.5151775   -1.5055219 
    5700    2.0460801   0.46249821     1.530772   -1.5360423 
    5800    2.0115158   0.47716152    1.5283294   -1.4866774 
    5900    1.9936292   0.43122731     1.501509    -1.486688 
    6000    1.9774373   0.47208318    1.4471569   -1.5167705 
