run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
       0            3 -0.074628134   0.18412307    -4.312496 
     100    2.3725707    2.6105397   0.33931567   -3.2168665 
     200    2.4960224    2.4265043   0.54562855   -3.1955921 
     300     2.564778     2.814849   0.80087124   -3.0434054 
     400    2.7312753    2.9500429    1.0657579   -3.0280769 
     500    2.8750077    3.1729852    1.3229308   -2.9863406 
     600    3.0199788    3.3255184    1.5461322   -2.9804326 
     700    3.0659438    3.7841369      1.71819   -2.8772705 
     800    3.1839245     3.494309    1.8161909   -2.9561077 
     900    3.1308044    3.7241125    1.8063727   -2.8863055 
    1000    3.0817951    3.4624121    1.6901562   -2.9290634 
    1100    2.9393532    3.6294646    1.5456349   -2.8600824 
    1200    2.9620468    3.2189462    1.4386901    -3.001042 
    1300    2.9121858    3.2578344    1.3802133   -2.9847834 
    1400    2.8950781    3.3614768    1.4008055    -2.938549 
    1500    2.9628434    3.3712034    1.4897946   -2.9511314 
    1600    2.9963369    3.5308937    1.6113355    -2.879793 
    1700    3.1205757    3.4209848    1.7135822   -2.9637645 
    1800    3.0768964    3.7277628    1.7516519   -2.8602252 
    1900    3.0825267    3.6866727    1.7319812   -2.8883349 
    2000    3.0051717    3.7347204    1.6641694   -2.8402014 
    2100    3.0068935    3.5131182    1.5799397   -2.9270119 
    2200    2.9810798    3.4077192    1.5134939   -2.9547663 
    2300    2.9521306    3.3912383    1.4735103   -2.9513586 
    2400     2.930581    3.5002276    1.4765621   -2.9160067 
    2500    2.9742264    3.4364586    1.5216845   -2.9363033 
    2600    3.0168984    3.4734469    1.5960613   -2.9258863 
    2700    3.0483732    3.6522346     1.664109   -2.9050154 
    2800    3.0812911    3.6013409     1.698065   -2.9203991 
    2900    3.0477082    3.7043249    1.6761821   -2.8919455 
    3000    3.0182271     3.494428    1.6054904   -2.9184488 
    3100    2.9332517    3.4781856    1.4969095   -2.8996624 
    3200    2.9406189    3.2265006    1.4109577   -2.9966566 
    3300    2.9316039    3.2633417    1.3869562   -3.0071458 
    3400     2.916015    3.4426382    1.4423987   -2.9283376 
    3500    3.0372016      3.47736    1.6146152   -2.9377644 
    3600    3.0738619    3.6747489    1.7250498   -2.8822788 
    3700    3.0171614    3.9505111    1.7216816   -2.8006602 
    3800     3.017058    3.7276783    1.6737337   -2.8484531 
    3900    3.0428263    3.4404947    1.5950882   -2.9657221 
    4000    2.9592992     3.527774    1.5222539   -2.9133598 
    4100    2.9434603    3.4954857    1.4886042   -2.9232691 
    4200    2.9502933    3.4540526    1.4900682   -2.9320469 
    4300    3.0036932    3.3488996    1.5332406   -2.9689141 
    4400    3.0133834    3.6023038    1.6287045   -2.8879746 
    4500     3.070064    3.7229454    1.7588761   -2.8427601 
    4600    3.1525551    3.5467327    1.8173487   -2.9079311 
    4700    3.1069431    3.6390527    1.7634742   -2.8934389 
    4800    3.0588907    3.4835108     1.639653   -2.9452359 
    4900    3.0018028    3.3230332     1.551947   -2.9473742 
    5000    2.9566672    3.5242206    1.5274309   -2.9042378 
    5100    2.9833456    3.3212728    1.5242677   -2.9473886 
    5200    2.9658275    3.5633776    1.5451522   -2.9002467 
    5300    2.9915318    3.5631332    1.5900053    -2.893921 
    5400    3.0491742    3.5148366    1.6420893   -2.9282357 
    5500    3.0636877    3.6389974      1.68674   -2.9053389 
