run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 10 10 10
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.732 | 2.732 | 2.732 Mbytes
Step Temp Press TotEng PotEng 
       0            3 -0.073397315     2.733411   -1.7632081 
     100    3.0255147    1.2655434    2.7524615   -1.7824009 
     200    3.0098809    1.3279449    2.7886149   -1.7228144 
     300    3.0324146    1.3990454    2.8241393   -1.7210652 
     400     3.076471     1.228023    2.8569076   -1.7543317 
     500    3.1029907    1.2581426    2.8652667   -1.7857224 
     600    3.0293444    1.3238686    2.8044912   -1.7361114 
     700    2.9809926    1.2417809    2.6927095   -1.7754198 
     800    2.8892972    1.3296951    2.6067318   -1.7239578 
     900    2.8896067    1.2114282     2.590909   -1.7402446 
    1000    2.9289862    1.2950222    2.6410506   -1.7491277 
    1100    2.9669719    1.3428314    2.7352364   -1.7118777 
    1200    3.0326713    1.2689848    2.8222321   -1.7233571 
    1300    3.0832535    1.3621611    2.8628232   -1.7585824 
    1400    3.0513136    1.3563055    2.8381906   -1.7353411 
    1500    3.0358242     1.211056    2.7717867   -1.7785283 
    1600    2.9967027    1.2814036    2.7225947   -1.7690821 
    1700    2.9910342    1.2489478    2.7080623   -1.7751182 
    1800    3.0343376    1.0957701    2.7059754   -1.8421113 
    1900    3.0059746    1.2189042    2.7062915   -1.7992828 
    2000    2.9543259    1.2767982    2.7130164    -1.715143 
    2100    3.0119275    1.1866683    2.7382431   -1.7762537 
    2200    3.0643737    1.1949445    2.7831032   -1.8100039 
    2300    3.1034084    1.2211114    2.8226781    -1.828937 
    2400    3.0606517    1.2429217     2.826688   -1.7608403 
    2500    3.0358238    1.2810578    2.7791492   -1.7711652 
    2600    2.9859468    1.1473179     2.681442   -1.7941131 
    2700    2.9424235    1.1256284    2.5959236   -1.8143957 
    2800    2.9185001    1.1455826    2.5731563   -1.8013048 
    2900     2.925658    1.2492025    2.6188101   -1.7663799 
    3000    3.0324493    1.2417028     2.741237   -1.8040195 
    3100    3.0613207    1.3385374    2.8531096   -1.7354214 
    3200    3.1058738    1.2689218    2.8783452   -1.7769653 
    3300    3.0925548    1.2518431    2.8449347   -1.7904123 
    3400    2.9999079     1.376784    2.7817265   -1.7147545 
    3500    2.9874627    1.3171255    2.7277797   -1.7500475 
    3600    2.9661514    1.2458598    2.6906279   -1.7552563 
    3700    2.9905629    1.0986584    2.6728617   -1.8096125 
    3800     2.941182    1.2276037     2.685963   -1.7224954 
    3900     3.010882    1.2716566    2.7433636   -1.7695663 
    4000    3.0830403    1.2852803    2.8469873   -1.7740986 
    4100    3.1516714    1.3960844    2.9846718   -1.7392835 
    4200    3.1894537    1.3277109    3.0502641   -1.7303221 
    4300    3.1389468    1.3011412    2.9595208   -1.7453619 
    4400     2.987773    1.2652116    2.7572723   -1.7210201 
    4500    2.9263343    1.3253188    2.6844202   -1.7017833 
    4600    2.9726852    1.2017097    2.6838467    -1.771831 
    4700    2.9872108    1.2808343    2.7211728   -1.7562769 
    4800     3.017371    1.2721444     2.779995    -1.742661 
    4900    3.0037093     1.402252    2.8203777   -1.6818012 
    5000    3.0548172    1.2921368    2.8271103   -1.7516728 
    5100    3.0051581    1.3190034    2.7882772   -1.7160732 
    5200    2.9608565    1.2917765     2.702412   -1.7355358 
    5300    2.9483879    1.1326037    2.6075728   -1.8116862 
    5400    2.8881997     1.112169    2.5566214   -1.7724233 
    5500    2.9389636    1.1670661      2.58843   -1.8167033 
    5600    2.9940868    1.2164182    2.7231718   -1.7645842 
    5700    3.0947576    1.1686361    2.8674751   -1.7711737 
    5800     3.112155    1.3255827    2.9041614   -1.7605638 
    5900    3.0600345    1.3428995    2.8645478   -1.7220554 
    6000    3.0092473    1.2777537    2.7900313   -1.7204483 
    6100    3.0013925    1.2917977    2.7198617   -1.7788445 
    6200    2.9776534    1.2337694    2.6722617   -1.7908627 
    6300    2.9660165    1.1706728     2.645797   -1.7998851 
    6400    2.8843027    1.3430241    2.6482329   -1.6749706 
    6500    2.9684392    1.2882717     2.708711   -1.7406025 
    6600    3.0706169    1.3070642    2.8569725   -1.7454922 
    6700    3.1423322    1.3124257    2.9801453   -1.7298117 
    6800    3.1372469    1.3783168    2.9764861   -1.7258486 
    6900    3.0884963    1.3068561    2.8853571   -1.7439068 
    7000     3.030499    1.2701548    2.7914905   -1.7508427 
    7100    3.0142004    1.2604723    2.7344623   -1.7834415 
    7200    2.9887216    1.1977937    2.6993357   -1.7803785 
    7300    2.9790116    1.2602414    2.6830458   -1.7821144 
    7400    2.9714265    1.2850218    2.6827306   -1.7710605 
    7500     2.981739    1.2361878    2.6976675   -1.7715806 
    7600    3.0200418    1.2491105     2.736973   -1.7896861 
    7700    3.0056611    1.4012263    2.8022641   -1.7028402 
    7800    3.1149145    1.2233161     2.870105   -1.7987564 
    7900     3.089582    1.3804308    2.8928643   -1.7380268 
    8000    3.0475678    1.2840996    2.8316506   -1.7362667 
    8100    2.9997783    1.1828991    2.7090802   -1.7872066 
    8200    2.9584402    1.1214649    2.6062223   -1.8281039 
    8300    2.8847778    1.2477716    2.5709792   -1.7529365 
    8400    2.9225587    1.1741802    2.5945567   -1.7859877 
    8500    2.9141838     1.308047    2.6698705   -1.6981209 
    8600    3.0278051    1.1735828    2.7518981   -1.7863973 
    8700    3.0530025    1.2022045    2.7915786   -1.7844845 
    8800    3.0334294     1.260094    2.7910059   -1.7557196 
    8900    3.0460595    1.1806589    2.7740776   -1.7915788 
    9000    2.9634234    1.3573751     2.751444   -1.6903514 
    9100    3.0025311    1.2261341    2.7297507   -1.7706623 
    9200    2.9889047    1.2486013    2.7031908   -1.7767978 
    9300    2.9793311    1.2153917    2.6645669   -1.8010721 
    9400    2.9390218    1.2015372     2.605128   -1.8000926 
    9500    2.8886256    1.1821497    2.5488731   -1.7808099 
    9600    2.8893302    1.1826936     2.554793   -1.7759461 
    9700    2.9692518    1.1030396    2.6484931   -1.8020384 
    9800    3.0432898     1.230991    2.7717372   -1.7897678 
    9900    3.0644448    1.2803984    2.8465873   -1.7466263 
   10000    3.0820775    1.2940455    2.8624582   -1.7571846 
   10100    3.0442479    1.3060333    2.8223412   -1.7405999 
   10200    3.0474759     1.162301    2.7399104   -1.8278691 
   10300    2.9574599     1.220437    2.6476785   -1.7851784 
   10400     2.914712     1.235489    2.6057624   -1.7630208 
   10500    2.9174893    1.2785805     2.626645    -1.746301 
   10600    3.0070153    1.1345726    2.6869224   -1.8202117 
   10700    3.0317222    1.1628379    2.7416045   -1.8025621 
   10800    3.0383258    1.1881468    2.7531008   -1.8009638 
   10900    2.9551454    1.4150904    2.7468324   -1.6825554 
   11000    3.0085483    1.1935613    2.7397234   -1.7697084 
   11100    3.0035123    1.2234436    2.7253355   -1.7765481 
   11200    2.9759195    1.2683632    2.7051707   -1.7553549 
   11300    2.9995162    1.1926603    2.6977642   -1.7981298 
   11400    2.9870391    1.1487499    2.7131955   -1.7639969 
   11500    3.0154972    1.2555397    2.7680731   -1.7517743 
   11600    3.0766509    1.2264904    2.8409132   -1.7705959 
   11700     3.096124    1.2945424    2.8891914   -1.7515053 
   11800    3.0965848    1.2377659    2.8751795    -1.766208 
   11900    3.0156475    1.3237378     2.780698   -1.7393747 
   12000    2.9299987    1.2537264    2.6532182   -1.7384779 
   12100      2.93049    1.1637709    2.5925764   -1.7998561 
   12200    2.9214254     1.163665    2.6057698   -1.7730759 
   12300    2.9717207    1.2225345    2.6706154   -1.7836166 
   12400    2.9719419    1.3973373    2.7451979   -1.7093656 
   12500    3.0254243    1.2655268    2.7895296   -1.7451973 
   12600    3.0056309    1.3287786    2.7902797   -1.7147794 
   12700     2.992251    1.3714352    2.7759617   -1.7090425 
   12800    2.9644104    1.3467583    2.7541972   -1.6890776 
   12900    3.0108871    1.2448301    2.7323459   -1.7805916 
   13000    2.9664892    1.3457846    2.7173268   -1.7290639 
   13100    2.9799548       1.2174     2.701763   -1.7648109 
   13200    2.9739995    1.2482707    2.6919671   -1.7656805 
   13300    3.0165884    1.1426693      2.70273   -1.8187529 
   13400    3.0142312    1.2405326    2.7424746   -1.7754751 
   13500    3.0613739    1.2572197    2.8008292   -1.7877815 
   13600    3.1208024    1.1763505     2.829736   -1.8479506 
   13700    3.0195214    1.2986387    2.8015554   -1.7243238 
   13800    3.0079198    1.2646092    2.7270228   -1.7814671 
   13900    2.9375507    1.1918539    2.6380511   -1.7649644 
   14000    2.8548252    1.3146444    2.5877872   -1.6912334 
   14100    2.9186638    1.1529312    2.5989595   -1.7757469 
   14200    2.9734737    1.2715047     2.696903   -1.7599565 
   14300    3.0701919    1.3132408    2.8425507   -1.7592771 
   14400    3.1008104    1.2783509     2.903184   -1.7445372 
   14500    3.0533914    1.3472052    2.8807158   -1.6959301 
   14600    3.0343056     1.321276    2.8271273   -1.7209115 
   14700    3.0239798      1.29273    2.7728085   -1.7597532 
   14800    2.9589947    1.3682421    2.7212044   -1.7139529 
   14900    2.9738715    1.2215214    2.6888365   -1.7686193 
   15000    2.9381415     1.291866    2.6803069   -1.7235941 
   15100    2.9630379    1.2573269    2.6917305   -1.7494872 
   15200    3.0080113    1.2632115    2.7442294   -1.7643976 
   15300    3.0702666    1.3544308    2.8724062   -1.7295336 
   15400    3.1857437    1.2898911    2.9771239   -1.7979013 
   15500    3.1905051    1.2421783    2.9647358   -1.8174262 
   15600    3.0792798    1.2201115    2.8392165   -1.7762329 
   15700    2.9762195    1.2624584     2.720148   -1.7408271 
   15800     2.949047     1.275026    2.6754611   -1.7447859 
   15900    3.0011542    1.1182412    2.6738569   -1.8244922 
   16000    2.9509482    1.3113025    2.6963354   -1.7267613 
   16100    2.9780348    1.3533454    2.7361496   -1.7275465 
   16200     3.028474     1.316954    2.7866536   -1.7526444 
   16300    3.0753394    1.2403292    2.8427235   -1.7668197 
   16400    3.0952245    1.2882449    2.8944562   -1.7448923 
   16500     3.129969    1.2316748    2.9000712   -1.7913549 
   16600    3.0148144    1.3412271    2.7957758   -1.7230482 
   16700     2.988513    1.1438949    2.6561551   -1.8232464 
   16800      2.88334    1.2434056    2.5854861   -1.7362745 
   16900    2.9241691    1.1992016    2.5868984   -1.7960597 
   17000    2.9607044    1.1888707    2.6485967   -1.7891233 
   17100    3.0204571    1.2479295    2.7399555   -1.7873262 
   17200    3.1000979    1.1537409    2.8151479   -1.8315052 
   17300    3.0315401    1.3485415    2.8349394   -1.7089544 
   17400    3.0522863    1.2778164    2.8106822   -1.7643074 
   17500    3.0320478    1.2196736    2.7646869   -1.7799678 
   17600    2.9804486    1.2481092    2.7265108   -1.7408033 
   17700    3.0101275    1.2273601    2.7111894   -1.8006095 
   17800    3.0135817    1.2044158    2.7067636   -1.8102128 
   17900    2.9652439    1.3302415    2.7037162   -1.7408079 
   18000    3.0205142    1.2003447    2.7118341   -1.8155331 
   18100    3.0213764    1.1951931    2.7228382   -1.8058214 
   18200    3.0170372    1.3134505    2.7352193   -1.7869364 
   18300    3.0288545    1.2529491    2.7360657   -1.8038026 
   18400    3.0205598    1.2457481    2.7298726   -1.7975631 
   18500    2.9764245    1.2367376    2.7150235   -1.7462589 
   18600    2.9819351    1.2185824    2.7002664   -1.7692756 
   18700    2.9761499    1.2167199    2.6956606   -1.7652102 
   18800    2.9650397    1.2948307    2.7153761   -1.7288419 
   18900    2.9917326    1.3770127    2.7597054   -1.7245219 
   19000    3.0446267    1.2882473    2.8118686   -1.7516402 
   19100    3.0398218    1.3078642     2.841368   -1.7149389 
   19200    3.0664008    1.1910001    2.8273689   -1.7687765 
   19300    2.9672309    1.3820454    2.7506024      -1.6969 
   19400    2.9539257    1.1305913    2.6438303   -1.7837293 
   19500    2.9163019    1.1397083    2.5710795   -1.8000867 
   19600    2.8970677    1.1352307    2.5693164   -1.7730201 
   19700    2.9476249    1.2549258    2.6499228   -1.7681926 
   19800    3.0215392    1.2919019    2.7899853   -1.7389184 
   19900    3.0700145     1.276111    2.8735583   -1.7280037 
   20000    3.0944935    1.2604052    2.8709823   -1.7672705 
   20100    3.0465267    1.3043196    2.8284026   -1.7379541 
   20200    3.0318707     1.260657    2.7679233    -1.776466 
