run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 16 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.755 | 2.755 | 2.755 Mbytes
Step Temp Press TotEng PotEng 
       0          3.5   0.28592604    5.1703708 -0.075684814 
     100    3.6367455    0.3574055    5.1544778  -0.29654196 
     200    3.6157317    0.3345468    5.0280055  -0.39151727 
     300    3.5200079   0.30941592    4.8482317  -0.42781324 
     400    3.4543594   0.31551412    4.7765929  -0.40105323 
     500    3.4680534   0.30579626    4.7619104  -0.43626126 
     600    3.4930309   0.30330938    4.7728367  -0.46277303 
     700    3.4986953   0.31193835    4.7996764  -0.44442365 
     800    3.5259837   0.30803995    4.8390162  -0.44598564 
     900    3.5311656   0.31627216    4.8867913   -0.4059777 
    1000    3.5669311   0.32246064    4.9260936  -0.42028322 
    1100    3.5910918   0.31061619    4.9265803  -0.45601031 
    1200    3.5273076    0.3080839     4.847346  -0.43964024 
    1300    3.4409201   0.31236078    4.7113119  -0.44619042 
    1400    3.3879629   0.29548021    4.6239174  -0.45420872 
    1500    3.3614592   0.32023842    4.6238959  -0.41450461 
    1600    3.4483214   0.29558137    4.7120555  -0.45654043 
    1700    3.5440125   0.30433778    4.8483668  -0.46365795 
    1800    3.5505405    0.3357946    4.9252568  -0.39655257 
    1900     3.569454   0.32072635     4.928156  -0.42200241 
    2000    3.5568533   0.30505396    4.8913085  -0.43996289 
    2100    3.5321549   0.31829726    4.8376426   -0.4566092 
    2200    3.4851392   0.30840032    4.7810046  -0.44277648 
    2300    3.4532946   0.30923969    4.7471395  -0.42891062 
    2400    3.4632619   0.30694146    4.7516224  -0.43936749 
    2500    3.4969705   0.28624375    4.7963887  -0.44512608 
    2600    3.5706626   0.30692182    4.9100306  -0.44193928 
    2700    3.6827146    0.3329832    5.0877585  -0.43216306 
    2800     3.723353   0.32862369    5.1621307  -0.41870269 
    2900    3.6645852   0.32470498    5.0623348  -0.43041313 
    3000    3.5403273   0.31235772    4.8759743  -0.43052687 
    3100    3.5130988   0.29748109    4.7986542   -0.4670349 
    3200    3.4970002   0.28680648    4.7722415  -0.46931771 
    3300    3.4752571   0.29479077    4.7645162   -0.4444529 
    3400    3.4803667   0.30858613    4.7787028  -0.43792496 
    3500    3.5280356   0.30311329    4.8132155  -0.47486197 
    3600    3.5043767   0.32300911    4.8540271  -0.39858859 
    3700    3.5397168   0.32241506    4.8906347  -0.41495138 
    3800    3.5553345   0.33533482    4.9022697   -0.4267253 
    3900    3.5301213   0.31844133    4.8584072  -0.43279633 
    4000     3.474492   0.29257545    4.7492395  -0.45858292 
    4100     3.392354   0.29560608    4.6444194  -0.44028847 
    4200    3.3805786   0.29371028    4.6145367  -0.45252137 
    4300    3.4035218   0.30040343     4.679693  -0.42175406 
    4400    3.5095004   0.31572552    4.8393268  -0.42096864 
    4500    3.5855681   0.31697836    4.9505504   -0.4237608 
    4600    3.6183785   0.30195496    4.9539735  -0.46951648 
    4700    3.5508747    0.3224351    4.9011352  -0.42117511 
    4800      3.49317   0.32921075    4.8310898  -0.40472851 
    4900    3.4843138    0.3040163    4.7704627  -0.45208121 
    5000    3.4375773   0.30403815     4.737637  -0.41485487 
    5100     3.457658   0.30102506    4.7447993  -0.43779107 
    5200    3.4657041   0.32180294    4.8000793   -0.3945711 
    5300    3.5850781   0.32123412    4.9405949  -0.43298189 
    5400    3.6956233   0.32568855    5.1022377  -0.43703241 
    5500    3.7104926   0.32394916     5.124296  -0.43726131 
    5600    3.6377157   0.31411653    4.9868875  -0.46558634 
    5700    3.5212532   0.32882898    4.8307498  -0.44716163 
    5800    3.4838192   0.31484072    4.7725415  -0.44926108 
    5900    3.4839475   0.28980025    4.7510373   -0.4709577 
    6000      3.45973   0.30382824    4.7585791   -0.4271169 
    6100    3.5096681   0.30595993     4.797398  -0.46314889 
    6200    3.5154546   0.32171077    4.8511251  -0.41809503 
    6300    3.5690418   0.31213862    4.8940409  -0.45549956 
    6400    3.5559677   0.32914663    4.8924339  -0.43751016 
    6500    3.5288839   0.30773426    4.8246944  -0.46465449 
    6600    3.4540651   0.29027774    4.6974148  -0.47979015 
    6700    3.3599999   0.30020444    4.5963233  -0.43988995 
    6800    3.3781207    0.2853371    4.5908092  -0.47256484 
    6900    3.4166442     0.310043    4.6931092  -0.42800668 
    7000    3.5470977   0.30773245    4.8507867  -0.46586242 
    7100    3.5774098   0.32035954    4.9155278  -0.44655525 
    7200    3.5785043   0.31329339     4.904182  -0.45954152 
    7300    3.5333178   0.30884057    4.8555187  -0.44047596 
    7400    3.5024647    0.3065004    4.7971904  -0.45255951 
    7500    3.4629989   0.30328242    4.7492056  -0.44139002 
    7600    3.4221503   0.32217502    4.7249298  -0.40443905 
    7700    3.4650066   0.30049399    4.7412704  -0.45233452 
    7800     3.522484    0.3038988    4.8302891  -0.44946713 
    7900    3.6210016   0.31272802    4.9862644  -0.44115727 
    8000    3.6738583    0.3265984    5.0736344  -0.43301274 
    8100    3.6366099   0.31784816    5.0291105  -0.42170601 
    8200    3.5466132   0.31555473    4.8833244  -0.43259844 
    8300    3.4806806   0.30577222    4.7664724  -0.45062588 
    8400    3.4377885    0.3148271     4.735465   -0.4173434 
    8500    3.4604133   0.30236038    4.7485311  -0.43818903 
    8600    3.4603253   0.32180587    4.7894529  -0.39713536 
    8700    3.5202658   0.30846141     4.849894  -0.42653752 
    8800    3.5596623   0.32020433    4.9109268    -0.424555 
    8900    3.5809352   0.31599279    4.9469031  -0.42046403 
    9000    3.5566042    0.3175175    4.9308904  -0.40000776 
    9100    3.5087605   0.29975928    4.8104062  -0.44878021 
    9200    3.3857778   0.30296863    4.6458599  -0.42899115 
    9300    3.3664021   0.29055882    4.5858456  -0.45996375 
    9400    3.3915413   0.29501294    4.6283827   -0.4551071 
    9500    3.4711903   0.30181235    4.7415326  -0.46134086 
    9600    3.5544919   0.29877157    4.8524624  -0.47526953 
    9700    3.5521199   0.31927828    4.8991561  -0.42502055 
    9800     3.562204   0.31194013    4.8942395  -0.44505191 
    9900    3.5288891    0.3175215     4.858033  -0.43132361 
   10000    3.5141327   0.31170366    4.8069955  -0.46024324 
