run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 16 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.755 | 2.755 | 2.755 Mbytes
Step Temp Press TotEng PotEng 
       0            4   0.32903058    5.9198073 -0.075684814 
     100    4.1324958   0.39772405     5.904204  -0.28988255 
     200    4.1225172   0.37396929    5.7769856  -0.40214431 
     300    3.9872419   0.35340754    5.5740327  -0.40233656 
     400    3.9159481   0.36925521    5.4897576  -0.37975132 
     500    3.9359522   0.35690734    5.4841369  -0.41535568 
     600    3.9378572   0.37017886    5.5218405  -0.38050753 
     700    4.0098144   0.36803101    5.5881077  -0.42209496 
     800     4.061607    0.3659421    5.6570194  -0.43081381 
     900    4.0871442   0.35816078    5.6924163  -0.43369387 
    1000    4.0814391   0.35714571    5.6765423  -0.44101665 
    1100     3.974312   0.36412741    5.5630343  -0.39395477 
    1200    3.8773675   0.34898299    5.3943718   -0.4173098 
    1300    3.8282657   0.34246528    5.3113433  -0.42674095 
    1400     3.843307    0.3463535    5.3529824  -0.40764677 
    1500    3.9463966   0.36696048     5.500591  -0.41455647 
    1600     4.045374   0.35299589    5.6352769  -0.42822513 
    1700    4.0698997   0.36422505     5.676925  -0.42333794 
    1800    4.0225259   0.38368235    5.6569067  -0.37234893 
    1900    4.0169779   0.36277734    5.6082027  -0.41273703 
    2000    3.9861697   0.36184498    5.5513414  -0.42342093 
    2100    3.9800528     0.352074    5.5014681  -0.46412565 
    2200    3.9333355   0.35368237     5.472137  -0.42343346 
    2300    3.9566546   0.35470093    5.4817382  -0.44878475 
    2400    4.0188457   0.35886204    5.5685209  -0.45521847 
    2500    4.1122301   0.36453251    5.7241087   -0.4396021 
    2600    4.1484904   0.38338829     5.816974  -0.40108631 
    2700    4.1378918   0.37248231    5.7901927  -0.41198168 
    2800    4.0362685   0.37553458    5.6484349  -0.40141909 
    2900    3.9608463   0.35328274    5.4935776  -0.44322811 
    3000    3.9115144   0.34943601    5.4324119  -0.43045149 
    3100    3.9179011   0.34943357    5.4480792  -0.42435709 
    3200    3.9456273   0.36924395    5.5109913  -0.40300312 
    3300    3.9966341   0.36063987    5.5928072  -0.39763987 
    3400    4.0327588   0.36295761    5.6556227  -0.38897061 
    3500      4.06733   0.36699321     5.678611  -0.41780024 
    3600    4.0487255   0.36920681    5.6566972  -0.41182834 
    3700    4.0150153   0.35030931    5.6113348  -0.40666326 
    3800    4.0146005   0.35250809    5.5772903  -0.44008612 
    3900    3.9658045   0.36656763    5.5631511  -0.38108626 
    4000    4.0129712   0.35773965    5.5639381  -0.45099615 
    4100    3.9729242   0.37363674    5.5632071  -0.39170182 
    4200    3.9888262    0.3601823     5.567928  -0.41081591 
    4300    4.0057525    0.3496419     5.578392  -0.42572242 
    4400    4.0191654   0.36319842    5.5947284  -0.42949018 
    4500    4.0338995    0.3649269    5.6155009  -0.43080225 
    4600    4.0390503   0.36556986    5.6256118  -0.42841172 
    4700    4.0114289   0.37041008    5.6113178  -0.40130483 
    4800    3.9886139   0.36399139    5.5677745  -0.41065131 
