run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 10 10 10
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.732 | 2.732 | 2.732 Mbytes
Step Temp Press TotEng PotEng 
       0            4 -0.0079782017    3.6641685   -2.3313236 
     100    3.7516918    2.2154826    3.7451968   -1.8781129 
     200    3.8438391    2.3210942    3.9528368   -1.8085899 
     300    3.9516496    2.3299957    4.0804086   -1.8426124 
     400    3.9964898    2.3126727    4.1704287    -1.819802 
     500     4.089225      2.14213    4.2428693   -1.8863597 
     600    4.0820238    2.3989544    4.2819839   -1.8364515 
     700    4.0720064    2.3873609    4.2696077    -1.833813 
     800    4.0353013    2.3616041    4.2071407   -1.8412636 
     900    3.9657292    2.2488083    4.0977825   -1.8463421 
    1000    3.9561972    2.1344983    3.9904496   -1.9393877 
    1100    3.8517897    2.2210824    3.9325524   -1.8407913 
    1200    3.8548134    2.1784421    3.9619221   -1.8159537 
    1300    3.9871748    2.2932826    4.1434733   -1.8327956 
    1400    4.1352376    2.3993047    4.3351058   -1.8630904 
    1500    4.1297581    2.3579786    4.3658645   -1.8241185 
    1600    4.0441057    2.4287525    4.3076307   -1.7539702 
    1700     4.024858    2.3643482     4.224748   -1.8080031 
    1800    3.9704741     2.422266     4.144395   -1.8068416 
    1900    3.9548732    2.2898073    4.0933779   -1.8344748 
    2000    3.9757215    2.2269835    4.0746064   -1.8844952 
    2100    3.9170357    2.4431453    4.0914334   -1.7797057 
    2200    4.0007427    2.3598121    4.1798183    -1.816787 
    2300    4.1053123    2.4984751    4.3744254   -1.7789165 
    2400    4.2337528    2.3283952     4.494839   -1.8510189 
    2500    4.1549221    2.4883756    4.4572377    -1.770463 
    2600     4.069421    2.4422768    4.3012216   -1.7983238 
    2700     4.004342    2.2599239    4.1452278   -1.8567724 
    2800     3.937403    2.3649388    4.0858303   -1.8158368 
    2900    3.9913735    2.1479759    4.0821946   -1.9003675 
    3000    3.9029212    2.4497991    4.1052285   -1.7447548 
    3100    3.9934835    2.3358488    4.1607861   -1.8249386 
    3200    4.0610625    2.2987688    4.2303795   -1.8566375 
    3300    4.0832648    2.3612852    4.3018177   -1.8184778 
    3400    4.1171529     2.408527    4.3417411   -1.8293482 
    3500    4.1118885    2.3478455     4.300891   -1.8623078 
    3600    3.9788416    2.3966081    4.1365853   -1.8271931 
    3700    3.9023816    2.1909482    3.9796761   -1.8694984 
    3800    3.8700427    2.1733565    3.9271316   -1.8735711 
    3900    3.8762625    2.2999912    3.9804563   -1.8295689 
    4000    4.0236389     2.191554      4.10746   -1.9234638 
    4100    4.0330383    2.3475244    4.2322384    -1.812774 
    4200    4.0916975    2.3510116    4.2900456   -1.8428895 
    4300    4.0852702    2.3122539    4.2778291   -1.8454722 
    4400    4.0715718    2.1930735     4.227723   -1.8750462 
    4500    4.0040091    2.3033563    4.1674783    -1.834023 
    4600    3.9707607    2.3441796    4.1272135   -1.8244526 
    4700    3.9394923    2.3967726      4.11291   -1.7918888 
    4800    3.9703741     2.238306     4.120592   -1.8304947 
    4900    3.9513406    2.4219388    4.1436312   -1.7789266 
    5000     4.028522    2.2348142    4.1641433   -1.8740996 
    5100    4.0142896    2.2991261    4.1737703   -1.8431401 
    5200    4.0108689    2.3089639    4.1712707   -1.8405125 
    5300    4.0144969    2.2968624    4.1668612     -1.85036 
    5400    3.9930088    2.3045278    4.1545491   -1.8304641 
    5500    3.9863842    2.2166756    4.1451406   -1.8299431 
    5600    3.9490511    2.4518133    4.1482765   -1.7708496 
    5700    4.0066684    2.3112862    4.1764536   -1.8290336 
    5800    4.0030696    2.4971202    4.2509328   -1.7491602 
    5900    4.0690277    2.5757726    4.3529605   -1.7459954 
    6000    4.1119575     2.546818    4.4088363   -1.7544659 
    6100    4.1196243    2.4373072     4.358757   -1.8160367 
    6200    4.0014274    2.4507288    4.1993151   -1.7983165 
    6300    3.9679779     2.094932    4.0499627   -1.8975324 
    6400    3.8729886     2.310699    3.9953687   -1.8097495 
    6500    3.9158092    2.2024098    4.0184914   -1.8508093 
    6600    3.9730083    2.2881992    4.0931255   -1.8619094 
    6700    4.0473376    2.2207068    4.1784607   -1.8879845 
    6800    4.0482395    2.3358188    4.2404162   -1.8273808 
    6900    4.0522305    2.4165267    4.2569849   -1.8167941 
    7000    4.0707506    2.2918686    4.2299082     -1.87163 
    7100    4.0475911     2.158501    4.1585885   -1.9082366 
    7200    3.8877705    2.3057032    3.9993511   -1.8279232 
    7300    3.7552178    2.0605309     3.727516   -1.9010787 
    7400    3.6849042    2.1907251    3.6806554   -1.8425481 
    7500    3.8089376    2.0643426    3.8145323   -1.8945816 
    7600    3.8799005    2.2699525    3.9796622    -1.835816 
    7700    3.9533274    2.3938365    4.1121801   -1.8133558 
    7800    4.0369739    2.3161334    4.2065879   -1.8443233 
    7900    4.0773369    2.3066099    4.2548207   -1.8565897 
    8000    4.0776149    2.2989135    4.2556274   -1.8561996 
    8100    4.0749616    2.1389063    4.1997857   -1.9080643 
    8200    3.9682861    2.2767861    4.1052585   -1.8426984 
    8300    3.9070506     2.278589    4.0149081   -1.8412647 
    8400    3.8917267    2.2133979    3.9750126   -1.8581916 
    8500    3.9179075    2.2765532    4.0328583   -1.8395876 
    8600    4.0127227    2.3631925    4.2262303   -1.7883315 
    8700    4.1355304    2.4505901    4.3731872   -1.8254479 
    8800    4.1473968     2.330465    4.3873761   -1.8290451 
    8900    4.0389417    2.5574727    4.3030761   -1.7507846 
    9000    4.0386469    2.3605642     4.194653    -1.858766 
    9100    3.9488342    2.3392764    4.1090322   -1.8097688 
    9200     3.963771    2.2550062    4.0728452   -1.8683442 
    9300    3.9517542    2.2166776    4.0760304   -1.8471474 
    9400    3.9578826     2.294071     4.101947   -1.8304164 
    9500    3.9884392    2.2805894     4.150106   -1.8280579 
    9600    4.0363239    2.4035231    4.2277738   -1.8221632 
    9700    4.0526519    2.4891389    4.3174837   -1.7569269 
    9800    4.1311703    2.5678637     4.444258   -1.7478417 
    9900    4.2765237    2.4873819    4.5574285   -1.8525376 
   10000    4.2025137    2.4136369    4.5019298   -1.7971045 
   10100    4.0729976    2.3441743    4.2713196   -1.8335867 
   10200    3.9941663    2.2291958    4.1104175   -1.8763306 
   10300    3.9305003    2.3084097    4.0444098   -1.8469111 
   10400    3.9595064    2.2206401    4.0492288   -1.8855685 
   10500      3.92149    2.3632633      4.10292   -1.7748955 
   10600    4.0713674    2.1951135    4.1970191   -1.9054436 
   10700    4.0569362    2.3932276    4.2974324   -1.7833998 
   10800    4.1344676     2.367875    4.3538441   -1.8431979 
   10900     4.118474    2.3996203    4.3505339   -1.8225358 
   11000    4.0327887    2.3892974    4.2277245   -1.8169138 
   11100    3.8936406    2.2445828    4.0018252   -1.8342477 
   11200    3.8445273    2.2203018    3.9074402   -1.8550181 
   11300    3.8879745     2.140729    3.9376086   -1.8899715 
   11400    3.9488601    2.1532436    4.0313951   -1.8874448 
   11500    3.9920169    2.2338537    4.1404918   -1.8430346 
   11600    4.0847092    2.2389707    4.2136057   -1.9088547 
   11700    4.0030075    2.4959085    4.2324147   -1.7675854 
   11800    4.0389048    2.3158444    4.2125203   -1.8412851 
   11900    4.0006456    2.3014824    4.1691262   -1.8273336 
   12000    4.0346188    2.1587135    4.1152723    -1.932109 
   12100    3.9432029    2.1978658    4.0342347   -1.8761258 
   12200    3.8700507    2.0571197    3.8931683   -1.9075463 
   12300    3.7601627    2.0958374    3.7515162   -1.8844902 
   12400    3.7726321    2.1544621    3.7453253   -1.9093713 
   12500    3.8261263    2.2975122    3.9207705   -1.8141071 
   12600     3.997251     2.293195    4.1080359   -1.8833359 
   12700    4.0275878    2.3219099    4.1945244   -1.8423183 
   12800    4.0605125    2.3307715    4.2395805   -1.8466123 
   12900    4.0644124    2.2539255    4.2533455   -1.8386927 
   13000    4.0753262    2.3179626    4.2202724   -1.8881242 
   13100    4.0369085    2.2167881    4.1401295   -1.9106839 
   13200    3.8675973    2.4270554     4.040602   -1.7564352 
   13300    3.8990116    2.1789844     3.978355   -1.8657683 
   13400    3.8970925    2.2129288     3.991001   -1.8502458 
   13500    4.0021725    2.3040116    4.1089692   -1.8897792 
   13600    4.0856032    2.4037549    4.3047366   -1.8190639 
   13700    4.1622095    2.3965988    4.4032929   -1.8353307 
   13800    4.0998527    2.5155036    4.3768056   -1.7683531 
   13900    4.0937171    2.4096996    4.2735649   -1.8623973 
   14000    3.9698433    2.3728174    4.1518449   -1.7984462 
   14100     3.979516    2.2277674    4.0888919   -1.8758973 
   14200    3.9115469    2.3928401    4.0699897   -1.7929224 
   14300    3.9830899    2.1547977    4.0846357   -1.8855103 
   14400    4.0006402    2.2540624    4.1297404   -1.8667113 
   14500    3.9984993     2.385995    4.1892544   -1.8039883 
   14600    4.0809681    2.3486867    4.2530385   -1.8638145 
   14700    4.0890781    2.3736634    4.3069307   -1.8220783 
   14800    4.0993915    2.3973543    4.3377769   -1.8066904 
   14900    4.0486296    2.4500162    4.2975439   -1.7708379 
   15000    4.0279811     2.240413    4.1663579   -1.8710743 
   15100    3.9053632    2.2600789    4.0243033   -1.8293403 
   15200    3.8906509    2.1848347    3.9565803   -1.8750114 
   15300    3.8940186    2.2096293    3.9848087   -1.8518308 
   15400    3.9983494    2.1660016     4.098541   -1.8944771 
   15500    4.0312514     2.377906     4.238364     -1.80397 
   15600    4.1200368    2.3554812    4.3082475   -1.8671645 
   15700    4.0586828    2.4704815    4.3022477   -1.7812026 
   15800    4.0689824     2.341786    4.2452863   -1.8536016 
   15900    3.9744671    2.4203458    4.1613992   -1.7958223 
   16000    4.0059573    2.2389983    4.0910577   -1.9133636 
   16100     3.930817    2.3586319    4.0618253   -1.8299703 
   16200    3.9624742    2.2228655    4.0727942   -1.8664515 
   16300    3.9187093     2.447632    4.0982364   -1.7754113 
   16400    3.9938755     2.266812    4.1320914   -1.8542209 
   16500    3.9807378    2.4311807    4.1696167   -1.7970037 
   16600    4.0193776    2.2891319    4.2045014   -1.8200353 
   16700    4.0438667    2.2818005    4.2331076   -1.8281351 
   16800     4.051761    2.3540836    4.2444856   -1.8285897 
   16900    4.0211659    2.3251714    4.2235153   -1.8037019 
   17000    3.9746568    2.4013938    4.1460424   -1.8114635 
   17100     3.950957    2.1344548    4.0369424   -1.8850404 
   17200    3.8278331    2.2993083    3.9618487   -1.7755871 
   17300    3.8288888    2.2857654     3.969306   -1.7697121 
   17400    3.9669187    2.2039363    4.0903225    -1.855585 
   17500    4.0306518    2.5249344    4.2639151   -1.7775201 
   17600    4.0576812    2.4707813     4.339152   -1.7427969 
   17700    4.0368432    2.5866279     4.327572   -1.7231434 
   17800    4.0620342    2.3021011    4.2604179   -1.8280556 
   17900    4.0390792     2.226863    4.1663133   -1.8877535 
   18000    3.9380248    2.2834297    4.0990604   -1.8035388 
   18100    3.9464946    2.3586138    4.0782612   -1.8370332 
   18200    3.9510249     2.366045    4.0931232   -1.8289614 
   18300    3.9686443    2.2814661    4.1149063   -1.8335875 
   18400    3.9504303    2.3818362    4.1370034   -1.7841901 
   18500    3.9402652    2.4538998     4.165333   -1.7406242 
   18600    4.0492867    2.2181891    4.1921477   -1.8772189 
   18700    4.0324935    2.3299612    4.2050481   -1.8391476 
   18800    4.0748042    2.1670655    4.1928164   -1.9147977 
   18900    3.9669384    2.4563665    4.1646382   -1.7812988 
   19000    4.0097431    2.2147616    4.1432011   -1.8668946 
   19100     3.934512    2.4520528     4.133867   -1.7634669 
   19200    3.9917322     2.274484    4.1343606   -1.8487392 
   19300    4.0084087    2.2282991    4.1429909   -1.8651048 
   19400    3.9898013    2.2940369    4.1595904   -1.8206152 
   19500    3.9833216    2.4141594    4.1795059   -1.7909874 
   19600    4.0191693    2.3890719    4.1989165   -1.8253079 
   19700     4.006398     2.359662    4.2003271   -1.8047548 
   19800    4.0145714    2.3384064    4.1873358   -1.8299971 
   19900    4.0079981    2.2396645    4.1424694   -1.8650109 
   20000    3.9684636    2.2093035    4.0686105   -1.8796125 
   20100    3.9295565    2.1156778    4.0163005   -1.8736057 
   20200    3.9049723    2.3311155    4.0227175   -1.8303401 
   20300    3.9899018    2.2859287    4.1061305   -1.8742257 
   20400    4.0491796    2.2978051    4.2443372   -1.8248689 
   20500     4.142905    2.4218262    4.3543432   -1.8553453 
   20600    4.1086382    2.4594951    4.3683162   -1.7900108 
   20700    4.1023497    2.2394618     4.276856   -1.8720452 
   20800    3.9247404      2.46474    4.1060802   -1.7766074 
   20900    3.8638775    2.3497746    3.9988097   -1.7926521 
   21000    3.9199948     2.216253    3.9926725    -1.882902 
   21100    3.9534277    2.1827527    4.0355476   -1.8901386 
   21200    3.9540222    2.3373101    4.0920633   -1.8345139 
   21300     3.995586    2.2528764    4.1541122    -1.834764 
   21400    3.9966228    2.4205449    4.2093579   -1.7810722 
   21500    4.0478038    2.3687169    4.2537629    -1.813381 
   21600    4.0422089    2.4565149    4.2650594   -1.7936984 
   21700    4.0992799    2.1521467    4.2161834   -1.9281167 
   21800    3.9412649    2.2505861    4.0579901   -1.8494655 
   21900    3.8600752    2.2122378     3.893319   -1.8924436 
   22000    3.7984526    2.2425092    3.8468436   -1.8465546 
   22100    3.8540261    2.1995042    3.9295457   -1.8471501 
   22200    3.9472688    2.2907965    4.0817245   -1.8347302 
   22300     4.013501    2.2738839    4.1842024   -1.8315261 
   22400    4.0493506    2.3799995     4.219709   -1.8497534 
   22500    4.0318658    2.3396296    4.2160902   -1.8271647 
   22600    3.9796787     2.465798    4.1842053   -1.7808277 
   22700    3.9946339    2.2623253     4.141708    -1.845741 
   22800    3.9530239    2.2764123    4.0901742   -1.8349067 
   22900    3.9449154      2.19062     4.040962   -1.8719654 
   23000     3.930065    2.1956076    4.0174407   -1.8732277 
   23100    3.9362348    2.2839992    4.0650177   -1.8348984 
   23200    4.0187116    2.3542177    4.2088479   -1.8146906 
   23300    4.1898112    2.1466139    4.3443117   -1.9356834 
   23400    4.1760452    2.2561286    4.3783321   -1.8810294 
   23500    4.0948993    2.3846812    4.3063526   -1.8313815 
   23600    3.9616292    2.4170734    4.1699381    -1.768041 
   23700    3.9577625    2.2248111    4.0520829   -1.8801005 
   23800    3.9426898    2.1999317    4.0147878   -1.8948037 
   23900    3.9095613    2.2851118    4.0381127   -1.8218233 
   24000    3.9339023    2.3469778    4.0951033   -1.8013168 
   24100    3.9956668    2.3552145    4.1400354   -1.8489617 
