run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 9 9 9
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.73 | 2.73 | 2.73 Mbytes
Step Temp Press TotEng PotEng 
       0          4.5 -0.004916739      3.83277   -2.9121587 
     100    3.9872352    3.0793009    3.9772494     -1.99911 
     200    4.2393179     2.765458    4.2386652   -2.1155341 
     300    4.3265216    2.9055572    4.4403225    -2.044584 
     400    4.4299329    3.2433656    4.6580927   -1.9818143 
     500    4.4678935    3.5189207    4.8508032   -1.8460019 
     600    4.5186295    3.7139982    4.9775003   -1.7953515 
     700    4.6835136    3.2212271    5.0145226   -2.0054696 
     800    4.5253238    3.5485606    4.9548696   -1.8280162 
     900    4.4868926    3.3760297    4.8184362   -1.9068461 
    1000    4.4447077    3.1914649    4.6919787   -1.9700738 
    1100    4.4317722    3.0442571    4.6111293   -2.0315346 
    1200    4.3870655    3.2261745    4.6000757   -1.9755784 
    1300    4.4452057    3.2075879    4.6838297   -1.9789692 
    1400    4.5268096    3.3619903    4.8440226   -1.9410902 
    1500    4.6728127    3.0733604    4.9717417   -2.0322112 
    1600    4.6139049    3.3873274    5.0058672   -1.9097904 
    1700    4.5660044    3.4830635    4.9567166   -1.8871443 
    1800    4.5404819    3.3757085    4.8484751   -1.9571308 
    1900    4.4417187    3.3460563    4.7175714    -1.940001 
    2000    4.4027692    3.1562219    4.6232123   -1.9759797 
    2100    4.3709192    3.2895933    4.6085358   -1.9429172 
    2200    4.4305813    3.1454257    4.6760965   -1.9647823 
    2300    4.4738989    3.3029637    4.7677567   -1.9380497 
    2400    4.4509446    3.3942635    4.7986182   -1.8727826 
    2500    4.4916053     3.361277    4.8124968   -1.9198493 
    2600    4.5398458    3.1942347    4.8173165   -1.9873359 
    2700    4.5197268    3.2754492    4.8106279   -1.9638687 
    2800    4.5347162    3.2160128    4.8021632   -1.9948005 
    2900    4.4557249     3.431064     4.797383   -1.8811828 
    3000    4.5142959     3.258649    4.7939141   -1.9724423 
    3100    4.5305493    3.1784601    4.7888096   -2.0019086 
    3200    4.4705247    3.3737529    4.7827048    -1.918044 
    3300    4.4626389    3.4138989    4.7816792   -1.9072499 
    3400    4.5042148    3.3121141    4.7963265   -1.9549197 
    3500     4.537739     3.272335    4.8191836    -1.982311 
    3600    4.5051194    3.4171334    4.8373874   -1.9152146 
    3700    4.5414399    3.2540592    4.8459702   -1.9610716 
    3800    4.5108631    3.3021462    4.8329185   -1.9282925 
    3900    4.4157195    3.5967846    4.8058665   -1.8127363 
    4000    4.5186995    3.2032659    4.7697345   -2.0032223 
    4100    4.4281294    3.2722741    4.7251036   -1.9121001 
    4200    4.3780279    3.3790939    4.6988975   -1.8632105 
    4300    4.4630064    3.2576944    4.7222249    -1.967255 
    4400     4.554023    3.1781481    4.8143497   -2.0115526 
    4500    4.5937727    3.4178913    4.9472568   -1.9382252 
    4600    4.6800892    3.3421324    5.0394249   -1.9754346 
    4700    4.6508667    3.3935306    5.0251358   -1.9459229 
    4800    4.5333986     3.344412    4.8665978   -1.9283911 
    4900    4.4472418     3.043351    4.6556053   -2.0102456 
    5000    4.3655459    3.1437685    4.5639536   -1.9794454 
    5100    4.3414749    3.3284598    4.5879828   -1.9193369 
    5200    4.3716537    3.4124583    4.6774291   -1.8751248 
    5300    4.5227135     3.094154    4.7698684   -2.0091048 
    5400    4.5118095    3.3835411    4.8375047   -1.9251248 
    5500    4.5617652    3.2297158    4.8723605   -1.9651462 
    5600    4.5054681    3.4516134    4.8717781   -1.8813466 
    5700    4.5440673    3.2466946     4.842347   -1.9686329 
    5800    4.4441709    3.3787988    4.7563857   -1.9048622 
    5900    4.3843019    3.1637691    4.5712363   -2.0002756 
    6000     4.216721    3.2254843     4.405677   -1.9146524 
    6100     4.289615    2.9728828    4.4018926   -2.0276956 
    6200    4.3318509     3.249938    4.5673308   -1.9255636 
    6300    4.4710908    3.2844941    4.7582116   -1.9433858 
    6400    4.5505325    3.3125977    4.8464999   -1.9741705 
    6500    4.5780764     3.295982    4.8751241   -1.9868312 
    6600    4.5285091    3.3915334    4.8596626   -1.9279975 
    6700    4.5146891    3.2468568      4.80422   -1.9627258 
    6800    4.4708734    3.1712267    4.7229261   -1.9783454 
    6900    4.4302535    3.1648756     4.651002   -1.9893855 
    7000    4.4021305    3.1371512    4.6280816    -1.970153 
    7100    4.4517106    3.2009632    4.6965622   -1.9759868 
    7200    4.5403168    3.3132604    4.8806114    -1.924747 
    7300    4.6146565    3.5206523    5.0450109   -1.8717732 
    7400    4.6642953    3.4410952    5.0763153   -1.9148711 
    7500    4.5911678    3.4587111    4.9894811   -1.8920965 
    7600    4.5242328    3.3262799    4.8309539   -1.9502967 
    7700    4.4087618    3.3749494    4.7065105   -1.9016636 
    7800    4.4220323    3.2521314    4.6800717   -1.9479932 
    7900    4.4188419    3.3764233    4.7095526   -1.9137303 
    8000    4.5268854    3.1872297    4.7603555   -2.0248709 
    8100    4.5434273     3.216773    4.8018561   -2.0081645 
    8200    4.4491174    3.5598783    4.8328495   -1.8358125 
    8300    4.4831118    3.5215887    4.8590739   -1.8605415 
    8400    4.5653367    3.2452599    4.8693701     -1.97349 
    8500    4.5263583    3.2814263    4.8324694    -1.951967 
    8600    4.4109514    3.3538428    4.7415214   -1.8699346 
    8700     4.349706    3.3623328    4.6431465   -1.8765106 
    8800    4.3532485    3.2274514    4.5901087   -1.9348581 
    8900    4.4101825    3.1699007     4.619152   -1.9911515 
    9000     4.416098    3.3523752    4.7451409   -1.8740293 
    9100    4.5715088     3.336984     4.901252   -1.9508591 
    9200    4.5805339    3.5475793    4.9965018   -1.8691369 
    9300    4.5896613    3.5053186    5.0063273   -1.8729922 
    9400     4.531605     3.516867    4.9320614   -1.8602391 
    9500    4.5719954    2.9750992    4.7875418   -2.0652988 
    9600    4.3503842    3.4049149    4.6160184   -1.9046551 
    9700    4.3650991    3.0964819    4.5494459   -1.9932834 
    9800    4.3532127    3.2372477     4.581415   -1.9434981 
    9900    4.3778904    3.3515605    4.6467232   -1.9151787 
   10000    4.4059023    3.4252813    4.7166202    -1.887268 
   10100    4.4997026    3.3096901     4.806552   -1.9379309 
   10200    4.5319845    3.4955369     4.894411   -1.8984583 
   10300     4.587702     3.389431    4.9530594   -1.9233235 
   10400    4.5504755    3.4341675     4.940738    -1.879847 
   10500    4.5030567    3.3385846    4.8361415   -1.9133686 
   10600    4.4358402    3.1911381    4.6711242   -1.9776371 
   10700    4.4142683     2.949446    4.5362832   -2.0801445 
   10800    4.3245656    3.1473465    4.5106496   -1.9713251 
   10900    4.4409408    3.0337446    4.6260231   -2.0303832 
   11000     4.464078    3.6320405    4.8875362   -1.8035498 
   11100    4.6903072     3.202452    5.0169108   -2.0132641 
   11200    4.5649316    3.6212875    4.9950719   -1.8471809 
   11300    4.5749817    3.3742416    4.9077594   -1.9495572 
   11400    4.4912682    3.2720209    4.7817263   -1.9501145 
   11500    4.4074057    3.2649935    4.6800539   -1.9260875 
   11600    4.4064576    3.1884859    4.6402204   -1.9645001 
   11700    4.4178649    3.1992728    4.6654786   -1.9563399 
   11800    4.4051762    3.5916057    4.7693434   -1.8334564 
   11900    4.5964906    3.3228478    4.9539784   -1.9355774 
   12000    4.6735004    3.4800711    5.0895636   -1.9154201 
   12100    4.7177964    3.3185192    5.0752852   -1.9960925 
   12200    4.5415225    3.4781461    4.9486651   -1.8585005 
   12300    4.5350889    3.2859182    4.8301395    -1.967383 
   12400    4.4857016     3.281527    4.7841073   -1.9393899 
   12500    4.5326615    3.2080599    4.7707388   -2.0231452 
   12600    4.5505044    3.0441819    4.7772277   -2.0434006 
   12700    4.5633901    3.1063702    4.7964936   -2.0434488 
   12800    4.4370284    3.6227591     4.826682   -1.8238602 
   12900    4.6133951    3.2200331    4.8698537   -2.0450398 
   13000    4.6303679    3.1111158    4.9065335      -2.0338 
   13100    4.5727306    3.3050255    4.9045833   -1.9493593 
   13200    4.4803773    3.4715317    4.8506238   -1.8648929 
   13300    4.4260299    3.3514835    4.7472074   -1.8868495 
   13400    4.3706401    3.3734311    4.6438706    -1.907164 
   13500    4.3511121    3.3086916    4.5937148   -1.9280499 
   13600    4.3984296    3.2242249     4.625871   -1.9668165 
   13700    4.4803165    3.2811796    4.7700879   -1.9453378 
   13800    4.5777798    3.3984799    4.9544936   -1.9070171 
   13900    4.6364002     3.322225    5.0377133   -1.9116619 
   14000    4.6442941    3.3013805    5.0026376   -1.9585696 
   14100    4.5465804    3.3499903    4.9034701   -1.9112766 
   14200    4.5519859     3.225355    4.8054605   -2.0173883 
   14300    4.4569788    3.3741518    4.7533475   -1.9270978 
   14400    4.5427852    3.0491576    4.7432217   -2.0658365 
   14500     4.455786    3.3676899    4.7534265   -1.9252309 
   14600    4.5258018    3.1884119    4.7670349   -2.0165673 
   14700     4.404839    3.5454496    4.7893302   -1.8129642 
   14800    4.5354197    3.2648054    4.8283291   -1.9696892 
   14900    4.5479312    3.2893452     4.872017   -1.9447544 
   15000    4.5573897    3.4243243      4.93624   -1.8947086 
   15100    4.6519146    3.4040771    5.0150284   -1.9576009 
   15200    4.6025259    3.5034364    5.0373159   -1.8612859 
   15300     4.594284    3.3823139    4.9425372   -1.9437111 
   15400    4.4408446    3.4118859    4.7611025   -1.8951597 
   15500    4.3934382     3.323684    4.6327247   -1.9524813 
   15600    4.3230494    3.3927151    4.6025937   -1.8771085 
   15700    4.3876355    3.2516109    4.6545633   -1.9219452 
   15800    4.5146545    3.1763841    4.7728472   -1.9940465 
   15900    4.6187297    3.1935476    4.9197696   -2.0031198 
   16000    4.6243986    3.4890798    5.0065179   -1.9248685 
   16100    4.6570969    3.2489282    5.0002703   -1.9801266 
   16200    4.5859237    3.3203261    4.9123939   -1.9613234 
   16300    4.5029701    3.3187589     4.812013   -1.9373674 
   16400    4.5027248    3.2134974    4.7732351   -1.9757777 
   16500    4.4932692    3.2745231    4.7713311    -1.963509 
   16600    4.4549413    3.4685145    4.7870609   -1.8903304 
   16700    4.5071837     3.379497    4.8199461   -1.9357499 
   16800    4.5104999    3.4340726    4.8572416    -1.903425 
   16900    4.4995229    3.4829549    4.8788424   -1.8653712 
   17000    4.5259096    3.3312596    4.8706455   -1.9131183 
   17100    4.5892903    3.0537124    4.8167672   -2.0619962 
   17200    4.4683217    3.1607677    4.6913895   -2.0060574 
   17300    4.3404435    3.1408895    4.5564818   -1.9492919 
   17400    4.2812302    3.2793814    4.5062114   -1.9108091 
   17500    4.3590288    3.2622685    4.5907365   -1.9428943 
   17600    4.4564362    3.4297467    4.8091434   -1.8704885 
   17700    4.6233311    3.2935711    4.9614782    -1.968308 
   17800    4.5296606    3.6138774     4.980592   -1.8087942 
   17900    4.5750654    3.3942369    4.9251916   -1.9322504 
   18000    4.4915411    3.3880371    4.8316793   -1.9005705 
   18100    4.4414832    3.4571749    4.7380995   -1.9191198 
   18200    4.4569022    3.1802848    4.6728383   -2.0074922 
   18300    4.4247384    3.1326734    4.6569366   -1.9751844 
   18400    4.4597512    3.1670558     4.703677   -1.9809239 
   18500    4.5921682    3.1813659    4.8828382   -2.0002389 
   18600    4.6941708    3.4948962    5.1195368   -1.9164291 
   18700    4.7837268    3.2977004    5.1707011    -1.999498 
   18800    4.6451909    3.4673503    5.0599248   -1.9026266 
   18900    4.5430349    3.4296207    4.9032433   -1.9061891 
   19000     4.478114    3.3004971    4.7956541   -1.9164702 
   19100    4.4638817    3.2978921    4.7408649   -1.9499269 
   19200    4.5182504    3.0157423    4.7201361   -2.0521476 
   19300    4.4886401    3.1841676    4.7259109   -2.0019907 
   19400     4.455865    3.3121561    4.7523982   -1.9263776 
   19500    4.5774215    3.2028168    4.8281768   -2.0327968 
   19600    4.5296852    3.6366734     4.961589   -1.8278339 
   19700    4.6647967    3.5990729    5.1116889    -1.880249 
   19800    4.6946723    3.5068505    5.1619517    -1.874766 
   19900    4.6590109    3.4092729    5.0412382   -1.9420276 
   20000    4.4856046    3.2976685    4.7926697   -1.9306821 
   20100    4.3870226    3.2724543    4.6586132   -1.9169767 
   20200    4.4237529    3.1455814    4.6416849   -1.9889589 
   20300    4.4679146    3.1239087    4.6917019   -2.0051348 
   20400    4.4204808    3.6332582    4.7738678   -1.8518716 
   20500    4.5367054    3.4449776    4.8730613    -1.926884 
   20600    4.5700538     3.476466    4.9551536   -1.8947768 
   20700     4.614122    3.4383633    4.9846119   -1.9313711 
   20800    4.5315677    3.5509266     4.911094   -1.8811506 
   20900    4.4546012    3.1613184    4.6774164   -1.9994652 
   21000    4.2716621    3.2341619    4.5003497   -1.9023294 
   21100    4.3628085    2.9889803    4.4929832   -2.0463128 
   21200    4.3736531    3.2930089    4.5987653   -1.9567853 
   21300    4.4807389    3.2544157    4.7560424   -1.9600163 
   21400     4.483359    3.5080403    4.8569669    -1.863019 
   21500    4.5380043    3.4107406    4.8911251   -1.9107672 
   21600    4.6066112    3.1275208    4.8769764    -2.027749 
   21700    4.5300671    3.2771764    4.8263727   -1.9636227 
   21800    4.5345393    3.0861176    4.7628174   -2.0338812 
   21900    4.3773768    3.3721784    4.6787024   -1.8824296 
   22000    4.3633422    3.2883264    4.5874959   -1.9526001 
   22100    4.3019016    3.1776671     4.517946   -1.9300583 
   22200    4.3577698    3.1613034    4.5569787   -1.9747649 
   22300    4.4762489    3.2111211     4.733985   -1.9753438 
   22400    4.5812572     3.284025    4.9182379    -1.948485 
   22500    4.6873635     3.207139    5.0022992   -2.0234636 
   22600    4.6493481    3.2713058    4.9865911   -1.9821914 
   22700    4.5216611    3.3773324     4.879878   -1.8975178 
   22800    4.4926919    3.1356574    4.7299836   -2.0039911 
   22900    4.3886034    3.1202971    4.6264125   -1.9515468 
   23000    4.3287017    3.3360161     4.617257   -1.8709173 
   23100    4.4350974     3.185018    4.6843601   -1.9632877 
   23200    4.5033597    3.1669594    4.7722668   -1.9776976 
   23300    4.5104342    3.2812445    4.8224438   -1.9381243 
   23400    4.4984796    3.4023312    4.8343077    -1.908342 
   23500    4.5677889    3.0827761     4.829759   -2.0167766 
   23600    4.5314751    3.2510516    4.8085391   -1.9835668 
   23700    4.4987725    3.1819047    4.7788608    -1.964228 
   23800    4.4731521    3.2131651    4.7503114   -1.9543757 
   23900    4.4716997    3.2264247     4.728158    -1.974352 
   24000    4.4458397    3.2286503    4.6991041   -1.9646452 
   24100    4.4799525    3.1011453    4.6914636   -2.0234164 
   24200    4.4954887    3.1474187     4.731492   -2.0066748 
   24300    4.5415646      3.15896    4.8106963   -1.9965324 
   24400    4.5744822    3.3441996    4.9050329   -1.9515352 
   24500    4.6248082    3.3093771    4.9746681   -1.9573321 
   24600    4.5922945    3.4349423    4.9904517   -1.8928146 
   24700    4.5080806    3.5973497    4.9162063   -1.8408341 
   24800    4.4728461    3.1773383      4.74628   -1.9579483 
   24900    4.3707771    3.1124966    4.5855707   -1.9656692 
   25000    4.3787312    3.0989131    4.5347129   -2.0284493 
   25100    4.3862863    3.0768013     4.588752   -1.9857342 
   25200    4.4826965     3.184019     4.720408   -1.9985849 
   25300     4.544194    3.1942539     4.835177   -1.9759928 
   25400    4.4470668     3.650727    4.8773235   -1.7882649 
   25500    4.5313439    3.3624415    4.8823105   -1.9095986 
   25600    4.5035513    3.4701092    4.8523622   -1.8978894 
   25700    4.5417935    3.1658478    4.8008985   -2.0066732 
   25800    4.4896155    3.1455989    4.7461821   -1.9831815 
   25900    4.4536908    3.1796253    4.6999584   -1.9755585 
   26000    4.3218864    3.6312267    4.6797179   -1.7982411 
   26100    4.4761881    3.2127675     4.728346   -1.9808916 
   26200    4.5745326    3.1716561     4.860606   -1.9960376 
   26300    4.6838411    3.2169849    5.0131305   -2.0073526 
   26400    4.6618863    3.4014085    5.0758605   -1.9117152 
   26500     4.614667    3.3571813    5.0106246   -1.9061753 
   26600    4.5680166    3.1813444    4.8352854   -2.0115915 
   26700    4.4352629    3.2159739    4.6792657   -1.9686302 
   26800    4.3511813    3.3982339    4.6275607   -1.8943075 
   26900    4.3907172    3.2693216    4.6616804   -1.9194472 
   27000    4.4870873    3.2526615    4.7301137   -1.9954603 
   27100    4.4831501    3.3594424    4.7896208   -1.9300519 
   27200    4.4952496    3.4759567    4.8210071   -1.9168013 
   27300     4.492544    3.4428885    4.8224012   -1.9113518 
   27400    4.5289075    3.1472212    4.7969517   -1.9913057 
   27500    4.4553958    3.3463046    4.7577017   -1.9203709 
   27600     4.433187    3.1950802    4.7042104    -1.940574 
   27700    4.3935272    3.2052251    4.6262733   -1.9590662 
   27800    4.3855026    3.1362667    4.5858673   -1.9874442 
   27900    4.4211423    3.1629068    4.6301574   -1.9965736 
   28000    4.4814672    3.1896685    4.7572494   -1.9599008 
   28100    4.5863717    3.2836337    4.9102969   -1.9640919 
   28200    4.6414046    3.3030062    5.0029991   -1.9538771 
   28300    4.6250549    3.3477169    4.9912797   -1.9410903 
   28400    4.4680717    3.5412088    4.8733599   -1.8237123 
   28500    4.4018731    3.4165002     4.725691   -1.8721578 
   28600    4.3224028     3.488437    4.6313672   -1.8473658 
   28700    4.3630979    3.3213151    4.6279144   -1.9118153 
   28800    4.4412033    3.3685462    4.6972013   -1.9595984 
   28900    4.5314371    3.2095887    4.8212619    -1.970787 
   29000    4.6555283    3.3105024    4.9885679   -1.9894779 
   29100    4.7578762    3.4542958    5.1838214   -1.9476309 
   29200    4.8835534    3.5976508    5.4162145   -1.9036119 
   29300    4.9905778    3.4598255    5.5171054   -1.9631371 
   29400    4.7491269    3.6254612     5.257278   -1.8610602 
   29500    4.5976865    3.4336131     4.970739   -1.9206093 
   29600    4.5271601    3.3049846    4.8336161   -1.9520221 
   29700    4.4561612    3.2246937    4.7286795   -1.9505404 
   29800    4.4037442    3.2830911    4.6642535   -1.9363999 
   29900    4.4669732     3.085036    4.6777189   -2.0177067 
   30000    4.4720635    3.2821784    4.7511206   -1.9519348 
